,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
177801,2013-06-02 10:00:00,43.3913,-72.0576,loon,0.5,17.439999999999994,edi.499.2,6,2013-06-02 15:00:00+00:00,0 days 00:28:36.980000,1716
177802,2013-06-02 10:10:00,43.3913,-72.0576,loon,0.5,17.439999999999994,edi.499.2,6,2013-06-02 15:10:00+00:00,0 days 00:18:36.980000,1116
177803,2013-06-02 10:20:00,43.3913,-72.0576,loon,0.5,17.5,edi.499.2,6,2013-06-02 15:20:00+00:00,0 days 00:08:36.980000,516
177804,2013-06-02 10:30:00,43.3913,-72.0576,loon,0.5,17.56,edi.499.2,6,2013-06-02 15:30:00+00:00,-1 days +23:58:36.980000,-84
177805,2013-06-02 10:40:00,43.3913,-72.0576,loon,0.5,17.630000000000006,edi.499.2,6,2013-06-02 15:40:00+00:00,-1 days +23:48:36.980000,-684
177806,2013-06-02 10:50:00,43.3913,-72.0576,loon,0.5,17.630000000000006,edi.499.2,6,2013-06-02 15:50:00+00:00,-1 days +23:38:36.980000,-1284
389483,2013-06-02 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,14.88,edi.498.1,6,2013-06-02 15:00:00+00:00,0 days 00:28:36.980000,1716
421836,2013-06-02 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,18.39,edi.498.1,6,2013-06-02 15:00:00+00:00,0 days 00:28:36.980000,1716
448943,2013-06-02 10:00:00,43.3235,-72.0411,Newbury,1.4,13.64,edi.498.1,6,2013-06-02 15:00:00+00:00,0 days 00:28:36.980000,1716
