,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
291097,2017-09-09 10:10:00,43.3913,-72.0576,loon,1.5,18.74,edi.499.2,9,2017-09-09 15:10:00+00:00,0 days 00:23:00.361000,1380
291098,2017-09-09 10:20:00,43.3913,-72.0576,loon,1.5,18.75,edi.499.2,9,2017-09-09 15:20:00+00:00,0 days 00:13:00.361000,780
291099,2017-09-09 10:30:00,43.3913,-72.0576,loon,1.5,18.759999999999994,edi.499.2,9,2017-09-09 15:30:00+00:00,0 days 00:03:00.361000,180
291100,2017-09-09 10:40:00,43.3913,-72.0576,loon,1.5,18.759999999999994,edi.499.2,9,2017-09-09 15:40:00+00:00,-1 days +23:53:00.361000,-420
291101,2017-09-09 10:50:00,43.3913,-72.0576,loon,1.5,18.759999999999994,edi.499.2,9,2017-09-09 15:50:00+00:00,-1 days +23:43:00.361000,-1020
291102,2017-09-09 11:00:00,43.3913,-72.0576,loon,1.5,18.759999999999994,edi.499.2,9,2017-09-09 16:00:00+00:00,-1 days +23:33:00.361000,-1620
402688,2017-09-09 11:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,17.9,edi.498.1,9,2017-09-09 16:00:00+00:00,-1 days +23:33:00.361000,-1620
462148,2017-09-09 11:00:00,43.3235,-72.0411,Newbury,1.5,18.4,edi.498.1,9,2017-09-09 16:00:00+00:00,-1 days +23:33:00.361000,-1620
485943,2017-09-09 11:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,18.86,edi.498.1,9,2017-09-09 16:00:00+00:00,-1 days +23:33:00.361000,-1620
