,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
331037,2019-08-22 09:50:00,43.3913,-72.0576,loon,1.5,24.07,edi.499.2,8,2019-08-22 14:50:00+00:00,0 days 00:29:47.761000,1787
331038,2019-08-22 10:00:00,43.3913,-72.0576,loon,1.5,24.09,edi.499.2,8,2019-08-22 15:00:00+00:00,0 days 00:19:47.761000,1187
331039,2019-08-22 10:10:00,43.3913,-72.0576,loon,1.5,24.11000000000001,edi.499.2,8,2019-08-22 15:10:00+00:00,0 days 00:09:47.761000,587
331040,2019-08-22 10:20:00,43.3913,-72.0576,loon,1.5,24.12,edi.499.2,8,2019-08-22 15:20:00+00:00,-1 days +23:59:47.761000,-13
331041,2019-08-22 10:30:00,43.3913,-72.0576,loon,1.5,24.17,edi.499.2,8,2019-08-22 15:30:00+00:00,-1 days +23:49:47.761000,-613
331042,2019-08-22 10:40:00,43.3913,-72.0576,loon,1.5,24.22,edi.499.2,8,2019-08-22 15:40:00+00:00,-1 days +23:39:47.761000,-1213
