,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
379075,2009-08-18 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,24.34,edi.498.1,8,2009-08-18 15:00:00+00:00,0 days 00:22:15.552000,1335
411428,2009-08-18 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,25.03,edi.498.1,8,2009-08-18 15:00:00+00:00,0 days 00:22:15.552000,1335
470888,2009-08-18 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,25.24,edi.498.1,8,2009-08-18 15:00:00+00:00,0 days 00:22:15.552000,1335
73750,2009-08-18 10:00:00,43.3913,-72.0576,loon,1.0,25.26,edi.499.2,8,2009-08-18 15:00:00+00:00,0 days 00:22:15.552000,1335
438535,2009-08-18 10:00:00,43.3235,-72.0411,Newbury,1.5,25.24,edi.498.1,8,2009-08-18 15:00:00+00:00,0 days 00:22:15.552000,1335
73751,2009-08-18 10:10:00,43.3913,-72.0576,loon,1.0,25.31,edi.499.2,8,2009-08-18 15:10:00+00:00,0 days 00:12:15.552000,735
73752,2009-08-18 10:20:00,43.3913,-72.0576,loon,1.0,25.31,edi.499.2,8,2009-08-18 15:20:00+00:00,0 days 00:02:15.552000,135
438536,2009-08-18 10:30:00,43.3235,-72.0411,Newbury,1.5,25.24,edi.498.1,8,2009-08-18 15:30:00+00:00,-1 days +23:52:15.552000,-465
73753,2009-08-18 10:30:00,43.3913,-72.0576,loon,1.0,25.31,edi.499.2,8,2009-08-18 15:30:00+00:00,-1 days +23:52:15.552000,-465
379076,2009-08-18 10:30:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,24.34,edi.498.1,8,2009-08-18 15:30:00+00:00,-1 days +23:52:15.552000,-465
411429,2009-08-18 10:30:00,43.3446,-72.0438,SouthOfTheFells,1.5,24.86,edi.498.1,8,2009-08-18 15:30:00+00:00,-1 days +23:52:15.552000,-465
470889,2009-08-18 10:30:00,43.4096,-72.0365,HerrickCoveSouth,1.5,25.24,edi.498.1,8,2009-08-18 15:30:00+00:00,-1 days +23:52:15.552000,-465
73754,2009-08-18 10:40:00,43.3913,-72.0576,loon,1.0,25.37,edi.499.2,8,2009-08-18 15:40:00+00:00,-1 days +23:42:15.552000,-1065
73755,2009-08-18 10:50:00,43.3913,-72.0576,loon,1.0,25.39,edi.499.2,8,2009-08-18 15:50:00+00:00,-1 days +23:32:15.552000,-1665
