,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
238536,2015-09-12 10:10:00,43.3913,-72.0576,loon,1.5,23.45,edi.499.2,9,2015-09-12 15:10:00+00:00,0 days 00:22:48.695000,1368
238537,2015-09-12 10:15:00,43.3913,-72.0576,loon,0.5,23.484,edi.499.2,9,2015-09-12 15:15:00+00:00,0 days 00:17:48.695000,1068
238538,2015-09-12 10:20:00,43.3913,-72.0576,loon,1.5,23.459999999999994,edi.499.2,9,2015-09-12 15:20:00+00:00,0 days 00:12:48.695000,768
238539,2015-09-12 10:30:00,43.3913,-72.0576,loon,0.5,23.484,edi.499.2,9,2015-09-12 15:30:00+00:00,0 days 00:02:48.695000,168
238540,2015-09-12 10:40:00,43.3913,-72.0576,loon,1.5,23.51,edi.499.2,9,2015-09-12 15:40:00+00:00,-1 days +23:52:48.695000,-432
238541,2015-09-12 10:45:00,43.3913,-72.0576,loon,0.5,23.484,edi.499.2,9,2015-09-12 15:45:00+00:00,-1 days +23:47:48.695000,-732
238542,2015-09-12 10:50:00,43.3913,-72.0576,loon,1.5,23.56,edi.499.2,9,2015-09-12 15:50:00+00:00,-1 days +23:42:48.695000,-1032
456927,2015-09-12 11:00:00,43.3235,-72.0411,Newbury,1.5,22.83,edi.498.1,9,2015-09-12 16:00:00+00:00,-1 days +23:32:48.695000,-1632
483597,2015-09-12 11:00:00,43.4096,-72.0365,HerrickCoveSouth,1.4,23.31,edi.498.1,9,2015-09-12 16:00:00+00:00,-1 days +23:32:48.695000,-1632
397467,2015-09-12 11:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,22.64,edi.498.1,9,2015-09-12 16:00:00+00:00,-1 days +23:32:48.695000,-1632
429820,2015-09-12 11:00:00,43.3446,-72.0438,SouthOfTheFells,1.4,22.82,edi.498.1,9,2015-09-12 16:00:00+00:00,-1 days +23:32:48.695000,-1632
238543,2015-09-12 11:00:00,43.3913,-72.0576,loon,0.5,23.388,edi.499.2,9,2015-09-12 16:00:00+00:00,-1 days +23:32:48.695000,-1632
