,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
201201,2014-06-29 10:10:00,43.3913,-72.0576,loon,1.5,21.53,edi.499.2,6,2014-06-29 15:10:00+00:00,0 days 00:22:38.509000,1358
201202,2014-06-29 10:20:00,43.3913,-72.0576,loon,0.5,21.47,edi.499.2,6,2014-06-29 15:20:00+00:00,0 days 00:12:38.509000,758
201203,2014-06-29 10:30:00,43.3913,-72.0576,loon,1.5,21.61000000000001,edi.499.2,6,2014-06-29 15:30:00+00:00,0 days 00:02:38.509000,158
201204,2014-06-29 10:40:00,43.3913,-72.0576,loon,0.5,21.53,edi.499.2,6,2014-06-29 15:40:00+00:00,-1 days +23:52:38.509000,-442
201205,2014-06-29 10:50:00,43.3913,-72.0576,loon,1.5,21.73,edi.499.2,6,2014-06-29 15:50:00+00:00,-1 days +23:42:38.509000,-1042
479112,2014-06-29 11:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,22.09,edi.498.1,6,2014-06-29 16:00:00+00:00,-1 days +23:32:38.509000,-1642
392982,2014-06-29 11:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.2,20.49,edi.498.1,6,2014-06-29 16:00:00+00:00,-1 days +23:32:38.509000,-1642
425335,2014-06-29 11:00:00,43.3446,-72.0438,SouthOfTheFells,1.4,20.49,edi.498.1,6,2014-06-29 16:00:00+00:00,-1 days +23:32:38.509000,-1642
201206,2014-06-29 11:00:00,43.3913,-72.0576,loon,0.5,21.53,edi.499.2,6,2014-06-29 16:00:00+00:00,-1 days +23:32:38.509000,-1642
452442,2014-06-29 11:00:00,43.3235,-72.0411,Newbury,1.4,20.02,edi.498.1,6,2014-06-29 16:00:00+00:00,-1 days +23:32:38.509000,-1642
