system:index,azimuth,cloud_cover,elev,emiss,esd,l_exceltime,landsat_time,pct_lake,pixel_count,surface_temp_kurtosis,surface_temp_max,surface_temp_mean,surface_temp_median,surface_temp_min,surface_temp_stdDev,sza,v_exceltime,vapor_time,water_column,.geo
1_1_2_1_LT05_013030_19840930,148.2511,2.0,38.886074,0.977941145456293,1.001191,30955.627091145834,465404580675,0.8075735508301777,13862,214.70991198167897,15.186477365968184,12.896923312734978,12.840477607130847,-3.489951331930475,0.8137591572711781,51.11392593383789,30955.75,465415200000,1.1500000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19841016,152.2911,1.0,33.642868,0.977941145456293,0.99661,30971.627061446758,466786978109,1.0,17165,4.143601968287299,14.720945209523958,11.455474539695937,11.409443298222797,10.445479112105328,0.4650950547361487,56.35713195800781,30971.75,466797600000,1.3600006103515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19850901,138.26797,5.0,47.822216,0.977941145456293,1.0090483,31291.6266353125,494434941291,1.0,17165,0.8634073887259737,20.19042237503209,16.854862863197326,17.030213931414295,14.253720465958025,0.6424174892928797,42.17778396606445,31291.75,494445600000,1.170001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19850917,143.90114,6.0,43.06969,0.977941145456293,1.0049189,31307.626485729168,495817328367,0.9997087095834547,17160,3.6159118005772743,18.395376998916994,15.182150200035341,15.18631722189088,12.839985902010865,0.386122564086415,46.9303092956543,31307.75,495828000000,1.6,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19851120,155.80006,36.0,23.41129,0.977941145456293,0.9879325,31371.625920659724,501346879545,0.8843577046315176,15180,3.3071388920522358,13.311701163487156,8.985049735224838,8.98194041452937,7.996905406988137,0.7585075803044551,66.58871078491211,31371.75,501357600000,2.3600006103515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19860515,128.12862,41.0,56.60322,0.977941145456293,1.0109715,31547.623305428242,516553053589,1.0,17165,1.8241383292628122,17.487013489452504,10.011373280986758,9.960210845924738,3.966077293125882,1.504882490235605,33.39677810668945,31547.5,516542400000,1.4799987792968752,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19861022,150.39049,4.0,30.897781,0.977941145456293,0.9950896,31707.61961,530376734304,0.9810078648412467,16839,0.3683787820424116,9.473356959629792,7.131605639582148,7.004670386847929,4.98864207349063,0.6757849354066682,59.10221862792969,31707.5,530366400000,1.220001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19870502,131.299,17.0,53.553524,0.977941145456293,1.0078675,31899.622471620372,546965781548,0.8721817652199243,14971,5.158576869572181,15.186460874660755,6.108695701911985,5.496454183312918,4.988850447455908,1.3462212555476487,36.446475982666016,31899.5,546955200000,0.55,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_LT04_013030_19870526,123.58484709,38.0,57.46879674,0.977941145456293,1.0130782,31923.619376226852,5.49039114106E11,1.0,17165,1.3632840048821935,24.527999730740984,17.12663906830186,16.81546420948914,15.479936278065537,1.0562843280469287,32.53120326,31923.5,549028800000,1.379998779296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19870705,121.050354,16.0,58.560978,0.977941145456293,1.016714,31963.623527060186,552495472738,1.0,17165,5.585174911094409,22.405851457231634,17.33036904086183,17.0308289748209,16.57223885591393,0.6113349987304174,31.439022064208984,31963.5,552484800000,2.0500000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19870806,127.85028,17.0,53.814022,0.977941145456293,1.0142733,31995.624085983796,555260321029,1.0,17165,11.684990469323361,22.836689336228456,18.410617978064554,18.394735625215038,17.48677199205767,0.3081132534114279,36.185977935791016,31995.5,555249600000,1.2299987792968752,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19871009,149.84749,9.0,35.99112,0.977941145456293,0.9988292,32059.625176574074,560790015256,1.0,17165,3.7929674382089065,10.445341855902623,9.410656203936403,9.473058467298426,5.496044756244451,0.610514803787983,54.008880615234375,32059.75,560800800000,1.4600006103515626,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19871025,153.29037,34.0,30.828316,0.977941145456293,0.994327,32075.62535079861,562172430309,0.8701427323041072,14936,9.198598962920027,9.47368183772323,8.323880212540047,8.4928276446372,2.413648774709384,0.7040771399512857,59.17168426513672,32075.75,562183200000,0.8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19880605,125.075615,26.0,60.112915,0.977941145456293,1.0147527,32299.627368541667,581526204642,1.0,17165,4.452986473024584,18.84886038512467,12.857787750176394,12.838770282781937,11.407707597398009,0.9058112751619491,29.8870849609375,32299.75,581536800000,2.2600006103515624,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19880621,122.86057,12.0,60.245888,0.977941145456293,1.0163172,32315.627430590277,582908610003,0.9872414797553161,16946,1.8405571474437146,18.395986135166332,13.154154361203075,13.312612982258681,10.44458262501996,0.8197421295009685,29.754112243652344,32315.75,582919200000,1.8899993896484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
