,system:index,azimuth,cloud_cover,elev,emiss,esd,l_exceltime,landsat_time,pct_lake,pixel_count,surface_temp_kurtosis,surface_temp_max,surface_temp_mean,surface_temp_median,surface_temp_min,surface_temp_stdDev,sza,v_exceltime,vapor_time,water_column,.geo,landsat_time_utc,scene,temp_avg,t_stdev,depth_avg,d_stdev,temp_med,insitu_count,HerrickCoveSouth_median,HerrickCoveSouth_mean,HerrickCoveSouth_std,HerrickCoveSouth_count,Newbury_median,Newbury_mean,Newbury_std,Newbury_count,NorthSunapeeHarbor_median,NorthSunapeeHarbor_mean,NorthSunapeeHarbor_std,NorthSunapeeHarbor_count,SouthOfTheFells_median,SouthOfTheFells_mean,SouthOfTheFells_std,SouthOfTheFells_count,loon_median,loon_mean,loon_std,loon_count,harbor_median,harbor_mean,harbor_std,harbor_count,GeorgesMills_median,GeorgesMills_mean,GeorgesMills_std,GeorgesMills_count,HerrickCove_median,HerrickCove_mean,HerrickCove_std,HerrickCove_count,StateBeach_median,StateBeach_mean,StateBeach_std,StateBeach_count
19,1_1_2_1_LT05_013030_20080831,143.34254,6.0,49.79288,0.977941145456293,1.0092744,39691.637762384256,1220195902670.0,0.5643460530148559,9687,14.428485123113674,23.275862625169182,18.05649255835285,17.942200484625694,11.408998091688092,0.7269795793776511,40.20711898803711,39691.75,1220205600000,1.6600006103515623,"{""type"":""MultiPoint"",""coordinates"":[]}",2008-08-31 15:18:22.670000+00:00,LT05_013030_20080831,21.048,0.32341236147611196,0.9,0.5163977794943222,20.955,10.0,21.84,21.84,,1.0,21.33,21.33,,1.0,20.64,20.64,,1.0,20.96,20.96,,1.0,20.945,20.951666666666668,0.030605010483034552,6.0,,,,,,,,,,,,,,,,
20,1_2_1_LE07_013030_20080908,147.18657,12.0,47.670723,0.977941145456293,1.0072978,39699.64018194444,1220887311720.0,0.5252548791144771,9016,6.68907318946243,20.80398951791836,17.16018331178163,17.09985802977595,11.597681699681786,0.5399668608330299,42.32927703857422,39699.75,1220896800000,1.9799987792968752,"{""type"":""MultiPoint"",""coordinates"":[]}",2008-09-08 15:21:51.720000+00:00,LE07_013030_20080908,21.107000000000003,0.1166238016491969,0.9,0.5163977794943222,21.130000000000003,10.0,21.34,21.34,,1.0,20.99,20.99,,1.0,20.97,20.97,,1.0,20.96,20.96,,1.0,21.135,21.135,0.043243496620880305,6.0,,,,,,,,,,,,,,,,
21,1_2_1_LE07_013030_20081010,156.32909,0.0,36.993324,0.977941145456293,0.9983859,39731.63992071759,1223652089150.0,0.8795222837168657,15097,3.4464020231017978,16.020116897490425,12.994842170799574,12.720332313303729,12.1608820063418,0.3767656829238028,53.00667572021485,39731.75,1223661600000,1.35,"{""type"":""MultiPoint"",""coordinates"":[]}",2008-10-10 15:21:29.150000+00:00,LE07_013030_20081010,14.556666666666665,0.02804757862395025,0.5,0.0,14.55,6.0,,,,,,,,,,,,,,,,,14.55,14.556666666666667,0.028047578623950045,6.0,,,,,,,,,,,,,,,,
22,1_1_2_1_LT05_013030_20081018,156.56749,9.0,33.981457,0.977941145456293,0.9961141,39739.63672824074,1224343013320.0,0.5551995339353335,9530,1.3801002361768289,11.409967683670876,8.396820981673306,8.984401426567235,-0.2269945993760052,2.0912138884844467,56.0185432434082,39739.75,1224352800000,0.6399993896484375,"{""type"":""MultiPoint"",""coordinates"":[]}",2008-10-18 15:16:53.320000+00:00,LT05_013030_20081018,13.875,0.058566201857384974,0.5,0.0,13.879999999999999,6.0,,,,,,,,,,,,,,,,,13.879999999999999,13.875,0.058566201857384814,6.0,,,,,,,,,,,,,,,,
23,1_2_1_LE07_013030_20081026,159.20372,3.0,31.677132,0.977941145456293,0.9939112,39747.64011203704,1225034505680.0,0.8675211185551995,14891,1.40302702510869,12.72060947573155,10.276334596910132,10.465803967240156,8.743768016602012,0.3454549738810262,58.32286834716797,39747.75,1225044000000,0.9709991455078124,"{""type"":""MultiPoint"",""coordinates"":[]}",2008-10-26 15:21:45.680000+00:00,LE07_013030_20081026,11.878333333333332,0.02483277404291918,0.5,0.0,11.88,6.0,,,,,,,,,,,,,,,,,11.88,11.878333333333332,0.024832774042919337,6.0,,,,,,,,,,,,,,,,
24,1_2_1_LE07_013030_20081111,160.68654,86.0,26.93093,0.977941145456293,0.9898826,39763.64027962963,1226416920160.0,0.2942033207107486,5050,-0.386989087672251,6.403967128816506,3.984926300133236,4.61424556923521,-0.9513665463096568,1.586858058540939,63.06907081604004,39763.75,1226426400000,0.7299987792968751,"{""type"":""MultiPoint"",""coordinates"":[]}",2008-11-11 15:22:00.160000+00:00,LE07_013030_20081111,9.274999999999999,0.012247448713916356,0.5,0.0,9.27,6.0,,,,,,,,,,,,,,,,,9.27,9.275,0.012247448713916384,6.0,,,,,,,,,,,,,,,,
25,1_2_1_LE07_013030_20081127,160.83076,60.0,23.219679,0.977941145456293,0.9866177,39779.64042060185,1227799332340.0,0.8076318089134867,13863,13.113275699589664,3.403671232250552,1.8243358815421675,2.1785730000669217,-5.509531662071308,0.7439638055911192,66.78032112121582,39779.75,1227808800000,0.7000000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}",2008-11-27 15:22:12.340000+00:00,LE07_013030_20081127,4.705,0.025884358211089774,0.5,0.0,4.7,6.0,,,,,,,,,,,,,,,,,4.7,4.705,0.025884358211089573,6.0,,,,,,,,,,,,,,,,
26,1_2_1_LE07_013030_20090522,135.96068,7.0,61.416122,0.977941145456293,1.0123974,39955.64120648148,1243005800240.0,0.843285755898631,14475,3.659870439847505,22.35565855080482,12.181528873436724,12.160409859007665,9.31997800563041,1.5820637871542278,28.58387756347656,39955.75,1243015200000,1.7209991455078126,"{""type"":""MultiPoint"",""coordinates"":[]}",2009-05-22 15:23:20.240000+00:00,LE07_013030_20090522,14.04875,1.1640377693921395,1.5,0.0,14.094999999999999,8.0,15.54,15.54,0.0,2.0,14.11,14.11,0.0,2.0,12.465,12.465,0.10606601717798111,2.0,14.08,14.08,0.0,2.0,,,,,,,,,,,,,,,,,,,,
27,1_1_2_1_LT05_013030_20090530,133.12552,50.0,62.153744,0.977941145456293,1.0137994,39963.63953356481,1243696855700.0,0.5027090008738713,8629,4.216947122245982,19.296671439636945,12.576493493204175,12.365098632352831,10.445250847707204,0.9870465416227222,27.84625625610352,39963.75,1243706400000,1.520999145507813,"{""type"":""MultiPoint"",""coordinates"":[]}",2009-05-30 15:20:55.700000+00:00,LT05_013030_20090530,13.62125,0.8413329135535892,1.5,0.0,13.8,8.0,14.28,14.28,0.0,2.0,12.485,12.485,0.33234018715767843,2.0,14.4,14.4,0.0,2.0,13.32,13.32,0.0,2.0,,,,,,,,,,,,,,,,,,,,
28,1_1_2_1_LT05_013030_20090919,151.19208,14.0,44.38442,0.977941145456293,1.0044302,40075.64077407408,1253373762880.0,0.538013399359161,9235,2.424311008868101,15.186502495101044,13.6342458229321,14.253820717566947,6.001576955915367,1.3285317059925636,45.61558151245117,40075.75,1253383200000,0.8899993896484375,"{""type"":""MultiPoint"",""coordinates"":[]}",2009-09-19 15:22:42.880000+00:00,LT05_013030_20090919,17.824285714285715,0.060728181990836134,1.2857142857142858,0.2567762955065478,17.830000000000002,14.0,17.85,17.85,0.11313708498984897,2.0,17.75,17.75,0.0,2.0,17.89,17.89,0.0,2.0,17.799999999999997,17.799999999999997,0.11313708498984897,2.0,17.830000000000002,17.826666666666668,0.005163977794944179,6.0,,,,,,,,,,,,,,,,
29,1_1_2_1_LT05_013030_20091021,158.8996,36.0,33.536015,0.977941145456293,0.9953496,40107.64101331019,1256138583550.0,0.693562481794349,11905,2.7737822805399333,11.408946238349513,8.1626441108406,7.998219390373013,6.00097118598303,0.5528767225715726,56.463985443115234,40107.75,1256148000000,1.6899993896484375,"{""type"":""MultiPoint"",""coordinates"":[]}",2009-10-21 15:23:03.550000+00:00,LT05_013030_20091021,11.04,0.030983866769659592,1.0,0.0,11.02,6.0,,,,,,,,,,,,,,,,,11.02,11.04,0.030983866769659568,6.0,,,,,,,,,,,,,,,,
30,1_1_2_1_LT05_013030_20091122,161.29596,27.0,24.420465,0.977941145456293,0.9875894,40139.64117662037,1258903397660.0,0.9999417419166908,17164,0.7227064654452136,7.503219550469837,5.8173511334955,6.00165244849433,4.478814114149877,0.30908365782065,65.57953453063965,40139.75,1258912800000,0.6299987792968751,"{""type"":""MultiPoint"",""coordinates"":[]}",2009-11-22 15:23:17.660000+00:00,LT05_013030_20091122,8.083333333333332,0.03669695718539419,1.0,0.0,8.09,6.0,,,,,,,,,,,,,,,,,8.09,8.083333333333334,0.03669695718539381,6.0,,,,,,,,,,,,,,,,
33,1_1_2_1_LT05_013030_20100602,133.53642,4.0,62.7411,0.977941145456293,1.0142215,40331.64138136574,1275492215350.0,0.8598893096417128,14760,3.1434958127546127,23.720107334131065,17.98073241076795,17.943551277554718,14.719903536940452,0.8285323962102987,27.258899688720703,40331.75,1275501600000,2.4000000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}",2010-06-02 15:23:35.350000+00:00,LT05_013030_20100602,19.29,0.4143267631552009,1.2,0.25819888974716115,19.35,10.0,19.38,19.38,,1.0,20.02,20.02,,1.0,18.37,18.37,,1.0,19.5,19.5,,1.0,19.275,19.27166666666667,0.1493206839880722,6.0,,,,,,,,,,,,,,,,
