,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
50685,2008-07-06 10:00:00,43.3913,-72.0576,loon,0.5,22.81,edi.499.2,7,2008-07-06 15:00:00+00:00,0 days 00:22:24,1344
50686,2008-07-06 10:10:00,43.3913,-72.0576,loon,0.5,22.94,edi.499.2,7,2008-07-06 15:10:00+00:00,0 days 00:12:24,744
50687,2008-07-06 10:20:00,43.3913,-72.0576,loon,0.5,23.19,edi.499.2,7,2008-07-06 15:20:00+00:00,0 days 00:02:24,144
50688,2008-07-06 10:30:00,43.3913,-72.0576,loon,0.5,23.14,edi.499.2,7,2008-07-06 15:30:00+00:00,-1 days +23:52:24,-456
50689,2008-07-06 10:40:00,43.3913,-72.0576,loon,0.5,23.27,edi.499.2,7,2008-07-06 15:40:00+00:00,-1 days +23:42:24,-1056
50690,2008-07-06 10:50:00,43.3913,-72.0576,loon,0.5,23.39,edi.499.2,7,2008-07-06 15:50:00+00:00,-1 days +23:32:24,-1656
373076,2008-07-06 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,22.47,edi.498.1,7,2008-07-06 15:00:00+00:00,0 days 00:22:24,1344
405429,2008-07-06 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,21.96,edi.498.1,7,2008-07-06 15:00:00+00:00,0 days 00:22:24,1344
432536,2008-07-06 10:00:00,43.3235,-72.0411,Newbury,1.5,21.66,edi.498.1,7,2008-07-06 15:00:00+00:00,0 days 00:22:24,1344
464889,2008-07-06 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,22.84,edi.498.1,7,2008-07-06 15:00:00+00:00,0 days 00:22:24,1344
