,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
23613,2018-11-07 10:00:00,43.3913,-72.0576,loon,1.5,8.26,edi.500.2,11,2018-11-07 15:00:00+00:00,0 days 00:29:34.930000,1774
23614,2018-11-07 10:15:00,43.3913,-72.0576,loon,1.5,8.26,edi.500.2,11,2018-11-07 15:15:00+00:00,0 days 00:14:34.930000,874
23615,2018-11-07 10:30:00,43.3913,-72.0576,loon,1.5,8.28,edi.500.2,11,2018-11-07 15:30:00+00:00,-1 days +23:59:34.930000,-26
23616,2018-11-07 10:45:00,43.3913,-72.0576,loon,1.5,8.3,edi.500.2,11,2018-11-07 15:45:00+00:00,-1 days +23:44:34.930000,-926
