,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
227613,2015-07-10 10:10:00,43.3913,-72.0576,loon,1.5,22.01,edi.499.2,7,2015-07-10 15:10:00+00:00,0 days 00:22:36.800000,1356
227614,2015-07-10 10:20:00,43.3913,-72.0576,loon,1.5,22.02,edi.499.2,7,2015-07-10 15:20:00+00:00,0 days 00:12:36.800000,756
227615,2015-07-10 10:30:00,43.3913,-72.0576,loon,1.5,22.05,edi.499.2,7,2015-07-10 15:30:00+00:00,0 days 00:02:36.800000,156
227616,2015-07-10 10:40:00,43.3913,-72.0576,loon,1.5,22.04,edi.499.2,7,2015-07-10 15:40:00+00:00,-1 days +23:52:36.800000,-444
227617,2015-07-10 10:50:00,43.3913,-72.0576,loon,1.5,22.05,edi.499.2,7,2015-07-10 15:50:00+00:00,-1 days +23:42:36.800000,-1044
227618,2015-07-10 11:00:00,43.3913,-72.0576,loon,1.5,22.110000000000007,edi.499.2,7,2015-07-10 16:00:00+00:00,-1 days +23:32:36.800000,-1644
395931,2015-07-10 11:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,21.81,edi.498.1,7,2015-07-10 16:00:00+00:00,-1 days +23:32:36.800000,-1644
428284,2015-07-10 11:00:00,43.3446,-72.0438,SouthOfTheFells,1.4,21.32,edi.498.1,7,2015-07-10 16:00:00+00:00,-1 days +23:32:36.800000,-1644
455391,2015-07-10 11:00:00,43.3235,-72.0411,Newbury,1.5,21.16,edi.498.1,7,2015-07-10 16:00:00+00:00,-1 days +23:32:36.800000,-1644
482061,2015-07-10 11:00:00,43.4096,-72.0365,HerrickCoveSouth,1.4,22.130000000000003,edi.498.1,7,2015-07-10 16:00:00+00:00,-1 days +23:32:36.800000,-1644
