,system:index,availablePixels_count,cloudcover_pct_scene,datetime_landsat,esd_au_scene,lakeCoverage_pct,sunazi_deg_scene,sunelev_deg_scene,surface_temp_kurtosis,surface_temp_max,surface_temp_mean,surface_temp_median,surface_temp_min,surface_temp_p25,surface_temp_p75,surface_temp_skew,surface_temp_stdDev,.geo,landsat_time_utc,scene,is_temp_avg,is_temp_stdev,is_depth_avg,is_depth_stdev,is_temp_med,insitu_count,HerrickCoveSouth_median,HerrickCoveSouth_mean,HerrickCoveSouth_std,HerrickCoveSouth_count,Newbury_median,Newbury_mean,Newbury_std,Newbury_count,NorthSunapeeHarbor_median,NorthSunapeeHarbor_mean,NorthSunapeeHarbor_std,NorthSunapeeHarbor_count,SouthOfTheFells_median,SouthOfTheFells_mean,SouthOfTheFells_std,SouthOfTheFells_count,loon_median,loon_mean,loon_std,loon_count,harbor_median,harbor_mean,harbor_std,harbor_count,GeorgesMills_median,GeorgesMills_mean,GeorgesMills_std,GeorgesMills_count,HerrickCove_median,HerrickCove_mean,HerrickCove_std,HerrickCove_count,StateBeach_median,StateBeach_mean,StateBeach_std,StateBeach_count
16,1_1_2_1_LT05_013030_20090530,8284,50.0,1243696855701.0,1.0137994,48.26099621322458,133.12551622,62.15374484,4.63191248803814,25.620800360000032,16.195363209814094,15.945573743756151,14.63528408000002,15.431184051245944,16.591628104331537,1.996565947848216,1.4330584694907578,"{""type"":""MultiPoint"",""coordinates"":[]}",2009-05-30 15:20:55.701000+00:00,LT05_013030_20090530,13.62125,0.8413329135535892,1.5,0.0,13.8,8.0,14.28,14.28,0.0,2.0,12.485,12.485,0.33234018715767843,2.0,14.4,14.4,0.0,2.0,13.32,13.32,0.0,2.0,,,,,,,,,,,,,,,,,,,,
17,1_1_2_1_LT05_013030_20090818,17194,0.0,1250608935552.0,1.0121479,100.16894844159629,140.14211902,53.92915572,9.882738926605212,37.197634100000016,25.66521953677212,25.20197152018063,24.33562484000004,25.07526811237284,25.921731483592367,2.541620927505185,1.0353355022839423,"{""type"":""MultiPoint"",""coordinates"":[]}",2009-08-18 15:22:15.552000+00:00,LT05_013030_20090818,25.10571428571429,0.35197714711030886,1.2857142857142858,0.2567762955065478,25.24,14.0,25.24,25.24,0.0,2.0,25.24,25.24,0.0,2.0,24.34,24.34,0.0,2.0,24.945,24.945,0.12020815280171429,2.0,25.31,25.325,0.04722287581246964,6.0,,,,,,,,,,,,,,,,
18,1_1_2_1_LT05_013030_20090919,8572,14.0,1253373762884.0,1.0044302,49.93882901252549,151.19207559,44.38442029,2.159142904421489,18.931735220000007,16.329468542380877,16.696231950447007,11.371074980000005,16.174486435022697,16.838974157019056,-1.4129348516752611,0.914620500070074,"{""type"":""MultiPoint"",""coordinates"":[]}",2009-09-19 15:22:42.884000+00:00,LT05_013030_20090919,17.824285714285715,0.060728181990836134,1.2857142857142858,0.2567762955065478,17.830000000000002,14.0,17.85,17.85,0.11313708498984897,2.0,17.75,17.75,0.0,2.0,17.89,17.89,0.0,2.0,17.799999999999997,17.799999999999997,0.11313708498984897,2.0,17.830000000000002,17.826666666666668,0.005163977794944179,6.0,,,,,,,,,,,,,,,,
19,1_1_2_1_LT05_013030_20091021,11235,36.0,1256138583546.0,0.9953496,65.45295659772793,158.89959364,33.53601388,6.333585608602098,16.71685825999998,10.957032976708344,10.853890984278918,9.552688340000032,10.72639865414748,11.492040043192912,1.8708319202780723,0.7568517462383091,"{""type"":""MultiPoint"",""coordinates"":[]}",2009-10-21 15:23:03.546000+00:00,LT05_013030_20091021,11.04,0.030983866769659592,1.0,0.0,11.02,6.0,,,,,,,,,,,,,,,,,11.02,11.04,0.030983866769659568,6.0,,,,,,,,,,,,,,,,
20,1_1_2_1_LT05_013030_20091122,17192,27.0,1258903397660.0,0.9875894,100.15729682493446,161.29596051,24.42046622,7.278552572482644,11.11814149999998,7.521067099173892,7.303631796003303,6.1791026000000215,7.303631796003303,7.8607492130109025,1.4405532452017389,0.3998104948071465,"{""type"":""MultiPoint"",""coordinates"":[]}",2009-11-22 15:23:17.660000+00:00,LT05_013030_20091122,8.083333333333332,0.03669695718539419,1.0,0.0,8.09,6.0,,,,,,,,,,,,,,,,,8.09,8.083333333333334,0.03669695718539381,6.0,,,,,,,,,,,,,,,,
22,1_1_2_1_LT05_013030_20100602,14374,4.0,1275492215349.0,1.0142216,83.74016894844159,133.53642009,62.74109899,5.663279485916075,32.385061940000014,21.73931389013365,21.666128195243516,19.12656235999998,21.00569869872116,22.460074241578287,1.6942359164334249,1.2836047577140255,"{""type"":""MultiPoint"",""coordinates"":[]}",2010-06-02 15:23:35.349000+00:00,LT05_013030_20100602,19.29,0.4143267631552009,1.2,0.25819888974716115,19.35,10.0,19.38,19.38,,1.0,20.02,20.02,,1.0,18.37,18.37,,1.0,19.5,19.5,,1.0,19.275,19.27166666666667,0.1493206839880722,6.0,,,,,,,,,,,,,,,,
23,1_1_2_1_LT05_013030_20100618,16973,5.0,1276874611122.0,1.0160488,98.88144480046608,130.6832996,63.26365956,1.1373433138469782,32.043259939999984,17.310548434607202,17.444287038059226,10.42428344000001,16.22569281978385,18.673741304900965,0.294982431331335,2.4550680862783647,"{""type"":""MultiPoint"",""coordinates"":[]}",2010-06-18 15:23:31.122000+00:00,LT05_013030_20100618,17.794,0.3374479383714041,1.2,0.25819888974716115,17.834999999999997,10.0,17.77,17.77,,1.0,17.43,17.43,,1.0,17.24,17.24,,1.0,17.41,17.41,,1.0,18.019999999999996,18.014999999999997,0.16991174179555965,6.0,,,,,,,,,,,,,,,,
24,1_1_2_1_LT05_013030_20100704,6421,40.0,1278257006405.0,1.0167037,37.40751529274687,130.07694463,62.35034344,5.625811983235765,33.051575840000055,21.827189858759187,21.603094983376398,18.719817980000016,20.92360946972969,22.2947280862092,1.7960933125339882,1.519869583911155,"{""type"":""MultiPoint"",""coordinates"":[]}",2010-07-04 15:23:26.405000+00:00,LT05_013030_20100704,21.644,0.4840385659566121,1.2,0.25819888974716115,21.825000000000003,10.0,22.17,22.17,,1.0,21.49,21.49,,1.0,20.64,20.64,,1.0,20.96,20.96,,1.0,21.84,21.863333333333333,0.09352361555600207,6.0,,,,,,,,,,,,,,,,
25,1_1_2_1_LT05_013030_20100906,9502,28.0,1283786588713.0,1.0079366,55.35683076026798,146.95940977,48.65947916,2.555204607601442,24.85858189999999,20.522421126748164,20.583765008698297,16.593809540000052,20.16741429636349,21.143360788412977,-0.9640359396726907,0.9215675796376016,"{""type"":""MultiPoint"",""coordinates"":[]}",2010-09-06 15:23:08.713000+00:00,LT05_013030_20100906,20.098,0.9527830579704685,1.2,0.25819888974716115,19.445,10.0,21.34,21.34,,1.0,21.66,21.66,,1.0,20.48,20.48,,1.0,21.130000000000003,21.130000000000003,,1.0,19.4,19.395,0.04806245936279207,6.0,,,,,,,,,,,,,,,,
26,1_1_2_1_LT05_013030_20100922,14630,62.0,1285168983139.0,1.0036693,85.2315758811535,152.07256796,43.47270131,3.782562320278073,26.601772100000005,17.715878189991795,17.72109957247581,15.937549699999977,16.946310814769713,17.817665585839734,1.407614204010683,1.0481841293688638,"{""type"":""MultiPoint"",""coordinates"":[]}",2010-09-22 15:23:03.139000+00:00,LT05_013030_20100922,17.194,0.19044976007102615,1.2,0.25819888974716115,17.15,10.0,17.610000000000003,17.610000000000003,,1.0,17.110000000000003,17.110000000000003,,1.0,17.41,17.41,,1.0,17.24,17.24,,1.0,17.11,17.095,0.08803408430829672,6.0,,,,,,,,,,,,,,,,
