system:index,availablePixels_count,cloudcover_pct_scene,datetime_landsat,esd_au_scene,lakeCoverage_pct,sunazi_deg_scene,sunelev_deg_scene,surface_temp_kurtosis,surface_temp_max,surface_temp_mean,surface_temp_median,surface_temp_min,surface_temp_p25,surface_temp_p75,surface_temp_skew,surface_temp_stdDev,.geo
1_1_1_1_LT04_013030_19870526,17180,38.0,5.49039114106E11,1.0130782,100.08738712496358,123.58484709,57.46879674,3.2346436191731005,34.316243240000006,20.424237562318595,20.010614889378235,18.381434000000013,19.469443626348355,21.089845067571332,1.2834886967325554,1.3947050648718025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_LT04_013030_19890819,15421,26.0,6.195423818E11,1.0119189,89.83979027090008,134.84670457,51.73901843,5.330555292261341,31.42459832000003,22.788660178474334,23.109166095937155,18.118246460000023,22.575336175510223,23.164153169296036,-1.6699815570481058,1.0618045218978847,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_LT04_013030_19900721,8384,39.0,6.48572528899E11,1.0160593,48.843577046315175,124.58599166,57.04765729,-0.8272710182738567,27.634014139999977,22.221515372449065,22.03645418971573,14.54983358000004,20.717271229075468,23.943924296373922,-0.02750094946406111,1.786547247614102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19840610,17194,1.0,4.55727667224E11,1.0153706,100.16894844159627,123.40299391,59.97380875,3.616833202453467,37.597542439999984,22.714236005168523,22.476885338819642,19.15390652000002,21.71702929732813,23.321300420352237,1.5579349866054526,1.9055850887627062,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19840930,13677,2.0,4.65404580675E11,1.001191,79.67958054180018,148.25109242,38.88607488,4.080408624323431,18.41561420000005,15.295214367114033,15.21927987258729,13.025396660000013,15.069494576229877,15.609839674856623,0.0924734813021639,0.4016313245304145,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19841016,17194,1.0,4.66786978109E11,0.99661,100.16894844159627,152.29110037,33.64286919,8.975636982765845,20.182730540000023,13.395653402330488,13.397980789329043,12.22557998000002,13.254404646273526,13.397980789329043,2.1926266979091977,0.6454529360801872,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19850901,17194,5.0,4.94434941291E11,1.0090483,100.16894844159627,138.26796797,47.82221671,1.9694466423495065,25.15253161999999,18.55609199405032,18.643537104399215,16.081106540000007,18.13554803285648,19.14989987961737,-0.5214987937370194,0.7296363579481727,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19850917,17186,6.0,4.95817328367E11,1.0049189,100.12234197494902,143.90113999,43.06969196,7.905939271671956,23.97673273999999,17.73832091791543,17.796629358244903,15.45219086000003,17.655175906428916,17.796629358244903,1.4597303294707924,0.5292432568727183,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19851120,13926,36.0,5.01346879545E11,0.9879325,81.13020681619575,155.80005918,23.4112888,4.146915485186989,16.20757328000002,8.78868417942626,8.725897578679355,7.272869000000014,8.13173224811797,8.856202213721254,1.8754129744468162,1.1096521262179968,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19860515,17194,41.0,5.16553053589E11,1.0109716,100.16894844159627,128.12862104,56.60322024,2.3581412202660825,24.09978146000003,11.397564091884144,11.187812665909075,5.204966900000045,10.18632073611175,12.327096927353377,0.9452212716185228,1.744549227235337,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19860718,9873,28.0,5.22082532419E11,1.0162754,57.51820565103408,121.80262911,56.47480656,2.0613055258058477,32.62090532000002,20.565107228527005,20.725777631897238,17.87556704000002,19.447685931278816,21.56981989375998,0.652501076446258,1.3863205487346821,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19861022,16985,4.0,5.30376734304E11,0.9950896,98.95135450043693,150.39049325,30.89778213,1.216305052278055,13.73292680000003,8.858837540661018,8.755628502093517,6.223536860000024,8.620024308810104,9.24300615930791,-0.1302253369371241,0.8541704663944816,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19870502,14012,17.0,5.46965781548E11,1.0078675,81.63122633265365,131.29899378,53.55352379,5.652095279466115,20.962039100000027,7.478324492672177,6.850720949649108,6.141504380000015,6.709710324051209,7.415783238971116,2.242640894531828,1.5969189964666886,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19870619,17194,19.0,5.51113053269E11,1.0161292,100.16894844159627,121.1651707,59.46297476,2.389489053118292,35.49204212000001,20.749675433541892,20.952610313647074,16.228081400000008,20.18440834397022,21.57673021197878,0.5941976817565507,1.7493412649420061,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19870806,17194,17.0,5.55260321029E11,1.0142733,100.16894844159627,127.85027983,53.81402103,25.4707974293766,29.879653280000014,21.20555865104171,21.23011649229882,20.02550162,21.065560453255554,21.277225415167226,2.858543053577979,0.5068526643670505,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19871009,17194,9.0,5.60790015256E11,0.9988292,100.16894844159627,149.84749599,35.99111961,3.5434680934073146,12.974126360000014,11.273319737812171,11.392043420719776,8.062431619999984,11.245516289189535,11.392043420719776,-1.6822556308030017,0.6007395294821402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19871025,14175,34.0,5.62172430309E11,0.994327,82.58083309059133,153.29038146,30.82831641,2.204079945012782,12.953618240000026,10.185517586788093,10.262383637913382,7.1429842400000325,10.120356694629143,10.673027912007885,-0.6939619818803006,0.5076535268480424,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19880605,17194,26.0,5.81526204642E11,1.0147528,100.16894844159627,125.07561797,60.11291665,4.308780354033363,29.059328479999976,16.735563601003214,16.679922003661307,14.55325160000001,15.887335767217426,17.33684820658861,1.7339421773808958,1.4150114769562225,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19880621,16888,12.0,5.82908610003E11,1.0163172,98.38625109233907,122.86057005,60.2458883,1.0366216705034281,22.831696039999997,13.850359319065223,13.688084004364653,10.28072659999998,13.333343572460622,14.691086959521018,0.45915315746257473,1.2535453408656896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19880707,17184,13.0,5.84291014058E11,1.0166908,100.11069035828721,123.03384986,59.09176336,4.785881355767611,31.52030288000003,21.68337319325436,21.802324315371585,19.372659800000008,20.944999656657444,21.9420504533363,1.6655204313703986,1.11672773116458,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19880723,6764,32.0,5.85673417221E11,1.0158482,39.405767550247596,125.68538989,56.90043194,2.0830941292566125,26.389854860000014,19.645052060071468,20.055013893155277,9.104927719999978,18.702443571751264,21.532067977318917,-1.0610134877079997,2.3836836674495316,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19880909,16849,38.0,5.89820620435E11,1.0069936,98.15904456743372,141.68930555,45.59237656,77.52869591782077,23.00601505999998,17.770177446120833,17.68367540350162,4.500854780000054,17.540098795081388,18.160005358719754,-3.7775437086290338,0.6493670401455913,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19880925,13207,7.0,5.91203013741E11,1.0026268,76.9414506262744,147.02398984,40.59990784,11.55682460145066,21.41321774000005,16.20073948146674,16.34192449812682,14.334498320000023,15.959603239284036,16.496413557223832,1.3366957745201105,0.3958679942291907,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19881027,17193,3.0,5.93967806997E11,0.9935882,100.16312263326537,154.42391666,30.15958108,3.603913276224425,11.504377760000011,9.044284517148085,9.221149183514461,6.028709720000052,8.812009982619593,9.361385618278895,-1.268737411714432,0.45656198549664306,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19881112,17192,10.0,5.95350209557E11,0.989604,100.15729682493446,156.05571174,25.50104549,2.414535787866475,7.071205820000046,5.760746021391455,6.102487270977285,0.7512868400000343,5.566665899474707,6.246069098754369,-1.5221217653874786,0.9110144038476925,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19890507,8696,36.0,6.10556496228E11,1.0092191,50.66122924555783,131.59630944,55.57476125,3.5114390862125884,16.296441800000025,8.23945693022647,8.024077755257952,6.715731740000024,7.44077080780268,8.60092785626913,1.8313488108951985,1.4949299478710016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19890726,17194,1.0,6.17468403452E11,1.0155844,100.16894844159627,125.11043293,55.87151927,8.546642480507968,36.001327100000026,24.423525839791992,24.3520832718386,22.56509047999998,24.203903932965805,24.3520832718386,2.298133650947588,1.0802057323637317,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19890827,17194,2.0,6.20233161156E11,1.0102283,100.16894844159627,135.41357115,48.75503628,17.823021201566448,24.15105176000003,18.137114007346707,18.207368006236642,16.081106540000007,18.056053258064313,18.207368006236642,1.8571645389786855,0.4120702191211799,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19890928,17194,0.0,6.22997916844E11,1.0018597,100.16894844159627,146.28782295,39.1619852,2.6564484425917803,18.699309860000028,15.984971001836742,15.953019756206896,12.68701268000001,15.819989578983105,16.35594708019825,-1.324375954909679,0.5575921730322027,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19891014,17190,27.0,6.24380285241E11,0.9972737,100.14564520827265,150.41113312,33.91842127,-0.6757880733172206,17.76277238,11.015690354542434,11.778852399878376,6.616609160000053,9.432444362937227,12.322720997169123,-0.623479103251462,1.7499666805706213,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19891030,14360,36.0,6.25762657767E11,0.9928742,83.6586076318089,153.21914037,28.81433218,6.451602468903504,12.283686320000015,7.079355339312459,6.817775366826333,5.553604940000014,6.6838712872770865,7.308309955449643,2.0591681480395603,0.6883593135780991,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19900526,15677,41.0,6.43733584131E11,1.0131161,91.331197203612,123.88787403,57.66536181,0.1876757340886308,21.43030784000001,11.610293778804069,11.923594688785121,0.9153518000000531,9.569250640185631,14.357767985472444,-0.4838353393058852,3.040234118715351,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19900627,17194,52.0,6.464983835E11,1.01658,100.16894844159627,119.16979868,58.32586374,5.043307583719985,32.63457740000001,22.4709818194306,22.508548747981077,21.00989138,21.8270060727476,22.508548747981077,1.4888233145244774,0.9078870119658748,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19900729,13283,13.0,6.49263176699E11,1.0152917,77.38421205942323,123.59947906,54.34151425,4.104965560059391,31.185336920000054,24.681719747402386,24.906676804076753,22.93765466000002,24.20208516422573,25.054063306071498,1.055823762250594,0.7560842540247062,"{""type"":""MultiPoint"",""coordinates"":[]}"
