,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
206981,2014-08-08 15:10:00,43.3913,-72.0576,loon,1.5,23.18,edi.499.2,8,1407510600000.0
206982,2014-08-08 15:20:00,43.3913,-72.0576,loon,0.5,23.04,edi.499.2,8,1407511200000.0
206983,2014-08-08 15:30:00,43.3913,-72.0576,loon,0.5,23.04,edi.499.2,8,1407511800000.0
206984,2014-08-08 15:40:00,43.3913,-72.0576,loon,1.5,23.19,edi.499.2,8,1407512400000.0
206985,2014-08-08 15:50:00,43.3913,-72.0576,loon,0.5,22.979999999999997,edi.499.2,8,1407513000000.0
206986,2014-08-08 16:00:00,43.3913,-72.0576,loon,0.5,23.04,edi.499.2,8,1407513600000.0
393947,2014-08-08 16:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.2,23.14,edi.498.1,8,1407513600000.0
428742,2014-08-08 16:00:00,43.3446,-72.0438,SouthOfTheFells,1.4,22.48,edi.498.1,8,1407513600000.0
463537,2014-08-08 16:00:00,43.3235,-72.0411,Newbury,1.4,22.66,edi.498.1,8,1407513600000.0
498332,2014-08-08 16:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,22.93,edi.498.1,8,1407513600000.0
