,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
183582,2013-07-12 15:10:00,43.3913,-72.0576,loon,0.5,25.18,edi.499.2,7,1373641800000.0
183583,2013-07-12 15:20:00,43.3913,-72.0576,loon,0.5,25.18,edi.499.2,7,1373642400000.0
183584,2013-07-12 15:30:00,43.3913,-72.0576,loon,0.5,25.24,edi.499.2,7,1373643000000.0
183585,2013-07-12 15:40:00,43.3913,-72.0576,loon,0.5,25.3,edi.499.2,7,1373643600000.0
183586,2013-07-12 15:50:00,43.3913,-72.0576,loon,0.5,25.3,edi.499.2,7,1373644200000.0
183587,2013-07-12 16:00:00,43.3913,-72.0576,loon,0.5,25.36,edi.499.2,7,1373644800000.0
390449,2013-07-12 16:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,24.52,edi.498.1,7,1373644800000.0
425244,2013-07-12 16:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,23.49,edi.498.1,7,1373644800000.0
460039,2013-07-12 16:00:00,43.3235,-72.0411,Newbury,1.4,24.02,edi.498.1,7,1373644800000.0
494834,2013-07-12 16:00:00,43.4096,-72.0365,HerrickCoveSouth,1.6,24.64,edi.498.1,7,1373644800000.0
