,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
121877,2011-07-07 15:00:00,43.3913,-72.0576,loon,0.5,23.6,edi.499.2,7,1310050800000.0
121878,2011-07-07 15:10:00,43.3913,-72.0576,loon,0.5,23.6,edi.499.2,7,1310051400000.0
121879,2011-07-07 15:20:00,43.3913,-72.0576,loon,0.5,23.6,edi.499.2,7,1310052000000.0
121880,2011-07-07 15:30:00,43.3913,-72.0576,loon,0.5,23.6,edi.499.2,7,1310052600000.0
121881,2011-07-07 15:40:00,43.3913,-72.0576,loon,0.5,23.6,edi.499.2,7,1310053200000.0
121882,2011-07-07 15:50:00,43.3913,-72.0576,loon,0.5,23.6,edi.499.2,7,1310053800000.0
384387,2011-07-07 15:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,21.64,edi.498.1,7,1310050800000.0
419182,2011-07-07 15:00:00,43.3446,-72.0438,SouthOfTheFells,1.4,23.130000000000006,edi.498.1,7,1310050800000.0
453977,2011-07-07 15:00:00,43.3235,-72.0411,Newbury,1.5,24.38,edi.498.1,7,1310050800000.0
488772,2011-07-07 15:00:00,43.4096,-72.0365,HerrickCoveSouth,1.9,24.21,edi.498.1,7,1310050800000.0
