,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
105680,2010-09-14 15:00:00,43.3913,-72.0576,loon,1.0,17.56,edi.499.2,9,1284476400000.0
105681,2010-09-14 15:10:00,43.3913,-72.0576,loon,1.0,17.58,edi.499.2,9,1284477000000.0
105682,2010-09-14 15:20:00,43.3913,-72.0576,loon,1.0,17.64,edi.499.2,9,1284477600000.0
105683,2010-09-14 15:30:00,43.3913,-72.0576,loon,1.0,17.630000000000006,edi.499.2,9,1284478200000.0
105684,2010-09-14 15:40:00,43.3913,-72.0576,loon,1.0,17.630000000000006,edi.499.2,9,1284478800000.0
105685,2010-09-14 15:50:00,43.3913,-72.0576,loon,1.0,17.58,edi.499.2,9,1284479400000.0
383352,2010-09-14 15:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,19.51,edi.498.1,9,1284476400000.0
418147,2010-09-14 15:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,18.69,edi.498.1,9,1284476400000.0
452942,2010-09-14 15:00:00,43.3235,-72.0411,Newbury,1.5,19.04,edi.498.1,9,1284476400000.0
487737,2010-09-14 15:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,19.54,edi.498.1,9,1284476400000.0
