,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
30199,2007-09-14 15:00:00,43.3913,-72.0576,loon,0.5,19.75,edi.499.2,9,1189782000000.0
30200,2007-09-14 15:10:00,43.3913,-72.0576,loon,0.5,19.75,edi.499.2,9,1189782600000.0
30201,2007-09-14 15:20:00,43.3913,-72.0576,loon,0.5,19.75,edi.499.2,9,1189783200000.0
30202,2007-09-14 15:30:00,43.3913,-72.0576,loon,0.5,19.75,edi.499.2,9,1189783800000.0
30203,2007-09-14 15:40:00,43.3913,-72.0576,loon,0.5,19.75,edi.499.2,9,1189784400000.0
30204,2007-09-14 15:50:00,43.3913,-72.0576,loon,0.5,19.75,edi.499.2,9,1189785000000.0
372485,2007-09-14 15:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,19.67,edi.498.1,9,1189782000000.0
407280,2007-09-14 15:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,19.18,edi.498.1,9,1189782000000.0
442075,2007-09-14 15:00:00,43.3235,-72.0411,Newbury,1.5,19.37,edi.498.1,9,1189782000000.0
476870,2007-09-14 15:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,19.71,edi.498.1,9,1189782000000.0
