system:index,cloud_cover,earthsun_d,l_exceltime,pixel_count,sunazi,sunelev,temp_max,temp_mean,temp_median,temp_min,temp_p25,temp_p75,temp_skew,temp_stdDev,vapor_source,.geo
1_1_2_1_LT05_013030_19840610,1.0,1.0153706,30843.625778055553,17134,123.40299391,59.97380875,36.81823387999998,22.72766819984133,22.47691381361151,19.15390652000002,21.74126036146065,23.326161193623513,1.6047110621755822,1.9580843891030495,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19840930,2.0,1.001191,30955.627091145834,16247,148.25109242,38.88607488,18.699309860000028,15.280091505199012,15.218849625320221,11.353984879999985,15.069422604671555,15.6099700204816,-0.2739886088666498,0.42817692174444294,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19841016,1.0,0.99661,30971.627061446758,17134,152.29110037,33.64286919,19.047947900000054,13.41843315219372,13.397960839998365,12.22557998000002,13.254403999999477,13.397960839998365,2.36229013693611,0.7153817765065683,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19850901,5.0,1.0090483,31291.6266353125,17134,138.26796797,47.82221671,24.15105176000003,18.56277506780627,18.643321114967744,16.081106540000007,18.135383134989944,19.149693806251072,-0.6069923034665762,0.733842220447565,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19850917,6.0,1.0049189,31307.626485729168,17128,143.90113999,43.06969196,23.057285360000037,17.753682726390757,17.794342503478482,15.934131680000007,17.655145604273045,17.802605905135646,1.6626459636352882,0.559409266660729,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19851120,36.0,0.9879325,31371.625920659724,14663,155.80005918,23.4112888,16.839906980000023,8.789315099997946,8.725848450893718,7.272869000000014,8.131729589289375,8.856184715597722,2.2158991895363873,1.1839293340199721,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19860515,41.0,1.0109716,31547.623305428242,17134,128.12862104,56.60322024,21.45081596,11.407720120259098,11.18627898404433,5.204966900000045,10.185827514265805,12.327416657767264,1.0116313759133049,1.7761334210592994,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19860616,18.0,1.0159089,31579.622642476854,5954,120.95460218,59.22855633,8.359799360000011,-32.10741497281439,-32.16747661389421,-60.69787671999998,-41.4331184836635,-23.072574861500932,0.0815167547945727,11.595651521646761,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19860718,28.0,1.0162754,31611.621902997686,10416,121.80262911,56.47480656,29.927505559999986,20.514117054734562,20.72607099689064,17.28766760000002,19.30895187271704,21.56976967823758,0.5726461556600407,1.4058753850902057,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19861022,4.0,0.9950896,31707.61961,17053,150.39049325,30.89778213,13.931171960000029,8.874153099693148,8.755350537884814,6.223536860000024,8.620710815118692,9.24307667372696,0.11945922341999606,0.8972110270497743,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19861123,72.0,0.9874027,31739.61879398148,6072,153.42011075,22.01667595,2.55941942000004,-1.4459616929043808,-1.029556109729516,-6.026646819999996,-2.8728207463845776,0.18049913662286007,-0.4278538460233244,1.9702315741710534,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19870502,17.0,1.0078675,31899.622471620372,17134,131.29899378,53.55352379,18.866792840000016,7.530330984021021,7.275359762315489,6.141504380000015,6.709673296375316,7.836659582044774,2.388802407495908,1.642317473316607,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_LT04_013030_19870526,38.0,1.0130782,31923.619376226852,17118,123.58484709,57.46879674,30.248799440000028,20.42548270886922,20.0104377501057,18.381434000000013,19.469433712631126,21.088481652827898,1.1991158039506746,1.394817140863079,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19870619,19.0,1.0161292,31947.62330172454,17134,121.1651707,59.46297476,31.875776960000053,20.76180312397178,20.952604865241003,16.228081400000008,20.182969301977188,21.57157543555124,0.6611836113021943,1.785334437663567,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19870806,17.0,1.0142733,31995.624085983796,17134,127.85027983,53.81402103,28.744870640000045,21.21296002125611,21.2537497884674,20.02550162,21.061311804585994,21.2537497884674,2.3801036512305336,0.5127228216760844,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19871009,9.0,0.9988292,32059.625176574074,17134,149.84749599,35.99111961,12.974126360000014,11.285516383692432,11.39197091760773,7.949636960000021,11.245588120121235,11.39197091760773,-1.6301948072850079,0.5830275682955365,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19871025,34.0,0.994327,32075.62535079861,15398,153.29038146,30.82831641,12.98438041999998,10.185850231764674,10.26095876761815,7.1429842400000325,10.121448324673231,10.672459690764361,-0.597075997571319,0.5183193645447775,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19880605,26.0,1.0147528,32299.627368541667,17133,125.07561797,60.11291665,25.928422160000025,16.747293198320833,16.67990141721987,14.55325160000001,15.887305707415,17.336909826118927,1.7932462851206619,1.4597905655872732,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}"
