"","collection","filter","month","variable","All missions","LS 5","LS 7","LS 8"
"56","2","min below zero","06","bias",0.51,0.07,0.76,0.77
"57","2","none","06","bias",0.51,0.07,0.77,0.76
"58","1","none","07","n_obs",17,2,6,9
"59","2","110% in-situ IQR","07","n_obs",16,2,6,8
"60","2","110% in-situ range","07","n_obs",8,1,1,6
"61","2","min below zero","07","n_obs",16,2,6,8
"62","2","none","07","n_obs",16,2,6,8
"63","1","none","07","mae",0.71,0.76,0.15,1.07
"64","2","110% in-situ IQR","07","mae",0.46,0.78,0.42,0.4
"65","2","110% in-situ range","07","mae",0.51,0.8,0.16,0.52
"66","2","min below zero","07","mae",0.48,0.78,0.46,0.43
"67","2","none","07","mae",0.48,0.79,0.44,0.43
"68","1","none","07","rmse",1.26,0.77,0.17,1.7
"69","2","110% in-situ IQR","07","rmse",0.56,0.82,0.56,0.46
"70","2","110% in-situ range","07","rmse",0.58,0.8,0.17,0.59
"71","2","min below zero","07","rmse",0.57,0.79,0.6,0.49
"72","2","none","07","rmse",0.57,0.81,0.58,0.48
"73","1","none","07","bias",-0.24,-0.1,0.1,-0.51
"74","2","110% in-situ IQR","07","bias",0.07,-0.23,0.19,0.06
"75","2","110% in-situ range","07","bias",0.15,-0.8,-0.16,0.36
"76","2","min below zero","07","bias",0.18,-0.12,0.3,0.17
"77","2","none","07","bias",0.13,-0.14,0.24,0.12
"78","1","none","08","n_obs",14,3,8,3
"79","2","110% in-situ IQR","08","n_obs",13,3,8,2
"80","2","110% in-situ range","08","n_obs",5,1,3,1
"81","2","min below zero","08","n_obs",14,3,8,3
"82","2","none","08","n_obs",14,3,8,3
"83","1","none","08","mae",0.78,1.27,0.45,1.18
"84","2","110% in-situ IQR","08","mae",0.48,0.98,0.31,0.42
"85","2","110% in-situ range","08","mae",0.64,1.98,0.2,0.62
"86","2","min below zero","08","mae",0.63,1.01,0.33,1.07
"87","2","none","08","mae",0.62,0.99,0.32,1.07
"88","1","none","08","rmse",1.09,1.64,0.59,1.37
"89","2","110% in-situ IQR","08","rmse",0.73,1.32,0.36,0.59
"90","2","110% in-situ range","08","rmse",0.95,1.98,0.26,0.62
"91","2","min below zero","08","rmse",0.93,1.28,0.37,1.42
"92","2","none","08","rmse",0.93,1.28,0.36,1.44
"93","1","none","08","bias",-0.28,-0.96,0.32,-1.18
"94","2","110% in-situ IQR","08","bias",-0.18,-0.51,0,-0.41
"95","2","110% in-situ range","08","bias",-0.56,-1.98,-0.07,-0.62
"96","2","min below zero","08","bias",-0.23,-0.4,0.11,-0.99
"97","2","none","08","bias",-0.27,-0.42,0.07,-1.02
"98","1","none","09","n_obs",21,5,11,5
"99","2","110% in-situ IQR","09","n_obs",19,4,11,4
"100","2","110% in-situ range","09","n_obs",13,4,5,4
"101","2","min below zero","09","n_obs",21,5,11,5
"102","2","none","09","n_obs",21,5,11,5
"103","1","none","09","mae",0.84,1.51,0.57,0.76
"104","2","110% in-situ IQR","09","mae",0.57,0.78,0.55,0.42
"105","2","110% in-situ range","09","mae",0.4,0.7,0.24,0.31
"106","2","min below zero","09","mae",0.87,1.8,0.52,0.72
"107","2","none","09","mae",0.87,1.77,0.53,0.7
"108","1","none","09","rmse",1.31,2.26,0.76,0.89
"109","2","110% in-situ IQR","09","rmse",0.71,1,0.65,0.46
"110","2","110% in-situ range","09","rmse",0.61,0.92,0.32,0.5
"111","2","min below zero","09","rmse",1.54,2.84,0.61,1.02
"112","2","none","09","rmse",1.53,2.82,0.62,1
"113","1","none","09","bias",-0.34,-1.08,-0.29,0.31
"114","2","110% in-situ IQR","09","bias",-0.26,-0.38,-0.28,-0.07
"115","2","110% in-situ range","09","bias",0.01,-0.11,-0.06,0.2
"116","2","min below zero","09","bias",-0.53,-1.44,-0.18,-0.4
"117","2","none","09","bias",-0.52,-1.41,-0.19,-0.37
"118","1","none","10","n_obs",20,5,9,6
"119","2","110% in-situ IQR","10","n_obs",19,5,9,5
"120","2","110% in-situ range","10","n_obs",17,4,9,4
"121","2","min below zero","10","n_obs",19,5,9,5
"122","2","none","10","n_obs",20,5,9,6
"123","1","none","10","mae",0.69,0.46,0.51,1.16
"124","2","110% in-situ IQR","10","mae",0.51,0.47,0.21,1.09
"125","2","110% in-situ range","10","mae",0.56,0.53,0.44,0.87
"126","2","min below zero","10","mae",0.49,0.46,0.22,1.01
"127","2","none","10","mae",0.54,0.49,0.3,0.95
"128","1","none","10","rmse",0.88,0.57,0.66,1.3
"129","2","110% in-situ IQR","10","rmse",0.93,0.56,0.28,1.68
"130","2","110% in-situ range","10","rmse",0.89,0.62,0.52,1.55
"131","2","min below zero","10","rmse",0.91,0.55,0.32,1.63
"132","2","none","10","rmse",0.89,0.56,0.39,1.47
"133","1","none","10","bias",-0.03,-0.26,0.41,-0.52
"134","2","110% in-situ IQR","10","bias",-0.26,-0.09,0.11,-1.09
"135","2","110% in-situ range","10","bias",0.17,0.43,0.44,-0.69
"136","2","min below zero","10","bias",-0.18,0,0.19,-1.01
"137","2","none","10","bias",-0.13,0.08,0.28,-0.92
"138","1","none","11","n_obs",18,2,11,5
"139","2","110% in-situ IQR","11","n_obs",12,2,6,4
"140","2","110% in-situ range","11","n_obs",11,2,5,4
"141","2","min below zero","11","n_obs",12,2,6,4
"142","2","none","11","n_obs",15,2,8,5
"143","1","none","11","mae",0.9,0.48,1.13,0.58
"144","2","110% in-situ IQR","11","mae",0.62,0.17,0.88,0.44
"145","2","110% in-situ range","11","mae",0.64,0.51,1.07,0.18
"146","2","min below zero","11","mae",0.58,0.17,0.86,0.37
"147","2","none","11","mae",0.73,0.33,0.93,0.57
"148","1","none","11","rmse",1.38,0.48,1.67,0.77
"149","2","110% in-situ IQR","11","rmse",1.24,0.2,1.71,0.47
"150","2","110% in-situ range","11","rmse",1.19,0.54,1.73,0.17
"151","2","min below zero","11","rmse",1.21,0.24,1.68,0.4
"152","2","none","11","rmse",1.23,0.37,1.5,0.92
"153","1","none","11","bias",-0.53,-0.05,-0.84,-0.04
"154","2","110% in-situ IQR","11","bias",-0.49,0.1,-0.71,-0.44
"155","2","110% in-situ range","11","bias",-0.12,0.51,-0.45,-0.03
"156","2","min below zero","11","bias",-0.42,0.17,-0.64,-0.37
"157","2","none","11","bias",-0.38,0.33,-0.44,-0.57
