system:index,azimuth,cloud_cover,elev,emiss,esd,l_exceltime,landsat_time,pct_lake,pixel_count,surface_temp_max,surface_temp_mean,surface_temp_median,surface_temp_min,surface_temp_stdDev,sza,v_exceltime,vapor_time,water_column,.geo
1_1_2_1_LT05_013030_19850901,138.26797,5.0,47.822216,0.9779510005476145,1.0090483,31291.6266353125,494434941291,0.7272842639593908,17193,21.078635021846537,16.857646575390216,17.030211924090256,14.253719078202446,0.6428039393031849,42.17778396606445,31291.75,494445600000,1.170001220703125,
1_1_2_1_LT05_013030_19850917,143.90114,6.0,43.06969,0.9779510005476145,1.0049189,31307.626485729168,495817328367,0.727072758037225,17188,18.395374838100636,15.182237319386559,15.186315786106608,12.83998489619897,0.38375646643152334,46.9303092956543,31307.75,495828000000,1.6,
1_1_2_1_LT05_013030_19851120,155.80006,36.0,23.41129,0.9779510005476145,0.9879325,31371.625920659724,501346879545,0.6879864636209814,16264,12.838533992975135,8.982235601119502,8.981940049867227,7.9969051248375065,0.7491296731782914,66.58871078491211,31371.75,501357600000,2.3600006103515625,
1_1_2_1_LT05_013030_19860515,128.12862,41.0,56.60322,0.9779510005476145,1.0109715,31547.623305428242,516553053589,0.7272842639593908,17193,19.296556403141224,10.001390242087968,9.960210236350852,3.966077201779566,1.496071843603267,33.39677810668945,31547.5,516542400000,1.4799987792968752,
1_1_2_1_LT05_013030_19861022,150.39049,4.0,30.897781,0.9779510005476145,0.9950896,31707.61961,530376734304,0.7267766497461929,17181,9.473356369758609,7.118555990361898,7.004670069355775,4.988641914643097,0.6768798650333513,59.10221862792969,31707.5,530366400000,1.220001220703125,
1_1_2_1_LT05_013030_19861123,153.4201,72.0,22.016676,0.9779510005476145,0.9874027,31739.61879398148,533141463800,0.49826565143824025,11779,1.3655354366607741,-3.7299889688700145,-3.489928334177084,-10.36713842519311,2.274915179624111,67.98332405090332,31739.5,533131200000,1.1,
1_1_2_1_LT05_013030_19870502,131.299,17.0,53.553524,0.9779510005476145,1.0078675,31899.622471620372,546965781548,0.7272842639593908,17193,15.650022079335262,6.128882865790883,6.001663420185941,4.988850256534406,1.3139906408698696,36.446475982666016,31899.5,546955200000,0.55,
1_1_1_1_LT04_013030_19870526,123.58484709,38.0,57.46879674,0.9779510005476145,1.0130782,31923.619376226852,5.49039114106E11,0.7272842639593908,17193,26.58737786503675,17.11941904656657,16.81546235532075,15.479934718609929,1.0510937041057609,32.53120326,31923.5,549028800000,1.379998779296875,
1_1_2_1_LT05_013030_19870705,121.050354,16.0,58.560978,0.9779510005476145,1.016714,31963.623527060186,552495472738,0.7272842639593908,17193,22.843681662669713,17.326903635832718,17.03082731725946,16.572237295525127,0.6050242371746635,31.439022064208984,31963.5,552484800000,2.0500000000000003,
1_1_2_1_LT05_013030_19870806,127.85028,17.0,53.814022,0.9779510005476145,1.0142733,31995.624085983796,555260321029,0.7272842639593908,17193,23.706573417571537,18.411578417091714,18.394733296853328,17.486769897091687,0.30762491729344904,36.185977935791016,31995.5,555249600000,1.2299987792968752,
1_1_2_1_LT05_013030_19871009,149.84749,9.0,35.99112,0.9779510005476145,0.9988292,32059.625176574074,560790015256,0.7272842639593908,17193,10.445341179046576,9.416766821077298,9.473057915058895,5.496044576897699,0.6025143764640605,54.008880615234375,32059.75,560800800000,1.4600006103515626,
1_1_2_1_LT05_013030_19871025,153.29037,34.0,30.828316,0.9779510005476145,0.994327,32075.62535079861,562172430309,0.6998730964467005,16545,9.473681182248564,8.290723507241465,8.492827119473214,2.413648733172331,0.76007535251538,59.17168426513672,32075.75,562183200000,0.8,
1_1_2_1_LT05_013030_19880605,125.075615,26.0,60.112915,0.9779510005476145,1.0147527,32299.627368541667,581526204642,0.7272842639593908,17193,19.7480036055187,12.852325704865576,12.83876944652788,11.407706954680766,0.8955649108970899,29.8870849609375,32299.75,581536800000,2.2600006103515624,
1_1_2_1_LT05_013030_19880621,122.86057,12.0,60.245888,0.9779510005476145,1.0163172,32315.627430590277,582908610003,0.7245769881556684,17129,18.847703684713277,13.151707612118635,13.312611975679117,10.44458202790438,0.8153116538000007,29.754112243652344,32315.75,582919200000,1.8899993896484375,
1_1_2_1_LT05_013030_19880723,125.68539,32.0,56.900433,0.9779510005476145,1.0158482,32347.627514131942,585673417221,0.44251269035533,10461,21.086881293685053,15.313278557695506,16.111843492650248,2.933179371372155,2.4215197433436186,33.09956741333008,32347.75,585684000000,2.5,
1_1_2_1_LT05_013030_19880909,141.6893,38.0,45.592377,0.9779510005476145,1.0069937,32395.627551331017,589820620435,0.7248730964467005,17136,18.396661108150468,15.687893765033886,15.649809756180996,6.00033695835977,0.5732489347037953,44.407623291015625,32395.75,589831200000,2.169999694824219,
1_1_2_1_LT05_013030_19880925,147.02399,7.0,40.599907,0.9779510005476145,1.0026268,32411.62747385417,591203013741,0.7272842639593908,17193,16.571820951027508,14.03016641769574,14.253819241712524,12.365688406859888,0.31511182989512476,49.40009307861328,32411.75,591213600000,0.8899993896484375,
1_1_2_2_LT05_013030_19881011,151.37200786,76.0,35.34130779,0.9779510005476145,0.9980436,32427.627407627315,5.92585408019E11,0.25503384094754655,6029,11.409702556311904,7.646085795714997,7.998897350631419,0.30660545566369474,1.8337621577568115,54.65869221,32427.75,592596000000,1.1200012207031251,
1_1_2_1_LT05_013030_19881027,154.42392,3.0,30.15958,0.9779510005476145,0.9935882,32443.627395798612,593967806997,0.7271996615905245,17191,8.492797431649338,7.266503937242088,7.5031383241306635,4.478771431616205,0.4286195262896653,59.84041976928711,32443.75,593978400000,0.8600006103515625,
1_1_2_1_LT05_013030_19881112,156.05571,10.0,25.501045,0.9779510005476145,0.989604,32459.62742542824,595350209557,0.7271996615905245,17191,5.496451880808324,4.581956165130195,4.988848420004731,-0.7634500708266707,0.9172965217698651,64.49895477294922,32459.75,595360800000,0.570001220703125,
1_1_2_1_LT05_013030_19890507,131.59631,36.0,55.57476,0.9779510005476145,1.009219,32635.62611375,610556496228,0.6129441624365483,14490,13.784487668712176,6.915522682329777,6.504159177638329,3.4512106187938056,1.158321781795555,34.42523956298828,32635.75,610567200000,1.25,
1_1_1_1_LT04_013030_19890819,134.84670457,26.0,51.73901843,0.9779510005476145,1.0119189,32739.62941898148,6.195423818E11,0.6885363790186125,16277,24.532683599079682,19.32893530829512,19.875128703453623,13.674237218870505,1.1717308971531584,38.26098157,32739.75,619552800000,1.8399993896484377,
