,system:index,azimuth,cloud_cover,elev,emiss,esd,l_exceltime,landsat_time,pct_lake,pixel_count,surface_temp_max,surface_temp_mean,surface_temp_min,surface_temp_stdDev,sza,v_exceltime,vapor_time,water_column,zscore_max,zscore_mean,zscore_min,scene,avg_temp,t_std_dev,avg_depth,d_std_dev,count
86,1_1_2_1_LT05_013030_19990722,127.66668999999999,16.0,58.171623,0.981,1.0160027,36363.6323787963,932656237528.0,0.8517343485617598,20135,24.15479791472528,18.919143554646435,16.57193538994492,0.5974118218032188,31.82837677001953,36363.75,932666400000,2.5,8.763894802542787,4.578331637720466e-12,-3.9289616961658633,LT05_013030_19990722,,,,,0.0
87,1_1_2_1_LT05_013030_19990807,131.96028,12.0,55.12404300000001,0.981,1.0141307,36379.63234658565,934038634745.0,0.98582910321489,23305,23.274289224337224,19.110984373471037,8.491897230464712,0.4480571788392349,34.87595748901367,36379.75,934048800000,1.6100006103515625,9.291905246673887,-6.482535321301701e-12,-23.70029461533637,LT05_013030_19990807,,,,,0.0
88,1_1_2_1_LT05_013030_19990823,137.39035,8.0,51.28611,0.981,1.0112184000000002,36395.63218381944,935421020682.0,1.0,23640,21.527531809322596,17.032674896068126,16.571881741739244,0.4424945891070641,38.7138900756836,36395.75,935431200000,2.3600006103515625,10.157992942523665,1.001588651730534e-12,-1.0413531954339699,LT05_013030_19990823,,,,,0.0
89,1_2_1_LE07_013030_19990831,145.72757,0.0,50.852158,0.981,1.009433,36403.64294917824,936113150809.0,1.0,23640,23.890708333282003,18.513901796218605,17.099266055556008,0.3672272436127219,39.14784240722656,36403.75,936122400000,1.9200012207031247,14.64163302310376,-1.07848547041645e-11,-3.852208040845872,LE07_013030_19990831,,,,,0.0
90,1_1_2_1_LT05_013030_19990924,148.3218,0.0,41.7179,0.981,1.0031499,36427.631539097216,938185764978.0,1.0,23640,20.193325452621078,14.868193843333295,14.252513778140795,0.4246903453140177,48.28210067749024,36427.75,938196000000,2.0600006103515627,12.538857235735748,-8.572459226903392e-13,-1.4497152383750682,LT05_013030_19990924,,,,,0.0
91,1_2_1_LE07_013030_19991002,155.64442,2.0,40.403183,0.981,1.0008736999999999,36435.643004386584,938877955579.0,1.0,23640,16.01966273398167,13.711737968063366,11.597933904910596,0.3031570017430822,49.59681701660156,36435.75,938887200000,1.6899993896484375,7.612968701525188,-3.3628724448736604e-12,-6.972638108303257,LE07_013030_19991002,,,,,0.0
92,1_1_2_1_LT05_013030_19991026,155.65736,15.0,31.093649,0.981,0.9940889,36459.63145990741,940950558136.0,1.0,23640,9.960298184956656,7.504041200546213,4.9885715144944,0.5428753440857542,58.90635108947754,36459.75,940960800000,1.2600006103515626,4.524532217514828,-2.0642645212116486e-13,-4.633604589812541,LT05_013030_19991026,,,,,0.0
93,1_1_2_1_LT05_013030_19991111,157.27472,4.0,26.328298999999998,0.981,0.9900341999999999,36475.6310762037,942332924984.0,0.9999153976311336,23638,7.004858968095674,5.91151734622532,-0.7634513907909034,1.038390831283974,63.67170143127442,36475.75,942343200000,0.270001220703125,1.052919179302107,-1.4779175599246635e-12,-6.428185357494539,LT05_013030_19991111,,,,,0.0
94,1_1_2_1_LT05_013030_20000622,124.882126,57.0,61.10395,0.981,1.0163646000000002,36699.63153555556,961686564672.0,0.6892978003384095,16295,19.298294502913137,10.317389255762997,3.450739096989275,2.1817730038339405,28.89604949951172,36699.75,961696800000,2.1899993896484378,4.1163334734495125,-7.226611480132532e-14,-3.1472798254938708,LT05_013030_20000622,,,,,0.0
95,1_2_1_LE07_013030_20000630,130.34134,51.0,62.78680799999999,0.981,1.0166701999999999,36707.642050196766,962378673137.0,0.5112098138747885,12085,21.324589961724172,16.075833131618015,1.56027166320543,1.141163459919816,27.213191986083984,36707.75,962388000000,2.169999694824219,4.599478527357479,-1.0000259894596376e-12,-12.71996692694009,LE07_013030_20000630,,,,,0.0
