system:index,Name,OBJECTID,WAYPOINT,X,Y,azimuth,cloud_cover,count,elev,emiss,esd,l_exceltime,landsat_time,max,mean,median,min,p25,p75,pct_lake,pixel_count,skew,stdDev,sza,type,uid,v_exceltime,vapor_time,water_column,.geo
1_2_1_LE07_013030_20131109_00000000000000000003,Newbury Deep Site,13,230.0,-72.042191,43.335879,162.52426,58.0,125,28.00847,0.9779510005476145,0.9904225,41587.645178935185,1384010943460,6.403907523796482,5.704752762563273,5.810742630800964,4.614207122972501,5.214186139667325,5.810742630800964,0.639424703891709,15116,-0.050077673384019764,0.36907007625364524,61.99152946472168,deep,1_LE07_013030_20131109,41587.75,1384020000000,0.8899993896484375,"{""type"":""Polygon"",""coordinates"":[[[-72.04219086709705,43.337500402210324],[-72.0432044364579,43.33732292010137],[-72.04399588181242,43.33682936918597],[-72.04439176663283,43.336127910061705],[-72.04430535010567,43.33537226174633],[-72.04375558543462,43.334728012849865],[-72.04286295305292,43.334336336002124],[-72.04182305299082,43.334283056323635],[-72.04086374827165,43.33457984845959],[-72.04019524547844,43.335161678943024],[-72.0399640404324,43.335901053780155],[-72.04022081329086,43.33663595206419],[-72.04084815890556,43.3371547576755],[-72.04102303066394,43.337154757192856],[-72.04102303066394,43.33723806927681],[-72.0418786595096,43.33748440613068],[-72.04219086709705,43.337500402210324]]]}"
1_2_1_LE07_013030_20131125_00000000000000000000,North Deep Site,10,200.0,-72.043774,43.403914,162.70673,26.0,129,24.10748,0.9779510005476145,0.9870306,41603.64524097222,1385393348820,3.4036722697824433,2.646810840050278,2.7929568518000543,2.178573485678774,2.178573485678774,2.7929568518000543,0.6487732656514382,15337,-0.5652132888855881,0.29383276900458105,65.89252090454102,deep,1_LE07_013030_20131125,41603.75,1385402400000,0.6899993896484375,"{""type"":""Polygon"",""coordinates"":[[[-72.04377384797102,43.40553290698275],[-72.04478855492674,43.40535542486313],[-72.0455808885369,43.404861873924595],[-72.04597721761634,43.404160414783874],[-72.0458907040396,43.40340476647237],[-72.04534032233441,43.402760517596896],[-72.0444466881739,43.40236884076986],[-72.04340562108699,43.402315561094646],[-72.04244523977673,43.40261235321373],[-72.04177598670573,43.40319418367413],[-72.04154452211817,43.40393355850114],[-72.04180158309838,43.40466845679636],[-72.04249085290971,43.40523783316479],[-72.04346128997071,43.405516910902094],[-72.04377384797102,43.40553290698275]]]}"
1_2_1_LE07_013030_20131125_00000000000000000001,HedgeHog,11,210.0,-72.062433,43.384405,162.70673,26.0,114,24.10748,0.9779510005476145,0.9870306,41603.64524097222,1385393348820,3.4036722697824433,2.710721739869189,2.7929568518000543,2.178573485678774,2.7929568518000543,2.7929568518000543,0.6487732656514382,15337,-1.4844431571764667,0.2333921087909087,65.89252090454102,deep,1_LE07_013030_20131125,41603.75,1385402400000,0.6899993896484375,"{""type"":""Polygon"",""coordinates"":[[[-72.0624351858797,43.38602433987392],[-72.06344956621864,43.385846857757365],[-72.06424164480023,43.38535330682547],[-72.06463784632773,43.38465184768947],[-72.06455136061506,43.383896199376856],[-72.06400115606756,43.38325195049536],[-72.06310780952946,43.38286027366238],[-72.06206707750898,43.38280699398622],[-72.06110700530061,43.383103786110155],[-72.06043796764314,43.38368561657716],[-72.06020657757297,43.38442499140707],[-72.06046355583007,43.38515988969909],[-72.0611526037908,43.385729266060856],[-72.06212272848701,43.38600834379356],[-72.0624351858797,43.38602433987392]]]}"
1_2_1_LE07_013030_20131125_00000000000000000002,South of Great Island,12,220.0,-72.055073,43.3602,162.70673,26.0,129,24.10748,0.9779510005476145,0.9870306,41603.64524097222,1385393348820,2.7929568518000543,1.9125098666721039,2.178573485678774,-1.5894437685913807,1.5603997726780177,2.178573485678774,0.6487732656514382,15337,-2.9523893577899627,0.6071658339444904,65.89252090454102,deep,1_LE07_013030_20131125,41603.75,1385402400000,0.6899993896484375,"{""type"":""Polygon"",""coordinates"":[[[-72.05507321004045,43.36182033935582],[-72.0560871856061,43.36164285724305],[-72.05687894813305,43.3611493063194],[-72.05727499158652,43.36044784718925],[-72.05718854040555,43.35969219887525],[-72.05663855540806,43.359047949986284],[-72.05574556531784,43.35865627314595],[-72.05470524854228,43.358602993468615],[-72.05374555940111,43.35889978559856],[-72.05341978158478,43.35918321416406],[-72.05341978158478,43.3592533131822],[-72.05333920782137,43.3592533132485],[-72.05315028699954,43.359417673296214],[-72.05315028699954,43.35979230235267],[-72.05297959777799,43.35979230242613],[-72.0528454909823,43.36022099090727],[-72.05310236672136,43.3609558891953],[-72.05379113974463,43.361525265548806],[-72.05476087732991,43.361804343275814],[-72.05507321004045,43.36182033935582]]]}"
1_2_1_LE07_013030_20131125_00000000000000000003,Newbury Deep Site,13,230.0,-72.042191,43.335879,162.70673,26.0,133,24.10748,0.9779510005476145,0.9870306,41603.64524097222,1385393348820,2.178573485678774,1.545983973051937,1.5603997726780177,-0.31741654451226736,1.5603997726780177,1.5603997726780177,0.6487732656514382,15337,-1.7460435071509344,0.34011211980897504,65.89252090454102,deep,1_LE07_013030_20131125,41603.75,1385402400000,0.6899993896484375,"{""type"":""Polygon"",""coordinates"":[[[-72.04219086709705,43.337500402210324],[-72.0432044364579,43.33732292010137],[-72.04399588181242,43.33682936918597],[-72.04439176663283,43.336127910061705],[-72.04430535010567,43.33537226174633],[-72.04375558543462,43.334728012849865],[-72.04286295305292,43.334336336002124],[-72.04182305299082,43.334283056323635],[-72.04086374827165,43.33457984845959],[-72.04019524547844,43.335161678943024],[-72.0399640404324,43.335901053780155],[-72.04022081329086,43.33663595206419],[-72.04084815890556,43.3371547576755],[-72.04102303066394,43.337154757192856],[-72.04102303066394,43.33723806927681],[-72.0418786595096,43.33748440613068],[-72.04219086709705,43.337500402210324]]]}"
2_1_LC08_013030_20140512_00000000000000000000,North Deep Site,10,200.0,-72.043774,43.403914,142.35692,2.84,129,60.591198,0.9779510005476145,1.010217,41771.64755347222,1399908748620,9.640816244588459,9.459601974105185,9.440671910355695,9.297862222810869,9.383004416254938,9.542147919584108,0.7272842639593908,17193,0.31399021007585926,0.09735222858778286,29.408802032470703,deep,1_LC08_013030_20140512,41771.75,1399917600000,1.529998779296875,"{""type"":""Polygon"",""coordinates"":[[[-72.04377384797102,43.40553290698275],[-72.04478855492674,43.40535542486313],[-72.0455808885369,43.404861873924595],[-72.04597721761634,43.404160414783874],[-72.0458907040396,43.40340476647237],[-72.04534032233441,43.402760517596896],[-72.0444466881739,43.40236884076986],[-72.04340562108699,43.402315561094646],[-72.04244523977673,43.40261235321373],[-72.04177598670573,43.40319418367413],[-72.04154452211817,43.40393355850114],[-72.04180158309838,43.40466845679636],[-72.04249085290971,43.40523783316479],[-72.04346128997071,43.405516910902094],[-72.04377384797102,43.40553290698275]]]}"
2_1_LC08_013030_20140512_00000000000000000001,HedgeHog,11,210.0,-72.062433,43.384405,142.35692,2.84,130,60.591198,0.9779510005476145,1.010217,41771.64755347222,1399908748620,9.76674791690833,9.467085621034991,9.459874126983998,9.303357217318164,9.418691678105281,9.5037737546056,0.7272842639593908,17193,0.9132245515833088,0.08935823347385977,29.408802032470703,deep,1_LC08_013030_20140512,41771.75,1399917600000,1.529998779296875,"{""type"":""Polygon"",""coordinates"":[[[-72.0624351858797,43.38602433987392],[-72.06344956621864,43.385846857757365],[-72.06424164480023,43.38535330682547],[-72.06463784632773,43.38465184768947],[-72.06455136061506,43.383896199376856],[-72.06400115606756,43.38325195049536],[-72.06310780952946,43.38286027366238],[-72.06206707750898,43.38280699398622],[-72.06110700530061,43.383103786110155],[-72.06043796764314,43.38368561657716],[-72.06020657757297,43.38442499140707],[-72.06046355583007,43.38515988969909],[-72.0611526037908,43.385729266060856],[-72.06212272848701,43.38600834379356],[-72.0624351858797,43.38602433987392]]]}"
2_1_LC08_013030_20140512_00000000000000000002,South of Great Island,12,220.0,-72.055073,43.3602,142.35692,2.84,132,60.591198,0.9779510005476145,1.010217,41771.64755347222,1399908748620,13.876511754008083,10.534412896082483,10.302097629948605,10.067219432806528,10.19489429423446,10.553046363481007,0.7272842639593908,17193,2.6155721640645693,0.7327203375590795,29.408802032470703,deep,1_LC08_013030_20140512,41771.75,1399917600000,1.529998779296875,"{""type"":""Polygon"",""coordinates"":[[[-72.05507321004045,43.36182033935582],[-72.0560871856061,43.36164285724305],[-72.05687894813305,43.3611493063194],[-72.05727499158652,43.36044784718925],[-72.05718854040555,43.35969219887525],[-72.05663855540806,43.359047949986284],[-72.05574556531784,43.35865627314595],[-72.05470524854228,43.358602993468615],[-72.05374555940111,43.35889978559856],[-72.05341978158478,43.35918321416406],[-72.05341978158478,43.3592533131822],[-72.05333920782137,43.3592533132485],[-72.05315028699954,43.359417673296214],[-72.05315028699954,43.35979230235267],[-72.05297959777799,43.35979230242613],[-72.0528454909823,43.36022099090727],[-72.05310236672136,43.3609558891953],[-72.05379113974463,43.361525265548806],[-72.05476087732991,43.361804343275814],[-72.05507321004045,43.36182033935582]]]}"
2_1_LC08_013030_20140512_00000000000000000003,Newbury Deep Site,13,230.0,-72.042191,43.335879,142.35692,2.84,133,60.591198,0.9779510005476145,1.010217,41771.64755347222,1399908748620,14.984009249675642,10.559925285370808,10.299728057450135,10.015379683633,10.194738420463477,10.553410701585989,0.7272842639593908,17193,2.7040302614946152,0.8619987511580094,29.408802032470703,deep,1_LC08_013030_20140512,41771.75,1399917600000,1.529998779296875,"{""type"":""Polygon"",""coordinates"":[[[-72.04219086709705,43.337500402210324],[-72.0432044364579,43.33732292010137],[-72.04399588181242,43.33682936918597],[-72.04439176663283,43.336127910061705],[-72.04430535010567,43.33537226174633],[-72.04375558543462,43.334728012849865],[-72.04286295305292,43.334336336002124],[-72.04182305299082,43.334283056323635],[-72.04086374827165,43.33457984845959],[-72.04019524547844,43.335161678943024],[-72.0399640404324,43.335901053780155],[-72.04022081329086,43.33663595206419],[-72.04084815890556,43.3371547576755],[-72.04102303066394,43.337154757192856],[-72.04102303066394,43.33723806927681],[-72.0418786595096,43.33748440613068],[-72.04219086709705,43.337500402210324]]]}"
1_2_1_LE07_013030_20140520_00000000000000000000,North Deep Site,10,200.0,-72.043774,43.403914,139.5125,2.0,129,61.93332,0.9779510005476145,1.0119492,41779.646006828705,1400599814990,9.894189440727615,9.716708158789766,9.894189440727615,8.74317337904309,9.320218539012275,9.894189440727615,0.6362098138747885,15040,-0.949202571344383,0.2783736930975822,28.066680908203125,deep,1_LE07_013030_20140520,41779.75,1400608800000,1.5600006103515627,"{""type"":""Polygon"",""coordinates"":[[[-72.04377384797102,43.40553290698275],[-72.04478855492674,43.40535542486313],[-72.0455808885369,43.404861873924595],[-72.04597721761634,43.404160414783874],[-72.0458907040396,43.40340476647237],[-72.04534032233441,43.402760517596896],[-72.0444466881739,43.40236884076986],[-72.04340562108699,43.402315561094646],[-72.04244523977673,43.40261235321373],[-72.04177598670573,43.40319418367413],[-72.04154452211817,43.40393355850114],[-72.04180158309838,43.40466845679636],[-72.04249085290971,43.40523783316479],[-72.04346128997071,43.405516910902094],[-72.04377384797102,43.40553290698275]]]}"
