"rowid","system:index","cloud_cover","earthsun_d","l_exceltime","pixel_count","sunazi","sunelev","temp_max","temp_mean","temp_median","temp_min","temp_p25","temp_p75","temp_skew","temp_stdDev","vapor_source",".geo","date","month","year","doy","LSmission","freeze_QAQC","temp_spread","spread_QAQC","IQR","IQR_QAQC","temp_med","pred_temp_range","opt_resid_range","calib_range","pred_temp_IQR","opt_resid_IQR","calib_IQR"
15,"1_1_2_1_LT05_013030_19870806",17,1.0142733,31995.6240859838,17134,127.85027983,53.81402103,28.74487064,21.2129600212561,21.2537497884674,20.02550162,21.061311804586,21.2537497884674,2.38010365123053,0.512722821676084,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1987-08-06,8,"1987",218,"LS 5","P",8.7,"P",0.199999999999999,"P",NA,NA,NA,NA,NA,NA,NA
16,"1_1_2_1_LT05_013030_19871009",9,0.9988292,32059.6251765741,17134,149.84749599,35.99111961,12.97412636,11.2855163836924,11.3919709176077,7.94963696000002,11.2455881201212,11.3919709176077,-1.63019480728501,0.583027568295536,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1987-10-09,10,"1987",282,"LS 5","P",5.1,"P",0.200000000000001,"P",NA,NA,NA,NA,NA,NA,NA
17,"1_1_2_1_LT05_013030_19871025",34,0.994327,32075.6253507986,15398,153.29038146,30.82831641,12.98438042,10.1858502317647,10.2609587676182,7.14298424000003,10.1214483246732,10.6724596907644,-0.597075997571319,0.518319364544777,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1987-10-25,10,"1987",298,"LS 5","P",5.9,"P",0.6,"P",NA,NA,NA,NA,NA,NA,NA
18,"1_1_2_1_LT05_013030_19880605",26,1.0147528,32299.6273685417,17133,125.07561797,60.11291665,25.92842216,16.7472931983208,16.6799014172199,14.5532516,15.887305707415,17.3369098261189,1.79324628512066,1.45979056558727,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1988-06-05,6,"1988",157,"LS 5","P",11.3,"F",1.4,"P",NA,NA,NA,NA,NA,NA,NA
19,"1_1_2_1_LT05_013030_19880621",12,1.0163172,32315.6274305903,16872,122.86057005,60.2458883,21.3380213,13.8625328703885,13.7382795871741,10.2807266,13.3354434483509,14.6692239292947,0.508298515973798,1.27465298520821,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1988-06-21,6,"1988",173,"LS 5","P",11,"F",1.4,"P",NA,NA,NA,NA,NA,NA,NA
20,"1_1_2_1_LT05_013030_19880707",13,1.0166908,32331.6274775231,17061,123.03384986,59.09176336,30.6999780800001,21.681622653551,21.7986379784775,19.3726598,20.9450024673203,21.9419998961117,1.67481453134575,1.12276926742469,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1988-07-07,7,"1988",189,"LS 5","P",11.3,"F",1,"P",NA,NA,NA,NA,NA,NA,NA
21,"1_1_2_1_LT05_013030_19880723",32,1.0158482,32347.6275141319,8175,125.68538989,56.90043194,28.17064328,19.2641572404207,19.4635116615556,8.58880670000002,17.9523540365451,21.5321338052281,-0.865536935116606,2.81338600273755,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1988-07-23,7,"1988",205,"LS 5","P",19.6,"F",3.5,"F",NA,NA,NA,NA,NA,NA,NA
22,"1_1_2_1_LT05_013030_19880808",29,1.0138468,32363.6275080903,6939,130.23241544,53.86618798,31.90995716,26.4309011340691,26.5414712207935,24.1066175,25.8414733896412,26.6572669796294,0.202583521427792,0.673911171052808,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1988-08-08,8,"1988",221,"LS 5","P",7.8,"P",0.899999999999999,"P",NA,NA,NA,NA,NA,NA,NA
23,"1_1_2_1_LT05_013030_19880909",38,1.0069936,32395.627551331,16952,141.68930555,45.59237656,23.46061172,17.7794598232749,17.6828241409367,4.50085478000005,17.5394979453359,18.1596158456098,-2.72529366395188,0.68671495181311,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1988-09-09,9,"1988",253,"LS 5","P",19,"F",0.699999999999999,"P",NA,NA,NA,NA,NA,NA,NA
24,"1_1_2_1_LT05_013030_19880925",7,1.0026268,32411.6274738542,17134,147.02398984,40.59990784,20.3467955,16.1917212293812,16.3416375175879,14.18752346,15.9593698201466,16.4960918889487,1.04574973638283,0.413260646797186,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1988-09-25,9,"1988",269,"LS 5","P",6.1,"P",0.5,"P",NA,NA,NA,NA,NA,NA,NA
