,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
42621,2008-05-11 10:00:00,43.3913,-72.0576,loon,0.5,10.67,edi.499.2,5,2008-05-11 15:00:00+00:00,0 days 00:21:30.840000,1290
42622,2008-05-11 10:10:00,43.3913,-72.0576,loon,0.5,10.72,edi.499.2,5,2008-05-11 15:10:00+00:00,0 days 00:11:30.840000,690
42623,2008-05-11 10:20:00,43.3913,-72.0576,loon,0.5,10.91,edi.499.2,5,2008-05-11 15:20:00+00:00,0 days 00:01:30.840000,90
42624,2008-05-11 10:30:00,43.3913,-72.0576,loon,0.5,10.09,edi.499.2,5,2008-05-11 15:30:00+00:00,-1 days +23:51:30.840000,-510
42625,2008-05-11 10:40:00,43.3913,-72.0576,loon,0.5,10.07,edi.499.2,5,2008-05-11 15:40:00+00:00,-1 days +23:41:30.840000,-1110
42626,2008-05-11 10:50:00,43.3913,-72.0576,loon,0.5,10.28,edi.499.2,5,2008-05-11 15:50:00+00:00,-1 days +23:31:30.840000,-1710
