,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
248874,2016-06-10 10:10:00,43.3913,-72.0576,loon,1.5,16.54,edi.499.2,6,2016-06-10 15:10:00+00:00,0 days 00:25:26.070000,1526
248875,2016-06-10 10:20:00,43.3913,-72.0576,loon,1.5,16.54,edi.499.2,6,2016-06-10 15:20:00+00:00,0 days 00:15:26.070000,926
248876,2016-06-10 10:30:00,43.3913,-72.0576,loon,1.5,16.54,edi.499.2,6,2016-06-10 15:30:00+00:00,0 days 00:05:26.070000,326
248877,2016-06-10 10:40:00,43.3913,-72.0576,loon,1.5,16.54,edi.499.2,6,2016-06-10 15:40:00+00:00,-1 days +23:55:26.070000,-274
248878,2016-06-10 10:50:00,43.3913,-72.0576,loon,1.5,16.54,edi.499.2,6,2016-06-10 15:50:00+00:00,-1 days +23:45:26.070000,-874
248879,2016-06-10 11:00:00,43.3913,-72.0576,loon,1.5,16.54,edi.499.2,6,2016-06-10 16:00:00+00:00,-1 days +23:35:26.070000,-1474
397986,2016-06-10 11:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,15.36,edi.498.1,6,2016-06-10 16:00:00+00:00,-1 days +23:35:26.070000,-1474
457446,2016-06-10 11:00:00,43.3235,-72.0411,Newbury,1.4,16.79,edi.498.1,6,2016-06-10 16:00:00+00:00,-1 days +23:35:26.070000,-1474
