,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
120725,2011-06-29 15:00:00,43.3913,-72.0576,loon,0.5,20.21,edi.499.2,6,1309359600000.0
120726,2011-06-29 15:10:00,43.3913,-72.0576,loon,0.5,20.52,edi.499.2,6,1309360200000.0
120727,2011-06-29 15:20:00,43.3913,-72.0576,loon,0.5,20.77,edi.499.2,6,1309360800000.0
120728,2011-06-29 15:30:00,43.3913,-72.0576,loon,0.5,20.97,edi.499.2,6,1309361400000.0
120729,2011-06-29 15:40:00,43.3913,-72.0576,loon,0.5,21.09,edi.499.2,6,1309362000000.0
120730,2011-06-29 15:50:00,43.3913,-72.0576,loon,0.5,21.16,edi.499.2,6,1309362600000.0
384195,2011-06-29 15:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,18.7,edi.498.1,6,1309359600000.0
418990,2011-06-29 15:00:00,43.3446,-72.0438,SouthOfTheFells,1.4,21.130000000000006,edi.498.1,6,1309359600000.0
453785,2011-06-29 15:00:00,43.3235,-72.0411,Newbury,1.5,19.86,edi.498.1,6,1309359600000.0
488580,2011-06-29 15:00:00,43.4096,-72.0365,HerrickCoveSouth,1.9,22.01,edi.498.1,6,1309359600000.0
