,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
158691,2012-08-18 10:00:00,43.3913,-72.0576,loon,0.5,24.29,edi.499.2,8,2012-08-18 15:00:00+00:00,0 days 00:28:03.840000,1683
158692,2012-08-18 10:10:00,43.3913,-72.0576,loon,0.5,24.35,edi.499.2,8,2012-08-18 15:10:00+00:00,0 days 00:18:03.840000,1083
158693,2012-08-18 10:20:00,43.3913,-72.0576,loon,0.5,24.35,edi.499.2,8,2012-08-18 15:20:00+00:00,0 days 00:08:03.840000,483
158694,2012-08-18 10:30:00,43.3913,-72.0576,loon,0.5,24.35,edi.499.2,8,2012-08-18 15:30:00+00:00,-1 days +23:58:03.840000,-117
158695,2012-08-18 10:40:00,43.3913,-72.0576,loon,0.5,24.35,edi.499.2,8,2012-08-18 15:40:00+00:00,-1 days +23:48:03.840000,-717
158696,2012-08-18 10:50:00,43.3913,-72.0576,loon,0.5,24.419999999999995,edi.499.2,8,2012-08-18 15:50:00+00:00,-1 days +23:38:03.840000,-1317
388290,2012-08-18 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,23.83,edi.498.1,8,2012-08-18 15:00:00+00:00,0 days 00:28:03.840000,1683
420643,2012-08-18 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.3,24.16,edi.498.1,8,2012-08-18 15:00:00+00:00,0 days 00:28:03.840000,1683
447750,2012-08-18 10:00:00,43.3235,-72.0411,Newbury,1.2,24.02,edi.498.1,8,2012-08-18 15:00:00+00:00,0 days 00:28:03.840000,1683
477413,2012-08-18 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.2,24.72,edi.498.1,8,2012-08-18 15:00:00+00:00,0 days 00:28:03.840000,1683
