,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
256934,2016-08-05 10:10:00,43.3913,-72.0576,loon,1.5,24.41,edi.499.2,8,2016-08-05 15:10:00+00:00,0 days 00:22:55.320000,1375
256935,2016-08-05 10:20:00,43.3913,-72.0576,loon,1.5,24.52,edi.499.2,8,2016-08-05 15:20:00+00:00,0 days 00:12:55.320000,775
256936,2016-08-05 10:30:00,43.3913,-72.0576,loon,1.5,24.53,edi.499.2,8,2016-08-05 15:30:00+00:00,0 days 00:02:55.320000,175
256937,2016-08-05 10:40:00,43.3913,-72.0576,loon,1.5,24.47,edi.499.2,8,2016-08-05 15:40:00+00:00,-1 days +23:52:55.320000,-425
256938,2016-08-05 10:50:00,43.3913,-72.0576,loon,1.5,24.45,edi.499.2,8,2016-08-05 15:50:00+00:00,-1 days +23:42:55.320000,-1025
256939,2016-08-05 11:00:00,43.3913,-72.0576,loon,1.5,24.75,edi.499.2,8,2016-08-05 16:00:00+00:00,-1 days +23:32:55.320000,-1625
399330,2016-08-05 11:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,23.32,edi.498.1,8,2016-08-05 16:00:00+00:00,-1 days +23:32:55.320000,-1625
458790,2016-08-05 11:00:00,43.3235,-72.0411,Newbury,1.4,23.68,edi.498.1,8,2016-08-05 16:00:00+00:00,-1 days +23:32:55.320000,-1625
