,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
254630,2016-07-20 10:10:00,43.3913,-72.0576,loon,1.5,23.259999999999994,edi.499.2,7,2016-07-20 15:10:00+00:00,0 days 00:22:52.540000,1372
254631,2016-07-20 10:20:00,43.3913,-72.0576,loon,1.5,23.24,edi.499.2,7,2016-07-20 15:20:00+00:00,0 days 00:12:52.540000,772
254632,2016-07-20 10:30:00,43.3913,-72.0576,loon,1.5,23.27,edi.499.2,7,2016-07-20 15:30:00+00:00,0 days 00:02:52.540000,172
254633,2016-07-20 10:40:00,43.3913,-72.0576,loon,1.5,23.32,edi.499.2,7,2016-07-20 15:40:00+00:00,-1 days +23:52:52.540000,-428
254634,2016-07-20 10:50:00,43.3913,-72.0576,loon,1.5,23.37,edi.499.2,7,2016-07-20 15:50:00+00:00,-1 days +23:42:52.540000,-1028
254635,2016-07-20 11:00:00,43.3913,-72.0576,loon,1.5,23.419999999999995,edi.499.2,7,2016-07-20 16:00:00+00:00,-1 days +23:32:52.540000,-1628
398946,2016-07-20 11:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,22.64,edi.498.1,7,2016-07-20 16:00:00+00:00,-1 days +23:32:52.540000,-1628
458406,2016-07-20 11:00:00,43.3235,-72.0411,Newbury,1.4,22.83,edi.498.1,7,2016-07-20 16:00:00+00:00,-1 days +23:32:52.540000,-1628
