,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
284218,2017-07-23 15:10:00,43.3913,-72.0576,loon,1.5,24.45,edi.499.2,7,1500822600000.0
284219,2017-07-23 15:20:00,43.3913,-72.0576,loon,1.5,24.439999999999994,edi.499.2,7,1500823200000.0
284220,2017-07-23 15:30:00,43.3913,-72.0576,loon,1.5,24.41,edi.499.2,7,1500823800000.0
284221,2017-07-23 15:40:00,43.3913,-72.0576,loon,1.5,24.419999999999995,edi.499.2,7,1500824400000.0
284222,2017-07-23 15:50:00,43.3913,-72.0576,loon,1.5,24.43,edi.499.2,7,1500825000000.0
284223,2017-07-23 16:00:00,43.3913,-72.0576,loon,1.5,24.439999999999994,edi.499.2,7,1500825600000.0
401541,2017-07-23 16:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,24.01,edi.498.1,7,1500825600000.0
436336,2017-07-23 16:00:00,43.3446,-72.0438,SouthOfTheFells,1.8,24.38,edi.498.1,7,1500825600000.0
471131,2017-07-23 16:00:00,43.3235,-72.0411,Newbury,1.5,23.68,edi.498.1,7,1500825600000.0
505926,2017-07-23 16:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,24.7,edi.498.1,7,1500825600000.0
