,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
90704,2010-06-02 15:00:00,43.3913,-72.0576,loon,1.0,20.9,edi.499.2,6,1275490800000.0
90705,2010-06-02 15:10:00,43.3913,-72.0576,loon,1.0,20.9,edi.499.2,6,1275491400000.0
90706,2010-06-02 15:20:00,43.3913,-72.0576,loon,1.0,20.9,edi.499.2,6,1275492000000.0
90707,2010-06-02 15:30:00,43.3913,-72.0576,loon,1.0,20.9,edi.499.2,6,1275492600000.0
90708,2010-06-02 15:40:00,43.3913,-72.0576,loon,1.0,20.9,edi.499.2,6,1275493200000.0
90709,2010-06-02 15:50:00,43.3913,-72.0576,loon,1.0,20.9,edi.499.2,6,1275493800000.0
380856,2010-06-02 15:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,18.86,edi.498.1,6,1275490800000.0
415651,2010-06-02 15:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,19.66,edi.498.1,6,1275490800000.0
450446,2010-06-02 15:00:00,43.3235,-72.0411,Newbury,1.5,20.67,edi.498.1,6,1275490800000.0
485241,2010-06-02 15:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,19.71,edi.498.1,6,1275490800000.0
