,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
6713,2015-05-23 10:15:00,43.3913,-72.0576,loon,1.5,13.075999999999999,edi.500.2,5,2015-05-23 15:15:00+00:00,0 days 00:17:21.300000,1041
6714,2015-05-23 10:30:00,43.3913,-72.0576,loon,1.5,13.075999999999999,edi.500.2,5,2015-05-23 15:30:00+00:00,0 days 00:02:21.300000,141
6715,2015-05-23 10:45:00,43.3913,-72.0576,loon,1.5,13.173,edi.500.2,5,2015-05-23 15:45:00+00:00,-1 days +23:47:21.300000,-759
6716,2015-05-23 11:00:00,43.3913,-72.0576,loon,1.5,13.365000000000006,edi.500.2,5,2015-05-23 16:00:00+00:00,-1 days +23:32:21.300000,-1659
