system:index,azimuth,cloud_cover,elev,emiss,esd,l_exceltime,landsat_time,pct_lake,pixel_count,surface_temp_max,surface_temp_mean,surface_temp_median,surface_temp_min,surface_temp_stdDev,sza,v_exceltime,vapor_time,water_column,.geo
1_1_2_1_LT05_013030_19840930,148.2511,2.0,38.886074,0.977941145456293,1.001191,30955.627091145834,465404580675,0.9669676667637634,16598,15.186477365968184,12.85557818671036,12.840477607129776,-3.489951331930475,0.8071853437857281,51.11392593383789,30955.75,465415200000,1.1500000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19841016,152.2911,1.0,33.642868,0.977941145456293,0.99661,30971.627061446758,466786978109,1.0,17165,14.720945209523958,11.455474539695937,11.409443298222797,10.445479112105328,0.4650950547361487,56.35713195800781,30971.75,466797600000,1.3600006103515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19841101,154.96158,45.0,28.607992,0.977941145456293,0.9922663,30987.626992731482,468169372172,0.5274686862802214,9054,9.472476048248991,6.079664187928749,6.000831695437926,0.837418327751425,1.4484448034801627,61.39200782775879,30987.75,468180000000,1.8100006103515627,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19850901,138.26797,5.0,47.822216,0.977941145456293,1.0090483,31291.6266353125,494434941291,1.0,17165,20.19042237503209,16.854862863197326,17.030213931414295,14.253720465958025,0.6424174892928797,42.17778396606445,31291.75,494445600000,1.170001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19850917,143.90114,6.0,43.06969,0.977941145456293,1.0049189,31307.626485729168,495817328367,0.9997087095834547,17160,18.395376998916994,15.182150200035341,15.18631722189088,12.839985902010865,0.386122564086415,46.9303092956543,31307.75,495828000000,1.6,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19851120,155.80006,36.0,23.41129,0.977941145456293,0.9879325,31371.625920659724,501346879545,0.945761724439266,16234,13.311701163487156,8.987833272031283,8.981940414529475,7.996905406988137,0.7603820216249374,66.58871078491211,31371.75,501357600000,2.3600006103515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19860515,128.12862,41.0,56.60322,0.977941145456293,1.0109715,31547.623305428242,516553053589,1.0,17165,17.487013489452504,10.011373280986758,9.960210845924738,3.966077293125882,1.504882490235605,33.39677810668945,31547.5,516542400000,1.4799987792968752,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19861022,150.39049,4.0,30.897781,0.977941145456293,0.9950896,31707.61961,530376734304,0.9991843868336732,17151,9.473356959629792,7.119993286476583,7.004670386847969,4.98864207349063,0.678720880681159,59.10221862792969,31707.5,530366400000,1.220001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19861123,153.4201,72.0,22.016676,0.977941145456293,0.9874027,31739.61879398148,533141463800,0.6770754442178852,11622,1.3655354487271143,-3.7328561022804063,-3.4899282580258877,-10.36713779192842,2.2740364567929583,67.98332405090332,31739.5,533131200000,1.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1_LT05_013030_19870502,131.299,17.0,53.553524,0.977941145456293,1.0078675,31899.622471620372,546965781548,1.0,17165,15.186460874660755,6.138797442603622,6.001663697053811,4.988850447455908,1.330068159459092,36.446475982666016,31899.5,546955200000,0.55,"{""type"":""MultiPoint"",""coordinates"":[]}"
