"year","month","source","value"
2014,5,"landsat",12.065463217791
2014,5,"in-situ",16.1
2014,6,"in-situ",20
2014,7,"landsat",23.806743910324
2014,7,"in-situ",24.55
2014,8,"landsat",22.5857495778518
2014,8,"in-situ",21.1
2014,9,"landsat",20.244513845657
2014,9,"in-situ",18.35
2015,6,"landsat",21.0805910754753
2015,6,"in-situ",21.1
2015,7,"landsat",22.4001459057509
2015,7,"in-situ",24.6
2015,9,"landsat",21.5615167003057
2015,9,"in-situ",20.8
2016,5,"in-situ",20.05
2016,6,"landsat",20.5580320412517
2016,6,"in-situ",21.1
2016,7,"landsat",23.0504510184835
2016,7,"in-situ",24.5
2016,8,"landsat",24.3017505041916
2016,8,"in-situ",23
2016,9,"landsat",21.200927182779
2016,9,"in-situ",18.8
2017,6,"landsat",21.3076952571163
2017,6,"in-situ",21.15
2017,7,"landsat",22.8679984876251
2017,7,"in-situ",23.35
2017,8,"landsat",21.5607428939955
2017,8,"in-situ",22.55
2017,9,"landsat",20.6101633951033
2017,9,"in-situ",21.05
2018,6,"in-situ",21.2
2018,7,"landsat",24.0066301613755
2018,7,"in-situ",23.45
2018,8,"landsat",23.3556384168132
2018,8,"in-situ",23.75
2018,9,"landsat",22.5869766010502
2018,9,"in-situ",22.75
2019,5,"landsat",12.4734178464883
2019,5,"in-situ",8.4
2019,6,"landsat",18.8509517286683
2019,6,"in-situ",17.9
2019,7,"landsat",24.9550768888938
2019,7,"in-situ",25.6
2019,8,"landsat",23.9418319827257
2019,8,"in-situ",23.55
2019,9,"landsat",19.1991149314347
2019,9,"in-situ",18.9
2019,10,"landsat",14.9763886065721
2019,10,"in-situ",14.6
2020,6,"landsat",25.0656076321524
2020,6,"in-situ",19.85
2020,7,"landsat",25.3741341904748
2020,7,"in-situ",24.35
2020,8,"landsat",23.6710148359783
2020,8,"in-situ",25
2020,10,"landsat",14.804892432542
2020,10,"in-situ",13.7
1984,6,"landsat",22.4769138136115
1984,9,"landsat",15.2187228418673
1984,10,"landsat",13.3979749947465
1985,9,"landsat",17.7966245851042
1985,11,"landsat",8.72584845089372
1986,5,"landsat",11.1878206489771
1987,6,"landsat",20.9525955375018
1987,10,"landsat",10.8271257547498
1988,6,"landsat",16.6799014172199
1988,7,"landsat",21.8023170006937
1988,9,"landsat",17.0126373416882
1988,10,"landsat",9.22111662723301
1988,11,"landsat",6.10246893412241
1989,9,"landsat",15.9530232224751
1989,10,"landsat",6.81765088489764
1990,7,"landsat",24.3515476043232
1990,11,"landsat",4.08163306863222
1991,9,"landsat",19.8657894045177
1991,10,"landsat",14.9397273012692
1992,6,"landsat",18.3099039084218
1992,9,"landsat",17.9530713346101
1992,10,"landsat",11.3384533213723
1992,11,"landsat",5.99785885364637
1993,11,"landsat",1.81328098459242
1994,5,"landsat",11.883546189605
1994,10,"landsat",11.1133581439222
1994,11,"landsat",8.1003045421668
1997,11,"landsat",8.90675102183151
1999,11,"landsat",7.74791346143827
2000,6,"landsat",21.7998759883402
2000,11,"landsat",3.94832050136346
2001,11,"landsat",8.34803009659419
2002,5,"landsat",10.0813322648269
2002,11,"landsat",8.49649641968858
2003,7,"landsat",22.7157707774904
2003,10,"landsat",14.6695247966752
2003,11,"landsat",6.11740994602839
2004,10,"landsat",16.8434089453681
2004,11,"landsat",8.91042896471104
2005,5,"landsat",11.3102058492652
2005,9,"landsat",20.2399456205867
2005,10,"landsat",17.807889892947
2005,11,"landsat",5.40594214041644
2007,5,"landsat",7.44372151617013
2007,11,"landsat",4.45032000187747
2008,5,"landsat",10.803466611407
2008,8,"landsat",22.3626871023734
2008,10,"landsat",13.2969559211534
2008,11,"landsat",3.82068086029725
2009,11,"landsat",7.71721157962831
2010,5,"landsat",14.2465628089128
2010,11,"landsat",7.44789201703695
2011,10,"landsat",15.8660616329207
2011,11,"landsat",8.70611924084067
2012,10,"landsat",14.5920782664776
2012,11,"landsat",8.05109872455706
2013,5,"landsat",12.6063147965878
2013,9,"landsat",17.6811987458621
2013,10,"landsat",15.6288871659443
2013,11,"landsat",6.01111299182724
2014,10,"landsat",14.2927176263701
2014,11,"landsat",1.59995410879185
2015,5,"landsat",10.9202175358084
2015,8,"landsat",25.0594242484346
2015,10,"landsat",10.1319363500633
2016,10,"landsat",12.4437085786523
2017,5,"landsat",9.68574991830787
2017,10,"landsat",15.2524295516406
2018,5,"landsat",15.5634356919971
2018,10,"landsat",12.3591104800842
2018,11,"landsat",7.97886634135639
2019,11,"landsat",10.1868584109793
2020,5,"landsat",12.8415664756307
2020,9,"landsat",18.1377231599358
