,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
56444,2008-08-15 09:50:00,43.3913,-72.0576,loon,0.5,21.81,edi.499.2,sub-daily,8,1218811800000.0
56445,2008-08-15 10:00:00,43.3913,-72.0576,loon,0.5,21.81,edi.499.2,sub-daily,8,1218812400000.0
56446,2008-08-15 10:10:00,43.3913,-72.0576,loon,0.5,21.88,edi.499.2,sub-daily,8,1218813000000.0
56447,2008-08-15 10:20:00,43.3913,-72.0576,loon,0.5,21.97,edi.499.2,sub-daily,8,1218813600000.0
56448,2008-08-15 10:30:00,43.3913,-72.0576,loon,0.5,22.06,edi.499.2,sub-daily,8,1218814200000.0
56449,2008-08-15 10:40:00,43.3913,-72.0576,loon,0.5,22.08,edi.499.2,sub-daily,8,1218814800000.0
374036,2008-08-15 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,21.130000000000006,edi.498.1,sub-daily,8,1218812400000.0
408831,2008-08-15 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,21.46,edi.498.1,sub-daily,8,1218812400000.0
443626,2008-08-15 10:00:00,43.3235,-72.0411,Newbury,1.5,21.83,edi.498.1,sub-daily,8,1218812400000.0
478421,2008-08-15 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,21.84,edi.498.1,sub-daily,8,1218812400000.0
