,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
226461,2015-07-02 10:10:00,43.3913,-72.0576,loon,1.5,20.259999999999994,edi.499.2,sub-daily,7,1435849800000.0
226462,2015-07-02 10:20:00,43.3913,-72.0576,loon,1.5,20.3,edi.499.2,sub-daily,7,1435850400000.0
226463,2015-07-02 10:30:00,43.3913,-72.0576,loon,1.5,20.3,edi.499.2,sub-daily,7,1435851000000.0
226464,2015-07-02 10:40:00,43.3913,-72.0576,loon,1.5,20.34,edi.499.2,sub-daily,7,1435851600000.0
226465,2015-07-02 10:50:00,43.3913,-72.0576,loon,1.5,20.35,edi.499.2,sub-daily,7,1435852200000.0
226466,2015-07-02 11:00:00,43.3913,-72.0576,loon,1.5,20.38,edi.499.2,sub-daily,7,1435852800000.0
395739,2015-07-02 11:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,19.52,edi.498.1,sub-daily,7,1435852800000.0
430534,2015-07-02 11:00:00,43.3446,-72.0438,SouthOfTheFells,1.4,19.52,edi.498.1,sub-daily,7,1435852800000.0
465329,2015-07-02 11:00:00,43.3235,-72.0411,Newbury,1.5,17.27,edi.498.1,sub-daily,7,1435852800000.0
500124,2015-07-02 11:00:00,43.4096,-72.0365,HerrickCoveSouth,1.4,19.99,edi.498.1,sub-daily,7,1435852800000.0
