,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
80662,2009-10-05 10:00:00,43.3913,-72.0576,loon,1.0,15.21,edi.499.2,sub-daily,10,1254754800000.0
80663,2009-10-05 10:10:00,43.3913,-72.0576,loon,1.0,15.21,edi.499.2,sub-daily,10,1254755400000.0
80664,2009-10-05 10:20:00,43.3913,-72.0576,loon,1.0,15.21,edi.499.2,sub-daily,10,1254756000000.0
80665,2009-10-05 10:30:00,43.3913,-72.0576,loon,1.0,15.21,edi.499.2,sub-daily,10,1254756600000.0
80666,2009-10-05 10:40:00,43.3913,-72.0576,loon,1.0,15.21,edi.499.2,sub-daily,10,1254757200000.0
80667,2009-10-05 10:50:00,43.3913,-72.0576,loon,1.0,15.21,edi.499.2,sub-daily,10,1254757800000.0
