,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
350921,2020-07-15 10:10:00,43.3913,-72.0576,loon,1.5,24.7,edi.499.2,sub-daily,7,1594825800000.0
350922,2020-07-15 10:20:00,43.3913,-72.0576,loon,1.5,24.759999999999994,edi.499.2,sub-daily,7,1594826400000.0
350923,2020-07-15 10:30:00,43.3913,-72.0576,loon,1.5,24.81000000000001,edi.499.2,sub-daily,7,1594827000000.0
350924,2020-07-15 10:40:00,43.3913,-72.0576,loon,1.5,24.93,edi.499.2,sub-daily,7,1594827600000.0
350925,2020-07-15 10:50:00,43.3913,-72.0576,loon,1.5,24.97,edi.499.2,sub-daily,7,1594828200000.0
350926,2020-07-15 11:00:00,43.3913,-72.0576,loon,1.5,25.17,edi.499.2,sub-daily,7,1594828800000.0
563363,2020-07-15 11:00:00,43.3844,-72.0624,210,0.5,24.6,LSPA LMP,monthly,7,1594828800000.0
563676,2020-07-15 11:00:00,43.3359,-72.0422,230,0.5,24.1,LSPA LMP,monthly,7,1594828800000.0
