,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
292249,2017-09-17 10:10:00,43.3913,-72.0576,loon,1.5,20.830000000000005,edi.499.2,sub-daily,9,1505661000000.0
292250,2017-09-17 10:20:00,43.3913,-72.0576,loon,1.5,20.9,edi.499.2,sub-daily,9,1505661600000.0
292251,2017-09-17 10:30:00,43.3913,-72.0576,loon,1.5,21.0,edi.499.2,sub-daily,9,1505662200000.0
292252,2017-09-17 10:40:00,43.3913,-72.0576,loon,1.5,20.89,edi.499.2,sub-daily,9,1505662800000.0
292253,2017-09-17 10:50:00,43.3913,-72.0576,loon,1.5,20.9,edi.499.2,sub-daily,9,1505663400000.0
292254,2017-09-17 11:00:00,43.3913,-72.0576,loon,1.5,20.82,edi.499.2,sub-daily,9,1505664000000.0
402880,2017-09-17 11:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,20.33,edi.498.1,sub-daily,9,1505664000000.0
472470,2017-09-17 11:00:00,43.3235,-72.0411,Newbury,1.5,20.67,edi.498.1,sub-daily,9,1505664000000.0
507265,2017-09-17 11:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,20.48,edi.498.1,sub-daily,9,1505664000000.0
