,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
105650,2010-09-14 10:00:00,43.3913,-72.0576,loon,1.0,17.439999999999994,edi.499.2,sub-daily,9,1284476400000.0
105651,2010-09-14 10:10:00,43.3913,-72.0576,loon,1.0,17.459999999999994,edi.499.2,sub-daily,9,1284477000000.0
105652,2010-09-14 10:20:00,43.3913,-72.0576,loon,1.0,17.5,edi.499.2,sub-daily,9,1284477600000.0
105653,2010-09-14 10:30:00,43.3913,-72.0576,loon,1.0,17.52,edi.499.2,sub-daily,9,1284478200000.0
105654,2010-09-14 10:40:00,43.3913,-72.0576,loon,1.0,17.47,edi.499.2,sub-daily,9,1284478800000.0
105655,2010-09-14 10:50:00,43.3913,-72.0576,loon,1.0,17.5,edi.499.2,sub-daily,9,1284479400000.0
383347,2010-09-14 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,18.69,edi.498.1,sub-daily,9,1284476400000.0
418142,2010-09-14 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,18.69,edi.498.1,sub-daily,9,1284476400000.0
452937,2010-09-14 10:00:00,43.3235,-72.0411,Newbury,1.5,18.72,edi.498.1,sub-daily,9,1284476400000.0
487732,2010-09-14 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,19.06,edi.498.1,sub-daily,9,1284476400000.0
