,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
169617,2012-11-06 10:00:00,43.3857,-72.0812,harbor,1.5,10.9,edi.499.2,sub-daily,11,1352214000000.0
169618,2012-11-06 10:10:00,43.3857,-72.0812,harbor,1.5,10.89,edi.499.2,sub-daily,11,1352214600000.0
169619,2012-11-06 10:20:00,43.3857,-72.0812,harbor,1.5,10.9,edi.499.2,sub-daily,11,1352215200000.0
169620,2012-11-06 10:30:00,43.3857,-72.0812,harbor,1.5,10.93,edi.499.2,sub-daily,11,1352215800000.0
169621,2012-11-06 10:40:00,43.3857,-72.0812,harbor,1.5,10.96,edi.499.2,sub-daily,11,1352216400000.0
169622,2012-11-06 10:50:00,43.3857,-72.0812,harbor,1.5,10.96,edi.499.2,sub-daily,11,1352217000000.0
