,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
295704,2017-10-11 10:10:00,43.3913,-72.0576,loon,1.5,17.979999999999993,edi.499.2,sub-daily,10,1507734600000.0
295705,2017-10-11 10:20:00,43.3913,-72.0576,loon,1.5,18.01,edi.499.2,sub-daily,10,1507735200000.0
295706,2017-10-11 10:30:00,43.3913,-72.0576,loon,1.5,18.04,edi.499.2,sub-daily,10,1507735800000.0
295707,2017-10-11 10:40:00,43.3913,-72.0576,loon,1.5,18.05,edi.499.2,sub-daily,10,1507736400000.0
295708,2017-10-11 10:50:00,43.3913,-72.0576,loon,1.5,18.06,edi.499.2,sub-daily,10,1507737000000.0
295709,2017-10-11 11:00:00,43.3913,-72.0576,loon,1.5,18.06,edi.499.2,sub-daily,10,1507737600000.0
