,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
57597,2008-08-23 10:00:00,43.3913,-72.0576,loon,0.5,22.03,edi.499.2,sub-daily,8,1219503600000.0
57598,2008-08-23 10:10:00,43.3913,-72.0576,loon,0.5,22.110000000000007,edi.499.2,sub-daily,8,1219504200000.0
57599,2008-08-23 10:20:00,43.3913,-72.0576,loon,0.5,22.25,edi.499.2,sub-daily,8,1219504800000.0
57600,2008-08-23 10:30:00,43.3913,-72.0576,loon,0.5,22.22,edi.499.2,sub-daily,8,1219505400000.0
57601,2008-08-23 10:40:00,43.3913,-72.0576,loon,0.5,22.130000000000006,edi.499.2,sub-daily,8,1219506000000.0
57602,2008-08-23 10:50:00,43.3913,-72.0576,loon,0.5,22.19,edi.499.2,sub-daily,8,1219506600000.0
374228,2008-08-23 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,21.630000000000006,edi.498.1,sub-daily,8,1219503600000.0
409023,2008-08-23 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,21.79,edi.498.1,sub-daily,8,1219503600000.0
443818,2008-08-23 10:00:00,43.3235,-72.0411,Newbury,1.5,20.99,edi.498.1,sub-daily,8,1219503600000.0
478613,2008-08-23 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,22.17,edi.498.1,sub-daily,8,1219503600000.0
