,system:index,azimuth,cloud_cover,elev,emiss,esd,l_exceltime,landsat_time,pct_lake,pixel_count,surface_temp_max,surface_temp_mean,surface_temp_median,surface_temp_min,surface_temp_stdDev,sza,v_exceltime,vapor_time,water_column,scene,temp_avg,t_stdev,depth_avg,d_stdev,temp_med,insitu_count,HerrickCoveSouth_median,HerrickCoveSouth_mean,HerrickCoveSouth_std,HerrickCoveSouth_count,Newbury_median,Newbury_mean,Newbury_std,Newbury_count,NorthSunapeeHarbor_median,NorthSunapeeHarbor_mean,NorthSunapeeHarbor_std,NorthSunapeeHarbor_count,SouthOfTheFells_median,SouthOfTheFells_mean,SouthOfTheFells_std,SouthOfTheFells_count,loon_median,loon_mean,loon_std,loon_count,harbor_median,harbor_mean,harbor_std,harbor_count,GeorgesMills_median,GeorgesMills_mean,GeorgesMills_std,GeorgesMills_count,HerrickCove_median,HerrickCove_mean,HerrickCove_std,HerrickCove_count,StateBeach_median,StateBeach_mean,StateBeach_std,StateBeach_count
156,1_1_2_1_LT05_013030_20060911,149.88599,3.0,47.447520000000004,0.977941145456293,1.0066447,38971.643497916666,1157988398220.0,0.9937663850859306,17058,17.03007534102991,13.27335891018108,13.313600819778602,6.001555611453531,0.8680814600510061,42.5524787902832,38971.75,1157997600000,0.9399993896484377,LT05_013030_20060911,18.93,,1.5,,18.93,1.0,18.93,18.93,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,1_1_2_1_LT05_013030_20070712,131.9993,15.0,61.91174,0.977941145456293,1.0165832000000001,39275.64346875,1184253995700.0,0.7090591319545587,12171,25.859177958399396,17.644985457060866,17.941964120211136,9.96018119245968,1.1472961492837153,28.08826065063477,39275.75,1184263200000,1.5,LT05_013030_20070712,21.07,0.6611101774036371,1.5,0.0,20.9,4.0,22.01,22.01,,1.0,20.83,20.83,,1.0,20.97,20.97,,1.0,20.47,20.47,,1.0,,,,,,,,,,,,,,,,,,,,
167,1_2_1_LE07_013030_20070805,135.72513,0.0,57.131466,0.977941145456293,1.0144331,39299.64096736111,1186327379580.0,0.8592484707253132,14749,24.89884220088296,21.373875496877485,21.32101622764525,18.700034704481045,0.3517000784055358,32.86853408813477,39299.75,1186336800000,1.4600006103515626,LE07_013030_20070805,24.9225,0.5796766339951972,1.5,0.0,24.97,4.0,25.42,25.42,,1.0,25.42,25.42,,1.0,24.52,24.52,,1.0,24.33,24.33,,1.0,,,,,,,,,,,,,,,,,,,,
168,1_1_2_1_LT05_013030_20070813,139.75162,49.0,55.791782,0.977941145456293,1.0131619,39307.64324513889,1187018776380.0,0.8987474512088552,15427,22.83831930897109,18.782616129696827,18.8466403211777,15.18637867362453,0.5493807754491373,34.20821762084961,39307.75,1187028000000,1.470001220703125,LT05_013030_20070813,23.752500000000005,0.37739236876227467,1.5,0.0,23.745,4.0,24.21,24.21,,1.0,23.85,23.85,,1.0,23.31,23.31,,1.0,23.64,23.64,,1.0,,,,,,,,,,,,,,,,,,,,
169,1_1_2_1_LT05_013030_20070914,150.54677,30.0,46.49819,0.977941145456293,1.0059195,39339.643047453705,1189783559300.0,1.0,17165,19.747190788273613,16.37858814022105,16.572251069491358,15.649854870331378,0.33202087817775994,43.501808166503906,39339.75,1189792800000,2.0899993896484377,LT05_013030_20070914,19.643000000000004,0.20077903830385835,0.9,0.5163977794943222,19.75,10.0,19.71,19.71,,1.0,19.37,19.37,,1.0,19.67,19.67,,1.0,19.18,19.18,,1.0,19.75,19.75,0.0,6.0,,,,,,,,,,,,,,,,
170,1_2_1_LE07_013030_20071125,161.08498,37.0,23.810648,0.977941145456293,0.9871101000000001,39411.64103900463,1196004185770.0,0.8699096999708709,14932,4.0106722629509735,2.439088482904045,2.17854586399757,-2.8784248150935943,0.6580130081617571,66.18935203552246,39411.75,1196013600000,1.05,LE07_013030_20071125,5.96,0.048989794855663245,0.5833333333333334,0.2041241452319315,5.94,6.0,,,,,,,,,,,,,,,,,5.94,5.96,0.04898979485566324,6.0,,,,,,,,,,,,,,,,
171,1_1_2_1_LT05_013030_20080511,137.91458,0.0,59.173995999999995,0.977941145456293,1.0101572,39579.639940277775,1210519290840.0,1.0,17165,19.295066844548753,9.489422280959902,8.98436977820281,7.503188572177316,1.3814907837934791,30.82600402832031,39579.75,1210528800000,0.7399993896484376,LT05_013030_20080511,10.128333333333332,0.0904249228181407,0.5,0.0,10.09,6.0,,,,,,,,,,,,,,,,,10.09,10.128333333333332,0.09042492281813998,6.0,,,,,,,,,,,,,,,,
172,1_1_2_1_LT05_013030_20080527,133.74326000000002,48.0,61.824757,0.977941145456293,1.0133471,39595.639646875,1211901665490.0,0.2707253131371978,4647,21.079282996398863,12.51677373090268,12.365336831895428,7.502782239456737,1.519699722112415,28.17524337768555,39595.75,1211911200000,1.329998779296875,LT05_013030_20080527,12.64,0.1729739864835172,0.5,0.0,12.57,6.0,,,,,,,,,,,,,,,,,12.57,12.64,0.17297398648351692,6.0,,,,,,,,,,,,,,,,
173,1_1_2_1_LT05_013030_20080612,130.20898,1.0,62.82824300000001,0.977941145456293,1.015551,39611.639347800934,1213284039650.0,1.0,17165,23.70334005463017,17.47507284927664,17.486266821747915,15.186463303786946,0.8095399940582216,27.17175674438477,39611.75,1213293600000,0.5600006103515626,LT05_013030_20080612,20.349999999999998,0.04195235392680601,0.5,0.0,20.35,6.0,,,,,,,,,,,,,,,,,20.35,20.349999999999998,0.04195235392680607,6.0,,,,,,,,,,,,,,,,
174,1_2_1_LE07_013030_20080706,129.53622,27.0,61.854122,0.977941145456293,1.0166966999999998,39635.640555555554,1215357744000.0,0.8389163996504515,14400,25.91262272877325,20.426319396139654,20.282244421992488,16.561298746532668,0.7099998885156232,28.14587783813477,39635.75,1215367200000,2.0899993896484377,LE07_013030_20080706,23.436999999999998,0.7862011334399238,0.9,0.5163977794943222,23.91,10.0,23.34,23.34,,1.0,21.99,21.99,,1.0,23.14,23.14,,1.0,22.130000000000006,22.130000000000006,,1.0,23.975,23.961666666666662,0.04833908011812664,6.0,,,,,,,,,,,,,,,,
