"date","dip_statistic","dip_pval","acr_statistic","acr_pval"
1985-09-01,0.0179279865171879,0,0.0355941740555487,0
1985-09-17,0.0205880657533915,0,0.0411107910251575,0
1985-11-20,0.0375809265440243,0,0.0752200454125745,0
1986-05-15,0.0148507048287102,0,0.0296962565035958,0
1986-10-22,0.0325400479704297,0,0.0651172692596592,0
1986-11-23,0.0158158388909688,0.554,0.0199382686713316,0.726
1987-05-02,0.0413134142822897,0,0.0826046157135429,0
1987-05-26,0.0180165285409587,0,0.0357774525419354,0
1987-07-05,0.00839272705780039,0,0.0168319178614323,0
1987-08-06,0.014860746202539,0,0.0296222753611046,0
1987-10-09,0.0228245816525848,0,0.0456325206716342,0
1987-10-25,0.0232909062425809,0,0.0464655871598969,0
1988-06-05,0.0306354695620274,0,0.0615273708396428,0
1988-06-21,0.0193991776896507,0,0.038896413225356,0
1988-07-23,0.0143487572741951,0,0.0284543631651018,0
1988-09-09,0.0230308855649445,0,0.046058846335752,0
1988-09-25,0.0424500255546709,0,0.0847181205012101,0
1988-10-11,0.0119824653563302,0,0.0239347137366551,0
1988-10-27,0.0316581142117366,0,0.0632243277870368,0
1988-11-12,0.00251257943696506,0.73,0.00424030148657213,0.008
1989-05-07,0.0232255587753569,0,0.0457317869301854,0
1989-08-19,0.011014649768683,0,0.0219658547431462,0
1989-08-27,0.0105142489171082,0,0.0209142367412066,0
1989-09-28,0.0128807007430407,0,0.0256452053590281,0
1989-10-14,0.013519994066959,0,0.0268928308824214,0
1989-10-30,0.031524668185014,0,0.0630872358430239,0
1990-05-26,0.028341153293501,0,0.0563578678417669,0
1990-06-27,0.0260332064393081,0,0.0518080901917607,0
1990-07-21,0.0111075893947037,0,0.0223819986892526,0
1990-07-29,0.0321566565994222,0,0.0643058262967409,0
1990-08-30,0.0337786278444082,0,0.0677206450819138,0
1990-10-01,0.0306054217954199,0,0.0607750071268299,0
1990-10-17,0.0387620882798064,0,0.0775816572518702,0
1990-11-18,0.00686418772197352,0.016,0.0137597143951373,0
1991-05-13,0.0232343822167607,0,0.0466358646746721,0
1991-07-16,0.0251034504647061,0,0.0503570706671275,0
1991-09-02,0.00747290482427911,0,0.0149798650017159,0
1991-09-18,0.00891883976693878,0,0.0178461498834832,0
1991-10-04,0.0162221712210267,0,0.0317146542286203,0
1991-11-05,0.0190525386990784,0,0.0380155711115569,0
1992-05-15,0.0185194692961651,0,0.0371198888536944,0
1992-06-16,0.010284727279741,0,0.0209911234663295,0
1992-08-19,0.0185770458913586,0,0.0372107985918862,0
1992-09-20,0.0161826502520432,0,0.0322818044533827,0
1992-10-06,0.0273746224075691,0,0.0547475921488464,0
1992-10-22,0.00667435938041189,0.008,0.0135459023326004,0
1992-11-07,0.00598886968628802,0.12,0.0109364558000337,0
1993-05-02,0.0239985357373031,0,0.0479625057373685,0
1993-06-03,0.0228501256056241,0,0.0453269492116224,0
1993-07-05,0.0260212502233097,0,0.0520043666129821,0
1993-07-21,0.0154797411496188,0,0.0312450035129308,0
1993-08-06,0.0210942884623332,0,0.0422701527401012,0
1993-09-07,0.0160623873122564,0,0.0318704748658052,0
1993-10-25,0.0383125323155386,0,0.0768391117935049,0
1993-11-10,0.00635646055240077,0,0.0126499921011114,0
1993-11-26,0.00240238775092439,0.89,0.00395955109015759,0.138
1994-05-21,0.0180227699070089,0,0.036105633486824,0
1994-06-22,0.0232086304163313,0,0.0466474035014219,0
1994-08-25,0.00662265163518639,0,0.0133036208317456,0
1994-09-10,0.0246386825276815,0,0.049221585536414,0
1994-10-12,0.0236692291180591,0,0.0472856639922175,0
1994-10-28,0.0250291238046004,0,0.0499268859938712,0
1994-11-13,0.00287728521568335,0.498,0.0045743354619203,0.006
1994-11-29,0.00535695076067718,0,0.0106702259293575,0
1995-05-08,0.0212506501767527,0,0.0423505919556955,0
1995-08-28,0.0116589230707334,0,0.0238200156292481,0
1995-09-29,0.0192680057683021,0,0.0385583813989858,0
1995-11-16,0.00267777481064447,0.652,0.00518765937804988,0
1996-05-26,0.0309237792966593,0,0.0618558466203288,0
1996-08-14,0.0267566156435466,0,0.0535832303029879,0
1996-08-30,0.0231501983383375,0,0.0461686371107921,0
1996-09-15,0.017995702930713,0,0.0362620427937846,0
1996-10-01,0.0302197434078604,0,0.0604455841198616,0
1996-10-17,0.0279714105969175,0,0.0558767868159674,0
1996-11-02,0.00581179965257194,0,0.0116599663132169,0
1997-06-14,0.0227425614512634,0,0.0453400286691357,0
1997-06-30,0.019650581945248,0,0.0393227434167295,0
1997-11-05,0.0217257856137929,0,0.0434489383945949,0
1998-05-16,0.0232712762143661,0,0.0466032354381164,0
1998-07-03,0.018329896308574,0,0.0366523615066455,0
1998-08-20,0.0138389396972571,0,0.027727260870733,0
1998-11-08,0.00942231164420009,0,0.0188823458205244,0
1999-06-04,0.020776347228043,0,0.0418181828482169,0
1999-06-20,0.00887978853978419,0,0.0177501252714045,0
1999-07-22,0.0173633756531944,0,0.035008324004308,0
1999-08-07,0.00403685915378623,0.072,0.0081028011068787,0
1999-08-23,0.0265414669091306,0,0.0531548828612945,0
1999-08-31,0.031806747889233,0,0.0639747990098229,0
1999-09-24,0.00475653338421906,0.016,0.00961303335601897,0
1999-10-02,0.0200655915564371,0,0.0401117043871447,0
1999-10-26,0.0113704154184783,0,0.0229777580658162,0
1999-11-11,0.0083954970798694,0,0.016356536483135,0
2000-06-22,0.0118659791397455,0,0.0237867345019795,0
2000-06-30,0.0146062137268348,0,0.0292001935725197,0
2000-07-08,0.0175687811290817,0,0.0352535682138533,0
