,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
227643,2015-07-10 15:10:00,43.3913,-72.0576,loon,1.5,22.58,edi.499.2,7,1436541000000.0
227644,2015-07-10 15:20:00,43.3913,-72.0576,loon,1.5,22.58,edi.499.2,7,1436541600000.0
227645,2015-07-10 15:30:00,43.3913,-72.0576,loon,1.5,22.58,edi.499.2,7,1436542200000.0
227646,2015-07-10 15:40:00,43.3913,-72.0576,loon,1.5,22.58,edi.499.2,7,1436542800000.0
227647,2015-07-10 15:50:00,43.3913,-72.0576,loon,1.5,22.6,edi.499.2,7,1436543400000.0
227648,2015-07-10 16:00:00,43.3913,-72.0576,loon,1.5,22.6,edi.499.2,7,1436544000000.0
395936,2015-07-10 16:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,22.14,edi.498.1,7,1436544000000.0
430731,2015-07-10 16:00:00,43.3446,-72.0438,SouthOfTheFells,1.4,21.32,edi.498.1,7,1436544000000.0
465526,2015-07-10 16:00:00,43.3235,-72.0411,Newbury,1.5,21.49,edi.498.1,7,1436544000000.0
500321,2015-07-10 16:00:00,43.4096,-72.0365,HerrickCoveSouth,1.4,22.630000000000006,edi.498.1,7,1436544000000.0
