,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
344261,2020-05-20 14:40:00,43.3913,-72.0576,loon,1.5,14.07,edi.499.2,5,1589985600000.0
344262,2020-05-20 14:50:00,43.3913,-72.0576,loon,1.5,14.2,edi.499.2,5,1589986200000.0
344263,2020-05-20 15:00:00,43.3913,-72.0576,loon,1.5,14.06,edi.499.2,5,1589986800000.0
344264,2020-05-20 15:10:00,43.3913,-72.0576,loon,1.5,14.2,edi.499.2,5,1589987400000.0
344265,2020-05-20 15:20:00,43.3913,-72.0576,loon,1.5,14.29,edi.499.2,5,1589988000000.0
344266,2020-05-20 15:30:00,43.3913,-72.0576,loon,1.5,14.08,edi.499.2,5,1589988600000.0
