,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
260419,2016-08-29 15:10:00,43.3913,-72.0576,loon,1.5,23.71,edi.499.2,8,1472483400000.0
260420,2016-08-29 15:20:00,43.3913,-72.0576,loon,1.5,23.7,edi.499.2,8,1472484000000.0
260421,2016-08-29 15:30:00,43.3913,-72.0576,loon,1.5,23.7,edi.499.2,8,1472484600000.0
260422,2016-08-29 15:40:00,43.3913,-72.0576,loon,1.5,23.68,edi.499.2,8,1472485200000.0
260423,2016-08-29 15:50:00,43.3913,-72.0576,loon,1.5,23.7,edi.499.2,8,1472485800000.0
260424,2016-08-29 16:00:00,43.3913,-72.0576,loon,1.5,23.67,edi.499.2,8,1472486400000.0
399911,2016-08-29 16:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,23.49,edi.498.1,8,1472486400000.0
434706,2016-08-29 16:00:00,43.3446,-72.0438,SouthOfTheFells,1.6,23.49,edi.498.1,8,1472486400000.0
469501,2016-08-29 16:00:00,43.3235,-72.0411,Newbury,1.4,23.16,edi.498.1,8,1472486400000.0
504296,2016-08-29 16:00:00,43.4096,-72.0365,HerrickCoveSouth,1.7,24.17,edi.498.1,8,1472486400000.0
