,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
254660,2016-07-20 15:10:00,43.3913,-72.0576,loon,1.5,23.54,edi.499.2,7,1469027400000.0
254661,2016-07-20 15:20:00,43.3913,-72.0576,loon,1.5,23.54,edi.499.2,7,1469028000000.0
254662,2016-07-20 15:30:00,43.3913,-72.0576,loon,1.5,23.53,edi.499.2,7,1469028600000.0
254663,2016-07-20 15:40:00,43.3913,-72.0576,loon,1.5,23.54,edi.499.2,7,1469029200000.0
254664,2016-07-20 15:50:00,43.3913,-72.0576,loon,1.5,23.56,edi.499.2,7,1469029800000.0
254665,2016-07-20 16:00:00,43.3913,-72.0576,loon,1.5,23.59,edi.499.2,7,1469030400000.0
398951,2016-07-20 16:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,23.14,edi.498.1,7,1469030400000.0
433746,2016-07-20 16:00:00,43.3446,-72.0438,SouthOfTheFells,1.6,22.48,edi.498.1,7,1469030400000.0
468541,2016-07-20 16:00:00,43.3235,-72.0411,Newbury,1.4,23.33,edi.498.1,7,1469030400000.0
503336,2016-07-20 16:00:00,43.4096,-72.0365,HerrickCoveSouth,1.7,23.66,edi.498.1,7,1469030400000.0
