,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
163325,2012-09-19 15:00:00,43.3913,-72.0576,loon,0.5,19.52,edi.499.2,9,1348066800000.0
163326,2012-09-19 15:10:00,43.3913,-72.0576,loon,0.5,19.52,edi.499.2,9,1348067400000.0
163327,2012-09-19 15:20:00,43.3913,-72.0576,loon,0.5,19.52,edi.499.2,9,1348068000000.0
163328,2012-09-19 15:30:00,43.3913,-72.0576,loon,0.5,19.52,edi.499.2,9,1348068600000.0
163329,2012-09-19 15:40:00,43.3913,-72.0576,loon,0.5,19.52,edi.499.2,9,1348069200000.0
163330,2012-09-19 15:50:00,43.3913,-72.0576,loon,0.5,19.52,edi.499.2,9,1348069800000.0
389063,2012-09-19 15:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,19.67,edi.498.1,9,1348066800000.0
423858,2012-09-19 15:00:00,43.3446,-72.0438,SouthOfTheFells,1.3,18.69,edi.498.1,9,1348066800000.0
458653,2012-09-19 15:00:00,43.3235,-72.0411,Newbury,1.2,18.88,edi.498.1,9,1348066800000.0
493448,2012-09-19 15:00:00,43.4096,-72.0365,HerrickCoveSouth,1.2,19.54,edi.498.1,9,1348066800000.0
