,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
125333,2011-07-31 15:00:00,43.3913,-72.0576,loon,0.5,24.61000000000001,edi.499.2,7,1312124400000.0
125334,2011-07-31 15:10:00,43.3913,-72.0576,loon,0.5,24.55,edi.499.2,7,1312125000000.0
125335,2011-07-31 15:20:00,43.3913,-72.0576,loon,0.5,24.55,edi.499.2,7,1312125600000.0
125336,2011-07-31 15:30:00,43.3913,-72.0576,loon,0.5,24.55,edi.499.2,7,1312126200000.0
125337,2011-07-31 15:40:00,43.3913,-72.0576,loon,0.5,24.55,edi.499.2,7,1312126800000.0
125338,2011-07-31 15:50:00,43.3913,-72.0576,loon,0.5,24.61000000000001,edi.499.2,7,1312127400000.0
384963,2011-07-31 15:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,24.0,edi.498.1,7,1312124400000.0
419758,2011-07-31 15:00:00,43.3446,-72.0438,SouthOfTheFells,1.4,24.16,edi.498.1,7,1312124400000.0
454553,2011-07-31 15:00:00,43.3235,-72.0411,Newbury,1.5,24.72,edi.498.1,7,1312124400000.0
489348,2011-07-31 15:00:00,43.4096,-72.0365,HerrickCoveSouth,1.9,24.73,edi.498.1,7,1312124400000.0
