,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
113813,2011-05-12 15:00:00,43.3913,-72.0576,loon,0.5,10.63,edi.499.2,5,1305212400000.0
113814,2011-05-12 15:10:00,43.3913,-72.0576,loon,0.5,10.63,edi.499.2,5,1305213000000.0
113815,2011-05-12 15:20:00,43.3913,-72.0576,loon,0.5,10.63,edi.499.2,5,1305213600000.0
113816,2011-05-12 15:30:00,43.3913,-72.0576,loon,0.5,10.63,edi.499.2,5,1305214200000.0
113817,2011-05-12 15:40:00,43.3913,-72.0576,loon,0.5,10.69,edi.499.2,5,1305214800000.0
113818,2011-05-12 15:50:00,43.3913,-72.0576,loon,0.5,10.69,edi.499.2,5,1305215400000.0
