,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
280618,2017-06-21 10:10:00,43.3913,-72.0576,loon,1.5,20.57,edi.499.2,6,2017-06-21 15:10:00+00:00,0 days 00:22:38.099000,1358
280619,2017-06-21 10:20:00,43.3913,-72.0576,loon,1.5,20.57,edi.499.2,6,2017-06-21 15:20:00+00:00,0 days 00:12:38.099000,758
280620,2017-06-21 10:30:00,43.3913,-72.0576,loon,1.5,20.57,edi.499.2,6,2017-06-21 15:30:00+00:00,0 days 00:02:38.099000,158
280621,2017-06-21 10:40:00,43.3913,-72.0576,loon,1.5,20.57,edi.499.2,6,2017-06-21 15:40:00+00:00,-1 days +23:52:38.099000,-442
280622,2017-06-21 10:50:00,43.3913,-72.0576,loon,1.5,20.57,edi.499.2,6,2017-06-21 15:50:00+00:00,-1 days +23:42:38.099000,-1042
280623,2017-06-21 11:00:00,43.3913,-72.0576,loon,1.5,20.57,edi.499.2,6,2017-06-21 16:00:00+00:00,-1 days +23:32:38.099000,-1642
400768,2017-06-21 11:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,20.01,edi.498.1,6,2017-06-21 16:00:00+00:00,-1 days +23:32:38.099000,-1642
460228,2017-06-21 11:00:00,43.3235,-72.0411,Newbury,1.5,16.8,edi.498.1,6,2017-06-21 16:00:00+00:00,-1 days +23:32:38.099000,-1642
484023,2017-06-21 11:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,21.31,edi.498.1,6,2017-06-21 16:00:00+00:00,-1 days +23:32:38.099000,-1642
