,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
305032,2018-07-18 10:10:00,43.3913,-72.0576,loon,0.85,24.36,edi.499.2,7,2018-07-18 15:10:00+00:00,0 days 00:21:57.797000,1317
305033,2018-07-18 10:15:00,43.3913,-72.0576,loon,0.25,24.24,edi.499.2,7,2018-07-18 15:15:00+00:00,0 days 00:16:57.797000,1017
305034,2018-07-18 10:30:00,43.3913,-72.0576,loon,0.25,24.22,edi.499.2,7,2018-07-18 15:30:00+00:00,0 days 00:01:57.797000,117
305035,2018-07-18 10:45:00,43.3913,-72.0576,loon,0.25,24.2,edi.499.2,7,2018-07-18 15:45:00+00:00,-1 days +23:46:57.797000,-783
305036,2018-07-18 10:50:00,43.3913,-72.0576,loon,0.85,24.34,edi.499.2,7,2018-07-18 15:50:00+00:00,-1 days +23:41:57.797000,-1083
305037,2018-07-18 11:00:00,43.3913,-72.0576,loon,0.25,24.18,edi.499.2,7,2018-07-18 16:00:00+00:00,-1 days +23:31:57.797000,-1683
502536,2018-07-18 10:10:00,43.4288,-72.0675,GeorgesMills,0.1,25.12,edi.395.2,7,2018-07-18 15:10:00+00:00,0 days 00:21:57.797000,1317
502537,2018-07-18 10:10:00,43.4096,-72.033,HerrickCove,0.1,24.93,edi.395.2,7,2018-07-18 15:10:00+00:00,0 days 00:21:57.797000,1317
502538,2018-07-18 10:10:00,43.3436,-72.0595,StateBeach,0.1,23.77,edi.395.2,7,2018-07-18 15:10:00+00:00,0 days 00:21:57.797000,1317
502539,2018-07-18 10:20:00,43.4288,-72.0675,GeorgesMills,0.1,25.03,edi.395.2,7,2018-07-18 15:20:00+00:00,0 days 00:11:57.797000,717
502540,2018-07-18 10:20:00,43.4096,-72.033,HerrickCove,0.1,24.93,edi.395.2,7,2018-07-18 15:20:00+00:00,0 days 00:11:57.797000,717
502541,2018-07-18 10:20:00,43.3436,-72.0595,StateBeach,0.1,23.77,edi.395.2,7,2018-07-18 15:20:00+00:00,0 days 00:11:57.797000,717
502542,2018-07-18 10:30:00,43.4288,-72.0675,GeorgesMills,0.1,25.03,edi.395.2,7,2018-07-18 15:30:00+00:00,0 days 00:01:57.797000,117
502543,2018-07-18 10:30:00,43.4096,-72.033,HerrickCove,0.1,24.93,edi.395.2,7,2018-07-18 15:30:00+00:00,0 days 00:01:57.797000,117
502544,2018-07-18 10:30:00,43.3436,-72.0595,StateBeach,0.1,23.77,edi.395.2,7,2018-07-18 15:30:00+00:00,0 days 00:01:57.797000,117
502545,2018-07-18 10:40:00,43.4288,-72.0675,GeorgesMills,0.1,25.03,edi.395.2,7,2018-07-18 15:40:00+00:00,-1 days +23:51:57.797000,-483
502546,2018-07-18 10:40:00,43.4096,-72.033,HerrickCove,0.1,24.93,edi.395.2,7,2018-07-18 15:40:00+00:00,-1 days +23:51:57.797000,-483
502547,2018-07-18 10:40:00,43.3436,-72.0595,StateBeach,0.1,23.77,edi.395.2,7,2018-07-18 15:40:00+00:00,-1 days +23:51:57.797000,-483
502548,2018-07-18 10:50:00,43.4288,-72.0675,GeorgesMills,0.1,25.03,edi.395.2,7,2018-07-18 15:50:00+00:00,-1 days +23:41:57.797000,-1083
502549,2018-07-18 10:50:00,43.4096,-72.033,HerrickCove,0.1,24.93,edi.395.2,7,2018-07-18 15:50:00+00:00,-1 days +23:41:57.797000,-1083
502550,2018-07-18 10:50:00,43.3436,-72.0595,StateBeach,0.1,23.87,edi.395.2,7,2018-07-18 15:50:00+00:00,-1 days +23:41:57.797000,-1083
502551,2018-07-18 11:00:00,43.4288,-72.0675,GeorgesMills,0.1,25.03,edi.395.2,7,2018-07-18 16:00:00+00:00,-1 days +23:31:57.797000,-1683
502552,2018-07-18 11:00:00,43.4096,-72.033,HerrickCove,0.1,24.93,edi.395.2,7,2018-07-18 16:00:00+00:00,-1 days +23:31:57.797000,-1683
502553,2018-07-18 11:00:00,43.3436,-72.0595,StateBeach,0.1,23.87,edi.395.2,7,2018-07-18 16:00:00+00:00,-1 days +23:31:57.797000,-1683
