,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
106802,2010-09-22 10:00:00,43.3913,-72.0576,loon,1.0,16.97,edi.499.2,9,2010-09-22 15:00:00+00:00,0 days 00:23:03.139000,1383
106803,2010-09-22 10:10:00,43.3913,-72.0576,loon,1.0,17.02,edi.499.2,9,2010-09-22 15:10:00+00:00,0 days 00:13:03.139000,783
106804,2010-09-22 10:20:00,43.3913,-72.0576,loon,1.0,17.08,edi.499.2,9,2010-09-22 15:20:00+00:00,0 days 00:03:03.139000,183
106805,2010-09-22 10:30:00,43.3913,-72.0576,loon,1.0,17.14,edi.499.2,9,2010-09-22 15:30:00+00:00,-1 days +23:53:03.139000,-417
106806,2010-09-22 10:40:00,43.3913,-72.0576,loon,1.0,17.16,edi.499.2,9,2010-09-22 15:40:00+00:00,-1 days +23:43:03.139000,-1017
106807,2010-09-22 10:50:00,43.3913,-72.0576,loon,1.0,17.2,edi.499.2,9,2010-09-22 15:50:00+00:00,-1 days +23:33:03.139000,-1617
383539,2010-09-22 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,17.41,edi.498.1,9,2010-09-22 15:00:00+00:00,0 days 00:23:03.139000,1383
415892,2010-09-22 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,17.24,edi.498.1,9,2010-09-22 15:00:00+00:00,0 days 00:23:03.139000,1383
442999,2010-09-22 10:00:00,43.3235,-72.0411,Newbury,1.5,17.110000000000003,edi.498.1,9,2010-09-22 15:00:00+00:00,0 days 00:23:03.139000,1383
475352,2010-09-22 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,17.610000000000003,edi.498.1,9,2010-09-22 15:00:00+00:00,0 days 00:23:03.139000,1383
