,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
29017,2007-09-06 10:00:00,43.3913,-72.0576,loon,0.5,20.69,edi.499.2,9,2007-09-06 15:00:00+00:00,0 days 00:22:45.709000,1365
29018,2007-09-06 10:10:00,43.3913,-72.0576,loon,0.5,20.66,edi.499.2,9,2007-09-06 15:10:00+00:00,0 days 00:12:45.709000,765
29019,2007-09-06 10:20:00,43.3913,-72.0576,loon,0.5,20.67,edi.499.2,9,2007-09-06 15:20:00+00:00,0 days 00:02:45.709000,165
29020,2007-09-06 10:30:00,43.3913,-72.0576,loon,0.5,20.69,edi.499.2,9,2007-09-06 15:30:00+00:00,-1 days +23:52:45.709000,-435
29021,2007-09-06 10:40:00,43.3913,-72.0576,loon,0.5,20.69,edi.499.2,9,2007-09-06 15:40:00+00:00,-1 days +23:42:45.709000,-1035
29022,2007-09-06 10:50:00,43.3913,-72.0576,loon,0.5,20.69,edi.499.2,9,2007-09-06 15:50:00+00:00,-1 days +23:32:45.709000,-1635
372288,2007-09-06 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,20.16,edi.498.1,9,2007-09-06 15:00:00+00:00,0 days 00:22:45.709000,1365
404641,2007-09-06 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,20.47,edi.498.1,9,2007-09-06 15:00:00+00:00,0 days 00:22:45.709000,1365
431748,2007-09-06 10:00:00,43.3235,-72.0411,Newbury,1.5,20.67,edi.498.1,9,2007-09-06 15:00:00+00:00,0 days 00:22:45.709000,1365
464101,2007-09-06 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,20.68,edi.498.1,9,2007-09-06 15:00:00+00:00,0 days 00:22:45.709000,1365
