"date","LSmission","IQR","pct_lake","surface_temp_count","surface_temp_max","surface_temp_mean","surface_temp_median","surface_temp_min","surface_temp_p25","surface_temp_p75","surface_temp_skew","surface_temp_stdDev","calib_IQR_med_temp_degC"
1985-09-01,"LS 5",0.899999999999999,0.727284263959391,18138,21.0786350218465,16.8576465753902,17.0302119240903,14.2537190782024,16.5719323737134,17.4867162002047,-0.938011162157381,0.642803939303185,20.9522087580214
1987-07-05,"LS 5",0.5,0.727284263959391,18138,22.8436816626697,17.3269036358327,17.0308273172595,16.5722372955251,17.0308273172595,17.487670053848,1.88553584407351,0.605024237174663,20.9528657816135
1987-10-25,"LS 5",0.5,0.6998730964467,17465,9.47368118224856,8.29072350724146,8.49282711947321,2.41364873317233,7.99910108271196,8.49282711947321,-2.50310098313563,0.76007535251538,11.8372827042408
1988-06-05,"LS 5",0.9,0.727284263959391,18138,19.7480036055187,12.8523257048656,12.8387694465279,11.4077069546808,12.3636909353664,13.3119177163785,1.83489621362004,0.89556491089709,16.477221497169
1988-06-21,"LS 5",1,0.724576988155668,18072,18.8477036847133,13.1517076121186,13.3126119756791,10.4445820279044,12.8395232566202,13.7837891994059,-0.148061512069631,0.815311653800001,16.9831187611666
1988-09-09,"LS 5",0.500000000000002,0.724873096446701,18077,18.3966611081505,15.6878937650339,15.649809756181,6.00033695835977,15.649809756181,16.111913358067,-4.47382650018436,0.573248934703795,19.4784244583883
1988-09-25,"LS 5",0.5,0.727284263959391,18138,16.5718209510275,14.0301664176957,14.2538192417125,12.3656884068599,13.784670739261,14.2538192417125,-0.424396004171171,0.315111829895125,17.9879972839826
1988-10-11,"LS 5",3.5,0.255033840947547,6298,11.4097025563119,7.646085795715,7.99889735063142,0.306605455663695,6.00142977228294,9.47345650365689,-0.408641901777937,1.83376215775681,11.3099393289815
1988-10-27,"LS 5",0.5,0.727199661590525,18136,8.49279743164934,7.26650393724209,7.50313832413066,4.47877143161621,7.0049028593389,7.50313832413066,-1.6312975253657,0.428619526289665,10.7806429495323
1989-08-19,"LS 4",0.5,0.688536379018613,17095,24.5326835990797,19.3289353082951,19.8751287034536,13.6742372188705,19.4428145178541,19.8751287034536,-1.95587818988429,1.17173089715316,23.9895798812058
1989-09-28,"LS 5",0.5,0.727284263959391,18138,14.7210014788742,13.3844128300008,13.3134113053188,10.4456235225703,13.3134113053188,13.7844947943386,-1.4771112090748,0.534196943653551,16.9839721642549
1989-10-30,"LS 5",0.5,0.726438240270728,18004,10.9288138773525,7.27166300076241,7.00481029046934,4.98873174418591,7.00481029046934,7.50303905871987,1.68378114366838,0.528598856035256,10.2486037734496
1990-06-27,"LS 5",0.400000000000002,0.727284263959391,18138,24.5883427843036,18.8593535681537,18.8496781064146,17.9437427700846,18.3975415987471,18.8496781064146,1.20631624520304,0.562197034235075,22.894759092671
1990-07-29,"LS 5",0.400000000000002,0.687309644670051,17118,25.0122756520738,20.3027090265107,20.1943396720308,16.5722555851576,20.1943396720308,20.6398404059294,-0.430925007575518,0.556656413363303,24.3303849919891
1990-08-30,"LS 5",0.400000000000002,0.727284263959391,18138,21.0790269882125,18.6702211188479,18.8462220861888,17.0302750860461,18.3947953158504,18.8462220861888,-0.786985817334123,0.331894849591744,22.8910692778718
1990-10-01,"LS 5",0.9,0.653257191201354,16280,14.720984299879,12.4424564345523,12.8406396192003,3.45133492661706,12.3657131538752,13.3135994607084,-2.07644174618305,1.28170894252012,16.4792181842116
1990-10-17,"LS 5",0.5,0.704018612521151,17551,12.3650851918706,10.9225665862588,10.9282293919227,6.50389685247907,10.9282293919227,11.4092065921931,-2.8049053172026,0.742739257117386,14.4374362796754
1991-07-16,"LS 5",0.400000000000002,0.721362098138748,17985,26.2854926568987,18.6483340831776,18.3952417856084,14.7208399384513,18.3952417856084,18.8467742706331,1.80230934022256,0.694198729556132,22.4095808378429
1991-09-02,"LS 5",0.5,0.727284263959391,18138,19.2967222566208,17.1585975184141,17.0304542918458,14.2534613711669,17.0304542918458,17.4870737715067,-1.55627065789242,0.495711959839083,20.9524675215914
1991-09-18,"LS 5",3.4,0.680541455160744,16869,15.6500889088035,10.4029248503662,10.4454388045997,3.45116354271238,8.49232961263749,11.8883287677454,0.135900903604446,2.25517173645983,13.9219856348209
1992-06-16,"LS 5",0.5,0.727284263959391,18138,22.3989514342502,16.5037752055815,16.5719129868367,15.6501089852926,16.1118991919938,16.5719129868367,2.69400085039101,0.536972998747062,20.4629065865493
1992-08-19,"LS 5",0.899999999999999,0.562225042301184,13851,19.2991542568119,14.7983780243918,14.7201258344281,10.9267591324374,14.2525834316283,15.1858335391208,0.167883297356941,0.639952062809298,18.4858488167721
1992-09-20,"LS 5",0.5,0.727284263959391,18138,16.1119506479924,14.7531018684122,14.7206581487563,11.4088193044038,14.7206581487563,15.186223264806,-0.947414606427199,0.452162879779515,18.4864171413645
1992-10-06,"LS 5",0.5,0.727199661590525,18135,11.4096651350066,10.5974755704671,10.9286977583352,6.50422717556008,10.4457083904539,10.9286977583352,-1.95257329909532,0.646614138576055,14.4379363303717
1993-06-03,"LS 5",0.9,0.496827411167513,12434,19.7435971917838,10.2717081593777,10.445826056256,0.306605683613748,9.96072280838284,10.9288138773521,-0.579812657495874,1.42278574699565,13.9223990834697
1993-07-05,"LS 5",0.899999999999999,0.727284263959391,18138,25.4489471235752,17.9217681736812,17.9436776714963,16.57235591097,17.4882363314581,18.3974542182259,1.53129149679952,0.72161520726862,21.9274690901742
