system:index,OBJECTID,azimuth,cloud_cover,count,elev,emiss,esd,l_exceltime,landsat_time,lat_dd,lon_dd,max,mean,median,min,name,p25,p75,pct_lake,pixel_count,site,skew,stdDev,sza,uid,v_exceltime,vapor_time,water_column,.geo
2_1_LC08_013030_20180523_00000000000000000000,1,139.42024,0.28,70,62.59185,0.9779510005476145,1.0125102,43243.6470849537,1527089508140,43.4288,-72.0675,20.43276489281816,16.7329003233759,16.562297420275815,15.151503959290185,Georges Mills buoy,15.628966651966662,17.655715638968335,0.7272842639593908,17193,georges mills,0.4358854104560188,1.4716834694957355,27.40814971923828,1_LC08_013030_20180523,43243.75,1527098400000,0.9100000381469727,"{""type"":""Polygon"",""coordinates"":[[[-72.06662501626134,43.427358524157384],[-72.06617157036814,43.42749859618633],[-72.06550204218924,43.42808042663828],[-72.06527048243436,43.42881980146157],[-72.06544618561688,43.429321905813644],[-72.06608602709086,43.42932190534353],[-72.06608602709086,43.42959139992875],[-72.0663555216761,43.42959139992875],[-72.0663555216761,43.429860894513986],[-72.06689451084657,43.429860894513986],[-72.06689451084657,43.42959139992875],[-72.0671640054318,43.42959139992875],[-72.0671640054318,43.429860894513986],[-72.06797248918751,43.429860894513986],[-72.06797248918751,43.42878291617305],[-72.06824198377275,43.428782916173056],[-72.06824198377275,43.428243927002576],[-72.06770299460229,43.428243927002576],[-72.06770299460229,43.427704937832104],[-72.0671640054318,43.427704937832104],[-72.0671640054318,43.427435443246864],[-72.06662501626134,43.427435443246864],[-72.06662501626134,43.427358524157384]]]}"
2_1_LC08_013030_20180523_00000000000000000001,2,139.42024,0.28,78,62.59185,0.9779510005476145,1.0125102,43243.6470849537,1527089508140,43.4096,-72.033,18.851739558004788,15.68176397422682,15.496823027776548,14.483684169844505,Herrick Cove buoy,14.888512965125635,16.40041796245335,0.7272842639593908,17193,herrick cove,0.5479858369333909,1.0925984757352933,27.40814971923828,1_LC08_013030_20180523,43243.75,1527098400000,0.9100000381469727,"{""type"":""Polygon"",""coordinates"":[[[-72.03320768769208,43.411182053849274],[-72.0340154620288,43.411040778705384],[-72.03480787000979,43.410547227764916],[-72.03520423628561,43.40984576862282],[-72.03515082616006,43.40937930672144],[-72.03482465520351,43.409379306036065],[-72.03482465520351,43.409109811450826],[-72.03320768769208,43.409109811450826],[-72.03320768769208,43.40884031686559],[-72.03186021476591,43.40884031686559],[-72.03186021476591,43.409109811450826],[-72.03159072018067,43.409109811450826],[-72.03159072018067,43.40937930603606],[-72.03132122559543,43.409379306036065],[-72.03132122559543,43.41018778979177],[-72.03239920393638,43.41018778979177],[-72.03239920393638,43.41045728437701],[-72.03293819310686,43.41045728437701],[-72.03293819310686,43.41099627354748],[-72.03320768769208,43.41099627354748],[-72.03320768769208,43.411182053849274]]]}"
2_1_LC08_013030_20180523_00000000000000000002,3,139.42024,0.28,119,62.59185,0.9779510005476145,1.0125102,43243.6470849537,1527089508140,43.3436,-72.0595,18.84923393448241,14.711110735609065,14.184974388519453,13.70109976178987,State Beach buoy,13.940667490609195,15.159292990682495,0.7272842639593908,17193,state beach,1.5411828308064863,1.2250515790486691,27.40814971923828,1_LC08_013030_20180523,43243.75,1527098400000,0.9100000381469727,"{""type"":""Polygon"",""coordinates"":[[[-72.05950109738653,43.34521910613385],[-72.06051479561432,43.34504162402367],[-72.06096562997138,43.34476051792352],[-72.06096562997138,43.34416161640899],[-72.06123512455662,43.34416161640899],[-72.06123512455662,43.343083638068045],[-72.06096562997138,43.343083638068045],[-72.06096562997138,43.342402675324635],[-72.06017326878364,43.34205503992512],[-72.05913323652076,43.34200176024698],[-72.05817380984517,43.34229855238104],[-72.05750522206037,43.342880382861864],[-72.0572739876134,43.34361975769784],[-72.05753079311037,43.34435465598315],[-72.05821937775514,43.34492403233099],[-72.05918885010426,43.345203110054086],[-72.05950109738653,43.34521910613385]]]}"
2_1_LC08_013030_20180523_00000000000000000003,4,139.42024,0.28,69,62.59185,0.9779510005476145,1.0125102,43243.6470849537,1527089508140,43.40996667,-72.03683333,18.357686675235623,15.393933967014494,15.102081933671386,14.494160536779082,Herrick Cove near-shore,14.718931435558964,15.928907647411025,0.7272842639593908,17193,Midge,0.7786114801700537,1.031282149795709,27.40814971923828,1_LC08_013030_20180523,43243.75,1527098400000,0.9100000381469727,"{""type"":""Polygon"",""coordinates"":[[[-72.03683548673186,43.411588366213316],[-72.03785029513612,43.41141088409275],[-72.03864270795927,43.41091733315216],[-72.0387503825392,43.4107267817082],[-72.0377890956411,43.41072677896224],[-72.0377890956411,43.41045728437701],[-72.0369806118854,43.41045728437701],[-72.0369806118854,43.41018778979177],[-72.03671111730016,43.41018778979177],[-72.03671111730016,43.409918295206545],[-72.03617212812968,43.409918295206545],[-72.03617212812968,43.4096488006213],[-72.03563313895921,43.4096488006213],[-72.03563313895921,43.409379306036065],[-72.03482465520351,43.409379306036065],[-72.03482465520351,43.40929043264027],[-72.03460593800615,43.40998901772712],[-72.03486302468049,43.41072391602334],[-72.03555236339955,43.41129329239383],[-72.03652289748239,43.41157237013257],[-72.03683548673186,43.411588366213316]]]}"
2_1_LC08_013030_20180523_00000000000000000004,5,139.42024,0.28,35,62.59185,0.9779510005476145,1.0125102,43243.6470849537,1527089508140,43.3234,-72.04105,19.888267114919895,15.806895824931269,15.574563359397368,14.127249185619418,Newbury near-shore,14.81028887930525,16.593091161276252,0.7272842639593908,17193,Newbury,0.8706811562047958,1.4502269924867977,27.40814971923828,1_LC08_013030_20180523,43243.75,1527098400000,0.9100000381469727,"{""type"":""Polygon"",""coordinates"":[[[-72.03882593671928,43.32341053472706],[-72.03882296810697,43.32342002994098],[-72.03907968821694,43.324154928222974],[-72.03976804386703,43.32472430456392],[-72.04073719379252,43.325003382282276],[-72.04102303066394,43.3250180302906],[-72.04102303066394,43.32448851168676],[-72.0407535360787,43.324488511686766],[-72.0407535360787,43.32341053334583],[-72.04048404149346,43.32341053334583],[-72.04048404149346,43.323141038760596],[-72.04021454690822,43.323141038760596],[-72.04021454690822,43.32341053334583],[-72.03882593671928,43.32341053472706]]]}"
2_1_LC08_013030_20180523_00000000000000000005,6,139.42024,0.28,70,62.59185,0.9779510005476145,1.0125102,43243.6470849537,1527089508140,43.39601667,-72.07893333,19.743629248040865,15.610694497454842,15.284040411255313,14.205957115630175,North Sunapee Harbor near-shore,14.622290686153358,16.372129796738875,0.7272842639593908,17193,Coffin,0.8588759431735564,1.32377894830032,27.40814971923828,1_LC08_013030_20180523,43243.75,1527098400000,0.9100000381469727,"{""type"":""Polygon"",""coordinates"":[[[-72.08090822927883,43.39534121377586],[-72.0805001299896,43.394863449634194],[-72.07960661229343,43.394471772804756],[-72.07856568088195,43.39441849312916],[-72.0776054247335,43.39471528525021],[-72.07693625888795,43.39529711571328],[-72.07670482447406,43.396036490541455],[-72.0767529452175,43.396174079765686],[-72.07875227259694,43.39617407135951],[-72.07875227259694,43.39590457677427],[-72.07983025093789,43.39590457677427],[-72.07983025093789,43.39563508218904],[-72.08090822927883,43.39563508218904],[-72.08090822927883,43.39534121377586]]]}"
2_1_LC08_013030_20180523_00000000000000000006,7,139.42024,0.28,61,62.59185,0.9779510005476145,1.0125102,43243.6470849537,1527089508140,43.3448,-72.04368333,16.86483158995097,14.255229098551618,14.061583316080988,13.49794148433961,South of the Fells near-shore,13.698442681322058,14.63795962608768,0.7272842639593908,17193,Fichter,0.9802997167819976,0.9081892053941327,27.40814971923828,1_LC08_013030_20180523,43243.75,1527098400000,0.9100000381469727,"{""type"":""Polygon"",""coordinates"":[[[-72.04479595485724,43.34618028612594],[-72.0454899458251,43.34574757128844],[-72.04588588879373,43.34504611216201],[-72.04579945956394,43.34429046384715],[-72.04524961413046,43.34364621495343],[-72.0443568506278,43.34325453810841],[-72.04344848193105,43.34320800485175],[-72.04344848193105,43.34335313265328],[-72.04317898734581,43.34335313265328],[-72.04317898734581,43.34362262723852],[-72.04344848193105,43.34362262723852],[-72.04344848193105,43.34416161640899],[-72.04398747110153,43.34416161640899],[-72.04398747110153,43.34470060557946],[-72.04425696568676,43.34470060557946],[-72.04425696568676,43.345239594749934],[-72.044526460272,43.34523959474994],[-72.044526460272,43.345778583920406],[-72.04479595485724,43.345778583920406],[-72.04479595485724,43.34618028612594]]]}"
2_1_LC08_013030_20180523_00000000000000000007,8,139.42024,0.28,132,62.59185,0.9779510005476145,1.0125102,43243.6470849537,1527089508140,43.3913333,-72.0576666,13.537552789296447,13.413853162678747,13.408121748865353,13.281196444969108,Primary (GLEON) buoy (summer location),13.379047302602197,13.45567328779151,0.7272842639593908,17193,loon island,-0.03802354411609904,0.05423257635800917,27.40814971923828,1_LC08_013030_20180523,43243.75,1527098400000,0.9100000381469727,"{""type"":""Polygon"",""coordinates"":[[[-72.05766840685355,43.39295378291098],[-72.05868290316921,43.39277630079333],[-72.05947507230765,43.39228274985908],[-72.05987131912691,43.391581290721405],[-72.05978482352015,43.3908256424092],[-72.05923455606661,43.39018139352982],[-72.05834110739808,43.389789716698964],[-72.05730025640054,43.38973643702313],[-72.05634007443469,43.39003322914535],[-72.0556709602871,43.39061505961],[-72.05543954375695,43.39135443443888],[-72.05569655138777,43.392089332732034],[-72.05638567812433,43.39265870909617],[-72.0573559137366,43.392937786830515],[-72.05766840685355,43.39295378291098]]]}"
2_1_LC08_013030_20180523_00000000000000000008,9,139.42024,0.28,13,62.59185,0.9779510005476145,1.0125102,43243.6470849537,1527089508140,43.38565,-72.0812139,21.774267419488478,19.045195307168783,19.145634974597037,17.04388790628353,Primary (GLEON) buoy (winter location),18.107293435240166,20.01279865474155,0.7272842639593908,17193,harbor,0.3816074864507099,1.371341947436284,27.40814971923828,1_LC08_013030_20180523,43243.75,1527098400000,0.9100000381469727,"{""type"":""Polygon"",""coordinates"":[[[-72.07907619147697,43.38593327729933],[-72.07924078990159,43.386403978892254],[-72.07983025093789,43.38689105518269],[-72.07983025093789,43.386741760876255],[-72.08036924010837,43.386741760876255],[-72.08036924010837,43.38620277170578],[-72.07983025093789,43.38620277170578],[-72.07983025093789,43.38593327712054],[-72.07907619147697,43.38593327729933]]]}"
2_1_LC08_013030_20180608_00000000000000000000,1,135.84161,39.36,68,64.2172,0.9779510005476145,1.0150348,43259.64701782407,1528471902340,43.4288,-72.0675,19.150728522820547,16.787402646347136,16.646875458098076,15.424051805219504,Georges Mills buoy,16.21501318142701,17.235373354325294,0.5467851099830795,12926,georges mills,0.566588579422198,0.8404899085549854,25.782798767089844,1_LC08_013030_20180608,43259.75,1528480800000,1.0899999618530274,"{""type"":""Polygon"",""coordinates"":[[[-72.06662501626134,43.427358524157384],[-72.06617157036814,43.42749859618633],[-72.06550204218924,43.42808042663828],[-72.06527048243436,43.42881980146157],[-72.06544618561688,43.429321905813644],[-72.06608602709086,43.42932190534353],[-72.06608602709086,43.42959139992875],[-72.0663555216761,43.42959139992875],[-72.0663555216761,43.429860894513986],[-72.06689451084657,43.429860894513986],[-72.06689451084657,43.42959139992875],[-72.0671640054318,43.42959139992875],[-72.0671640054318,43.429860894513986],[-72.06797248918751,43.429860894513986],[-72.06797248918751,43.42878291617305],[-72.06824198377275,43.428782916173056],[-72.06824198377275,43.428243927002576],[-72.06770299460229,43.428243927002576],[-72.06770299460229,43.427704937832104],[-72.0671640054318,43.427704937832104],[-72.0671640054318,43.427435443246864],[-72.06662501626134,43.427435443246864],[-72.06662501626134,43.427358524157384]]]}"
