"date","LSmission","temp_spread","pct_lake","surface_temp_max","surface_temp_mean","surface_temp_median","surface_temp_min","surface_temp_p25","surface_temp_p75","surface_temp_skew","surface_temp_stdDev","calib_med_temp_degC"
1985-09-01,"LS 5",9.1,72.7476904822443,25.15253162,18.5607549516567,18.6433251995552,16.08110654,18.1353541354161,19.1497018117399,-0.582134398241439,0.733546552930644,19.3695763512377
1985-09-17,"LS 5",7.2,72.7137893041783,23.05728536,17.7489078340015,17.7943503174189,15.93413168,17.6551301293624,17.8025023356097,1.57374855182969,0.552139659268717,18.5762912364451
1985-11-20,"LS 5",9.6,62.4713958810069,16.90484936,8.77909195647763,8.72584814462513,7.27286900000001,8.13172958928937,8.85618485496601,2.22608008744668,1.16640426599225,10.1026509220938
1987-08-06,"LS 5",9.9,72.7476904822443,29.87965328,21.2092397991408,21.2537613878279,20.02550162,21.0613046693936,21.2537613878279,2.50309569505088,0.508824493744851,21.8087771036342
1987-10-09,"LS 5",5,72.7476904822443,12.97412636,11.2862389518608,11.391988357982,8.02483340000003,11.2455946462226,11.391988357982,-1.62667987203512,0.576413508202169,12.5939017113797
1987-10-25,"LS 5",5.8,65.4504619035511,12.90918398,10.1833973767134,10.2609834931673,7.14298424000003,10.1214201370251,10.6725060303834,-0.61749840330876,0.515878488077656,11.5370867891787
1988-09-25,"LS 5",6.7,72.7476904822443,20.88342464,16.1891963751526,16.3416248373918,14.18752346,15.9593794612768,16.4961437508032,1.06068690137481,0.409228753906369,17.2188594402469
1988-10-27,"LS 5",5,72.743452834986,11.50437776,9.06071274901764,9.22122998932399,6.47647033999999,8.81202287195265,9.36141039971269,-1.06630537550686,0.436100359447618,10.5655374595014
1988-11-12,"LS 5",6.5,72.7392151877278,7.07120582000005,5.78031865449599,6.10259161007617,0.594057920000012,5.56661665516402,6.24614988535601,-1.47271404460392,0.873178634345046,7.6514707930614
1989-08-27,"LS 5",8.1,72.7476904822443,24.15105176,18.146710831015,18.2074317059973,16.08110654,18.0560449327925,18.2074317059973,1.91035423961483,0.413339539109891,18.9622759382922
1989-09-28,"LS 5",6,72.7476904822443,18.69930986,15.9983371100611,15.9530943067234,12.68701268,15.820445125865,16.3560058659521,-1.26441883860525,0.536479182511999,16.8558151463495
1989-10-30,"LS 5",7.3,69.0821256038647,12.88525784,7.08288839998282,6.81765059646377,5.55360494000001,6.68382029144666,7.4424658307502,2.12675177789258,0.687399532917838,8.31962442402937
1990-08-30,"LS 5",6.9,72.7476904822443,27.03586064,22.1884823327013,22.312381628865,20.10411608,21.8786290171287,22.4630261941265,0.20072909295,0.41548630223033,22.7979555788793
1990-10-01,"LS 5",7.2,58.9244851258581,17.25006938,14.5308821346323,14.5949217505486,10.14742382,14.4496499378798,14.9765649737174,-1.72017476288985,0.777479121639102,15.586733934639
1990-10-17,"LS 5",5.7,67.4167302313755,16.76812856,13.7534557128895,13.5864422250838,11.0668712,13.4445079495124,14.0201080241009,0.201158114779181,0.463183318714496,14.6444071203153
1991-09-02,"LS 5",7.5,72.7476904822443,24.26726444,19.9698199361996,19.8659448047507,16.81598084,19.7160715912359,20.2443421943933,-1.13067557788677,0.531118197873402,20.5119964089602
1991-10-04,"LS 5",6.5,68.281210272057,20.08360796,14.9939329552867,14.9397101584578,13.63380422,14.8117281891318,14.9397101584578,2.3250810170952,0.591914618400462,15.9089054352365
1992-06-16,"LS 5",9.1,72.7476904822443,26.38985486,18.3408681370097,18.3099069701837,17.2705775000001,17.9431659761658,18.4624113709355,2.98544644059175,0.756112258921893,19.0580291854424
1992-09-20,"LS 5",7,72.7392151877278,21.2970050600001,17.9483044270618,17.9531260496701,14.30715416,17.8039331958866,18.3609231109621,-0.47164138006166,0.48739269910549,18.7246518389027
1992-10-06,"LS 5",5.8,72.743452834986,14.2866460400001,12.5742499531079,12.8384958260842,8.48968411999999,12.4488946019453,12.9842664200735,-1.86377062326366,0.628792073281725,13.9455233753733
1992-10-22,"LS 5",6.1,38.7066700567845,12.0102447200001,9.60087909409594,9.83852393351926,5.92275110000003,9.43151416163473,9.83852393351926,-2.1074051173071,0.620433814533081,11.1423390913112
1993-10-25,"LS 5",7.5,64.5266548012544,14.5669236800001,10.1358222142336,10.0259595838779,7.11564008000005,9.88138596620821,10.5714054565165,0.146064265074904,0.513587262775683,11.3174796220143
1993-11-10,"LS 5",5.4,72.7307398932113,8.53411838,6.38093583080039,6.41381963292914,3.05845034000004,5.86115475900289,6.82044541435518,-0.541901078627893,0.626919598734851,7.94228335186684
1994-06-22,"LS 5",8.6,72.6502245953047,27.41867888,21.1752814576468,21.0417608442201,18.81552254,20.5955420750156,21.6297240265364,0.805592468942495,0.962382504344196,21.610683050311
1994-08-25,"LS 5",9.4,72.7476904822443,29.07300056,20.5316899451941,20.431410385788,19.69053566,20.2872371380654,20.8777880035192,2.56675278706787,0.541225185164663,21.0403694360111
1994-09-10,"LS 5",7.3,42.5544537672684,19.96055924,16.3063146818451,16.5198488240856,12.6904307,16.1225199777361,16.6601733617385,-0.894187517093789,0.567333048601801,17.3853925600341
1994-10-12,"LS 5",6,72.7476904822443,14.51565338,11.5123800638935,11.6446596844503,8.53070036000003,11.252667239492,11.7883365647632,-1.4069446429058,0.485737382876313,12.829998687203
1994-10-28,"LS 5",4.8,72.7392151877278,13.17920756,10.6260995124674,10.5819982437019,8.35979936000001,10.4381202605462,10.9866503371016,0.4222055376226,0.392975719201813,11.8370441007391
