"date","LSmission","temp_spread","pct_lake","surface_temp_count","surface_temp_max","surface_temp_mean","surface_temp_median","surface_temp_min","surface_temp_p25","surface_temp_p75","surface_temp_skew","surface_temp_stdDev","calib_range_med_temp_degC"
1985-09-01,"LS 5",6.8,0.727284263959391,18138,21.0786350218465,16.8576465753902,17.0302119240903,14.2537190782024,16.5719323737134,17.4867162002047,-0.938011162157381,0.642803939303185,20.8951729723622
1985-09-17,"LS 5",5.6,0.727072758037225,18133,18.3953748381006,15.1822373193866,15.1863157861066,12.839984896199,15.1863157861066,15.1863157861066,0.665036681758305,0.383756466431523,18.8826987102694
1987-07-05,"LS 5",6.2,0.727284263959391,18138,22.8436816626697,17.3269036358327,17.0308273172595,16.5722372955251,17.0308273172595,17.487670053848,1.88553584407351,0.605024237174663,20.8958446278251
1987-08-06,"LS 5",6.2,0.727284263959391,18138,23.7065734175715,18.4115784170917,18.3947332968533,17.4867698970917,18.3947332968533,18.3947332968533,1.79151526151427,0.307624917293449,22.3844456522021
1987-10-09,"LS 5",4.9,0.727284263959391,18138,10.4453411790466,9.4167668210773,9.4730579150589,5.4960445768977,9.4730579150589,9.4730579150589,-1.79912396450794,0.60251437646406,12.6471064871868
1987-10-25,"LS 5",7.1,0.6998730964467,17465,9.47368118224856,8.29072350724146,8.49282711947321,2.41364873317233,7.99910108271196,8.49282711947321,-2.50310098313563,0.76007535251538,11.577258133806
1988-06-05,"LS 5",8.3,0.727284263959391,18138,19.7480036055187,12.8523257048656,12.8387694465279,11.4077069546808,12.3636909353664,13.3119177163785,1.83489621362004,0.89556491089709,16.3205280488358
1988-06-21,"LS 5",8.4,0.724576988155668,18072,18.8477036847133,13.1517076121186,13.3126119756791,10.4445820279044,12.8395232566202,13.7837891994059,-0.148061512069631,0.815311653800001,16.8376916105777
1988-09-25,"LS 5",4.2,0.727284263959391,18138,16.5718209510275,14.0301664176957,14.2538192417125,12.3656884068599,13.784670739261,14.2538192417125,-0.424396004171171,0.315111829895125,17.8649487099165
1988-10-27,"LS 5",4,0.727199661590525,18136,8.49279743164934,7.26650393724209,7.50313832413066,4.47877143161621,7.0049028593389,7.50313832413066,-1.6312975253657,0.428619526289665,10.4970870834525
1989-08-27,"LS 5",5,0.727284263959391,18138,19.2954359168479,16.0944033509227,16.1118701148684,14.2537959594195,16.1118701148684,16.1118701148684,-0.469307136962031,0.316937553518251,19.8928718032281
1989-09-28,"LS 5",4.3,0.727284263959391,18138,14.7210014788742,13.3844128300008,13.3134113053188,10.4456235225703,13.3134113053188,13.7844947943386,-1.4771112090748,0.534196943653551,16.8385640188949
1989-10-30,"LS 5",5.9,0.726438240270728,18004,10.9288138773525,7.27166300076241,7.00481029046934,4.98873174418591,7.00481029046934,7.50303905871987,1.68378114366838,0.528598856035256,9.95319943101707
1990-06-27,"LS 5",6.7,0.727284263959391,18138,24.5883427843036,18.8593535681537,18.8496781064146,17.9437427700846,18.3975415987471,18.8496781064146,1.20631624520304,0.562197034235075,22.8809837711636
1990-07-29,"LS 5",8.4,0.687309644670051,17118,25.0122756520738,20.3027090265107,20.1943396720308,16.5722555851576,20.1943396720308,20.6398404059294,-0.430925007575518,0.556656413363303,24.3485809618531
1990-08-30,"LS 5",4.1,0.727284263959391,18138,21.0790269882125,18.6702211188479,18.8462220861888,17.0302750860461,18.3947953158504,18.8462220861888,-0.786985817334123,0.331894849591744,22.8772117844391
1990-10-17,"LS 5",5.9,0.704018612521151,17551,12.3650851918706,10.9225665862588,10.9282293919227,6.50389685247907,10.9282293919227,11.4092065921931,-2.8049053172026,0.742739257117386,14.2353169529467
1991-09-02,"LS 5",5,0.727284263959391,18138,19.2967222566208,17.1585975184141,17.0304542918458,14.2534613711669,17.0304542918458,17.4870737715067,-1.55627065789242,0.495711959839083,20.8954374985793
1991-10-04,"LS 5",5.7,0.718401015228426,17903,15.6501042333191,12.8591511900399,12.840390864526,9.96050918241356,12.840390864526,12.840390864526,0.659007832714547,0.404990918584939,16.3222977049038
1992-06-16,"LS 5",6.7,0.727284263959391,18138,22.3989514342502,16.5037752055815,16.5719129868367,15.6501089852926,16.1118991919938,16.5719129868367,2.69400085039101,0.536972998747062,20.3949740747303
1992-08-19,"LS 5",8.4,0.562225042301184,13851,19.2991542568119,14.7983780243918,14.7201258344281,10.9267591324374,14.2525834316283,15.1858335391208,0.167883297356941,0.639952062809298,18.3738873625623
1992-09-20,"LS 5",4.7,0.727284263959391,18138,16.1119506479924,14.7531018684122,14.7206581487563,11.4088193044038,14.7206581487563,15.186223264806,-0.947414606427199,0.452162879779515,18.3744683437048
1992-10-06,"LS 5",4.9,0.727199661590525,18135,11.4096651350066,10.5974755704671,10.9286977583352,6.50422717556008,10.4457083904539,10.9286977583352,-1.95257329909532,0.646614138576055,14.2358281397382
1993-07-05,"LS 5",8.8,0.727284263959391,18138,25.4489471235752,17.9217681736812,17.9436776714963,16.57235591097,17.4882363314581,18.3974542182259,1.53129149679952,0.72161520726862,21.8921522859413
1993-09-07,"LS 5",6.9,0.319204737732657,7726,12.364394763028,10.1997458642112,10.4444759536856,5.4955690046295,9.47221479143809,10.9274720405354,-0.571303773039008,1.14601235815508,13.7073363776874
1993-10-25,"LS 5",8,0.684940778341794,16992,10.9290224785035,8.5029172735407,8.49289707032364,2.93378751701207,8.49289707032364,8.98441477346947,-2.39795838994144,0.6840447834561,11.5773344799099
