system:index,cloud_cover,emiss,landsat_time,pixel_count,surface_temp_coffin,surface_temp_fichter,surface_temp_mean,surface_temp_midge,surface_temp_newbury,surface_temp_stdDev,vapor_time,water_column,.geo
1_1_2_1_LT05_013030_19900424,20.0,0.981,640968787603,24908,4.478743007324586,5.496341210318058,5.619560862002293,6.504328672689067,7.004822010455106,1.5024391744414478,640958400000,0.7899993896484375,
1_1_2_1_LT05_013030_19900526,41.0,0.981,643733584131,22949,8.984095319871773,8.984095319871773,9.784262890109991,2.9337352029311003,6.504273634270355,2.6237693195969727,643723200000,0.929998779296875,
1_1_2_1_LT05_013030_19900627,52.0,0.981,646498383500,24908,18.396990391145298,18.396990391145298,18.90661719091909,19.748561337987947,18.84909483081788,0.6023805602450748,646488000000,2.4899993896484376,
1_1_1_1_LT04_013030_19900705,64.0,0.981,6.4719015119E11,4359,-9999,-9999,17.69776703193061,-9999,-9999,0.5187414267139758,647200800000,1.5100006103515626,
1_1_2_1_LT05_013030_19900713,50.0,0.981,647880780954,3089,-9999,-9999,13.646718833334925,13.784251331923267,-9999,0.8775175113044333,647870400000,0.8600006103515625,
1_1_1_1_LT04_013030_19900721,39.0,0.981,6.48572528899E11,16027,-9999,15.926319482879638,18.03681596621258,19.00835099419231,-9999,1.502512519594784,648583200000,1.8700012207031251,
1_1_2_1_LT05_013030_19900729,13.0,0.981,649263176699,22368,20.6390657154669,19.746579325932373,20.389229901018684,20.193601952562783,19.297966896803963,0.4908449285086399,649252800000,2.1100006103515625,
1_1_2_1_LT05_013030_19900814,68.0,0.981,650645572287,0,-9999,-9999,,-9999,-9999,,650635200000,2.6,
1_1_2_1_LT05_013030_19900830,5.0,0.981,652027964967,24908,18.39408290104412,18.845472586142858,18.679444110677885,19.295241453923826,18.845472586142858,0.3174893570065986,652017600000,1.270001220703125,
1_1_2_1_LT05_013030_19901001,4.0,0.981,654792751260,21163,-9999,12.840218980575216,12.681554770345828,12.840218980575216,12.840218980575216,0.8453708523318192,654782400000,0.25,
1_1_2_1_LT05_013030_19901017,27.0,0.981,656175146788,23399,11.408960229964077,-9999,11.009641019432275,10.445031538279718,10.928004307995547,0.49937420393816834,656164800000,1.529998779296875,
1_1_2_1_LT05_013030_19910310,53.0,0.981,668616851525,27,-9999,-9999,-13.887764591603517,-9999,-9999,0.540552727394996,668606400000,0.41000061035156254,
1_1_2_1_LT05_013030_19910411,54.0,0.981,671381684583,3508,-9999,-9999,2.5618093113561744,-9999,3.4512889172461283,1.0996159362982534,671371200000,0.779998779296875,
1_1_2_1_LT05_013030_19910427,4.0,0.981,672764100357,24908,7.502621255946643,8.492202924042871,8.846494782427703,10.445238827222262,8.983684874987185,1.7711162219407246,672753600000,1.379998779296875,
1_1_2_1_LT05_013030_19910513,0.0,0.981,674146518239,24908,11.409347419275646,12.365143101440681,12.451517627499506,13.31306705591813,12.8400850966389,1.4745374920829388,674136000000,1.2100006103515626,
1_1_2_1_LT05_013030_19910529,19.0,0.981,675528933430,0,-9999,-9999,,-9999,-9999,,675518400000,2.539999389648438,
1_1_2_1_LT05_013030_19910614,23.0,0.981,676911341326,615,-9999,-9999,1.0731278491506904,-9999,-9999,0.6426941915686166,676900800000,1.1100006103515625,
1_1_2_1_LT05_013030_19910716,1.0,0.981,679676172661,24520,-9999,18.84606242172031,18.703566881246726,19.29594561852334,18.394565743656102,0.7142009670475568,679665600000,1.529998779296875,
1_1_2_1_LT05_013030_19910801,35.0,0.981,681058581696,0,-9999,-9999,,-9999,-9999,,681048000000,2.8100006103515627,
1_1_2_1_LT05_013030_19910817,5.0,0.981,682440985974,0,-9999,-9999,,-9999,-9999,,682430400000,3.1300003051757814,
1_1_2_1_LT05_013030_19910902,0.0,0.981,683823399262,24908,17.029881652228184,17.029881652228184,17.177683597015026,17.029881652228184,17.029881652228184,0.4657415161517019,683812800000,1.5399993896484376,
1_1_2_1_LT05_013030_19910918,69.0,0.981,685205810663,20361,8.98367259083858,7.004418610231214,10.714021542843088,14.720491956153749,-9999,2.0600671662003167,685195200000,1.3899993896484375,
1_1_2_1_LT05_013030_19911004,7.0,0.981,686588213419,23801,12.840052470456667,-9999,12.859461429429965,12.840052470456667,12.840052470456667,0.3812572958621125,686577600000,1.25,
1_1_2_1_LT05_013030_19911020,37.0,0.981,687970623156,1192,-9999,-9999,1.1181807136155046,-9999,-9999,1.6676039927950665,687960000000,0.7000000000000001,
1_1_2_1_LT05_013030_19920413,4.0,0.981,703177012752,486,-9999,-9999,0.3158333494572166,-9999,-9999,1.3180839005972884,703166400000,0.1,
1_1_2_1_LT05_013030_19920515,35.0,0.981,705941795155,21999,8.984170261843511,7.998965421425736,8.776674562066843,8.984170261843511,-9999,1.2848720315704765,705931200000,0.779998779296875,
1_1_2_1_LT05_013030_19920616,1.0,0.981,708706573478,24908,16.111341538505418,16.571321859661513,16.60217219492198,16.571321859661513,17.029555497876885,0.6907837568883592,708696000000,1.1200012207031251,
1_1_2_1_LT05_013030_19920819,64.0,0.981,714236122680,16676,-9999,14.252255719654128,14.926956843571597,15.649364382780192,15.185455723833359,0.5419813039506255,714225600000,2.2399993896484376,
1_1_2_1_LT05_013030_19920904,61.0,0.981,715618509192,0,-9999,-9999,,-9999,-9999,,715608000000,1.570001220703125,
1_1_2_1_LT05_013030_19920920,1.0,0.981,717000893518,24908,14.720259443205304,14.25286847277236,14.770178996468603,15.185796955893045,13.783623481824236,0.4273621354324646,716990400000,1.7600006103515626,
