,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
104528,2010-09-06 15:00:00,43.3913,-72.0576,loon,1.0,19.919999999999995,edi.499.2,9,1283785200000.0
104529,2010-09-06 15:10:00,43.3913,-72.0576,loon,1.0,19.84,edi.499.2,9,1283785800000.0
104530,2010-09-06 15:20:00,43.3913,-72.0576,loon,1.0,19.959999999999994,edi.499.2,9,1283786400000.0
104531,2010-09-06 15:30:00,43.3913,-72.0576,loon,1.0,19.9,edi.499.2,9,1283787000000.0
104532,2010-09-06 15:40:00,43.3913,-72.0576,loon,1.0,19.959999999999994,edi.499.2,9,1283787600000.0
104533,2010-09-06 15:50:00,43.3913,-72.0576,loon,1.0,19.99,edi.499.2,9,1283788200000.0
383160,2010-09-06 15:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,20.97,edi.498.1,9,1283785200000.0
417955,2010-09-06 15:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,20.96,edi.498.1,9,1283785200000.0
452750,2010-09-06 15:00:00,43.3235,-72.0411,Newbury,1.5,21.99,edi.498.1,9,1283785200000.0
487545,2010-09-06 15:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,21.84,edi.498.1,9,1283785200000.0
