,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
119573,2011-06-21 15:00:00,43.3913,-72.0576,loon,0.5,21.66,edi.499.2,6,1308668400000.0
119574,2011-06-21 15:10:00,43.3913,-72.0576,loon,0.5,21.53,edi.499.2,6,1308669000000.0
119575,2011-06-21 15:20:00,43.3913,-72.0576,loon,0.5,21.59,edi.499.2,6,1308669600000.0
119576,2011-06-21 15:30:00,43.3913,-72.0576,loon,0.5,21.53,edi.499.2,6,1308670200000.0
119577,2011-06-21 15:40:00,43.3913,-72.0576,loon,0.5,21.41,edi.499.2,6,1308670800000.0
119578,2011-06-21 15:50:00,43.3913,-72.0576,loon,0.5,21.22,edi.499.2,6,1308671400000.0
384003,2011-06-21 15:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,20.32,edi.498.1,6,1308668400000.0
418798,2011-06-21 15:00:00,43.3446,-72.0438,SouthOfTheFells,1.4,19.83,edi.498.1,6,1308668400000.0
453593,2011-06-21 15:00:00,43.3235,-72.0411,Newbury,1.5,21.83,edi.498.1,6,1308668400000.0
488388,2011-06-21 15:00:00,43.4096,-72.0365,HerrickCoveSouth,1.9,21.18,edi.498.1,6,1308668400000.0
